"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Percent!!Estimate","DeSoto County, Mississippi!!Percent!!Margin of Error","DeSoto County, Mississippi!!Male!!Estimate","DeSoto County, Mississippi!!Male!!Margin of Error","DeSoto County, Mississippi!!Percent Male!!Estimate","DeSoto County, Mississippi!!Percent Male!!Margin of Error","DeSoto County, Mississippi!!Female!!Estimate","DeSoto County, Mississippi!!Female!!Margin of Error","DeSoto County, Mississippi!!Percent Female!!Estimate","DeSoto County, Mississippi!!Percent Female!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Percent!!Estimate","Forrest County, Mississippi!!Percent!!Margin of Error","Forrest County, Mississippi!!Male!!Estimate","Forrest County, Mississippi!!Male!!Margin of Error","Forrest County, Mississippi!!Percent Male!!Estimate","Forrest County, Mississippi!!Percent Male!!Margin of Error","Forrest County, Mississippi!!Female!!Estimate","Forrest County, Mississippi!!Female!!Margin of Error","Forrest County, Mississippi!!Percent Female!!Estimate","Forrest County, Mississippi!!Percent Female!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Percent!!Estimate","Harrison County, Mississippi!!Percent!!Margin of Error","Harrison County, Mississippi!!Male!!Estimate","Harrison County, Mississippi!!Male!!Margin of Error","Harrison County, Mississippi!!Percent Male!!Estimate","Harrison County, Mississippi!!Percent Male!!Margin of Error","Harrison County, Mississippi!!Female!!Estimate","Harrison County, Mississippi!!Female!!Margin of Error","Harrison County, Mississippi!!Percent Female!!Estimate","Harrison County, Mississippi!!Percent Female!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Percent!!Estimate","Hinds County, Mississippi!!Percent!!Margin of Error","Hinds County, Mississippi!!Male!!Estimate","Hinds County, Mississippi!!Male!!Margin of Error","Hinds County, Mississippi!!Percent Male!!Estimate","Hinds County, Mississippi!!Percent Male!!Margin of Error","Hinds County, Mississippi!!Female!!Estimate","Hinds County, Mississippi!!Female!!Margin of Error","Hinds County, Mississippi!!Percent Female!!Estimate","Hinds County, Mississippi!!Percent Female!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Percent!!Estimate","Jackson County, Mississippi!!Percent!!Margin of Error","Jackson County, Mississippi!!Male!!Estimate","Jackson County, Mississippi!!Male!!Margin of Error","Jackson County, Mississippi!!Percent Male!!Estimate","Jackson County, Mississippi!!Percent Male!!Margin of Error","Jackson County, Mississippi!!Female!!Estimate","Jackson County, Mississippi!!Female!!Margin of Error","Jackson County, Mississippi!!Percent Female!!Estimate","Jackson County, Mississippi!!Percent Female!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Percent!!Estimate","Jones County, Mississippi!!Percent!!Margin of Error","Jones County, Mississippi!!Male!!Estimate","Jones County, Mississippi!!Male!!Margin of Error","Jones County, Mississippi!!Percent Male!!Estimate","Jones County, Mississippi!!Percent Male!!Margin of Error","Jones County, Mississippi!!Female!!Estimate","Jones County, Mississippi!!Female!!Margin of Error","Jones County, Mississippi!!Percent Female!!Estimate","Jones County, Mississippi!!Percent Female!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Percent!!Estimate","Lauderdale County, Mississippi!!Percent!!Margin of Error","Lauderdale County, Mississippi!!Male!!Estimate","Lauderdale County, Mississippi!!Male!!Margin of Error","Lauderdale County, Mississippi!!Percent Male!!Estimate","Lauderdale County, Mississippi!!Percent Male!!Margin of Error","Lauderdale County, Mississippi!!Female!!Estimate","Lauderdale County, Mississippi!!Female!!Margin of Error","Lauderdale County, Mississippi!!Percent Female!!Estimate","Lauderdale County, Mississippi!!Percent Female!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Percent!!Estimate","Lee County, Mississippi!!Percent!!Margin of Error","Lee County, Mississippi!!Male!!Estimate","Lee County, Mississippi!!Male!!Margin of Error","Lee County, Mississippi!!Percent Male!!Estimate","Lee County, Mississippi!!Percent Male!!Margin of Error","Lee County, Mississippi!!Female!!Estimate","Lee County, Mississippi!!Female!!Margin of Error","Lee County, Mississippi!!Percent Female!!Estimate","Lee County, Mississippi!!Percent Female!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Percent!!Estimate","Madison County, Mississippi!!Percent!!Margin of Error","Madison County, Mississippi!!Male!!Estimate","Madison County, Mississippi!!Male!!Margin of Error","Madison County, Mississippi!!Percent Male!!Estimate","Madison County, Mississippi!!Percent Male!!Margin of Error","Madison County, Mississippi!!Female!!Estimate","Madison County, Mississippi!!Female!!Margin of Error","Madison County, Mississippi!!Percent Female!!Estimate","Madison County, Mississippi!!Percent Female!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Percent!!Estimate","Rankin County, Mississippi!!Percent!!Margin of Error","Rankin County, Mississippi!!Male!!Estimate","Rankin County, Mississippi!!Male!!Margin of Error","Rankin County, Mississippi!!Percent Male!!Estimate","Rankin County, Mississippi!!Percent Male!!Margin of Error","Rankin County, Mississippi!!Female!!Estimate","Rankin County, Mississippi!!Female!!Margin of Error","Rankin County, Mississippi!!Percent Female!!Estimate","Rankin County, Mississippi!!Percent Female!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"        40 to 44 years","11,958","±1,655","6.5%","±0.9","5,445","±1,160","6.1%","±1.3","6,513","±950","6.8%","±1.0","4,034","±1,186","5.4%","±1.6","1,596","±515","4.6%","±1.5","2,438","±1,000","6.1%","±2.5","13,866","±1,766","6.7%","±0.8","7,178","±1,506","7.1%","±1.5","6,688","±1,277","6.2%","±1.2","15,001","±1,617","6.5%","±0.7","6,077","±1,154","5.6%","±1.1","8,924","±1,162","7.2%","±0.9","8,504","±1,867","5.9%","±1.3","3,215","±983","4.6%","±1.4","5,289","±1,396","7.2%","±1.9","3,881","±1,367","5.7%","±2.0","2,018","±965","6.1%","±2.9","1,863","±685","5.4%","±1.9","3,936","±1,232","5.3%","±1.7","2,032","±768","5.7%","±2.2","1,904","±844","5.0%","±2.2","7,291","±1,279","8.5%","±1.5","3,729","±744","9.2%","±1.8","3,562","±907","7.9%","±2.1","6,577","±1,900","6.2%","±1.8","3,007","±1,456","6.1%","±3.0","3,570","±864","6.3%","±1.5","10,761","±1,752","6.9%","±1.1","5,796","±1,432","7.9%","±1.9","4,965","±1,126","6.1%","±1.4","20,186,586","±62,410","6.1%","±0.1","10,028,675","±45,069","6.2%","±0.1","10,157,911","±37,688","6.1%","±0.1"
"        45 to 49 years","13,022","±347","7.0%","±0.2","6,201","±312","6.9%","±0.4","6,821","±168","7.1%","±0.2","4,604","±792","6.1%","±1.1","2,573","±612","7.4%","±1.8","2,031","±553","5.0%","±1.4","13,220","±1,121","6.4%","±0.5","6,343","±940","6.3%","±0.9","6,877","±537","6.4%","±0.5","13,270","±229","5.7%","±0.1","5,858","±226","5.4%","±0.1","7,412","±229","6.0%","±0.2","9,767","±1,385","6.8%","±1.0","4,781","±666","6.8%","±1.0","4,986","±1,131","6.8%","±1.5","3,325","±882","4.9%","±1.3","1,147","±675","3.4%","±2.0","2,178","±647","6.3%","±1.9","4,976","±1,032","6.7%","±1.4","2,705","±759","7.5%","±2.1","2,271","±705","5.9%","±1.8","4,888","±610","5.7%","±0.7","2,384","±420","5.9%","±1.0","2,504","±382","5.6%","±0.8","6,544","±698","6.2%","±0.7","2,933","±686","5.9%","±1.4","3,611","±143","6.4%","±0.3","9,792","±1,014","6.3%","±0.7","4,016","±264","5.4%","±0.4","5,776","±981","7.1%","±1.2","20,398,226","±28,275","6.2%","±0.1","10,079,567","±18,281","6.2%","±0.1","10,318,659","±18,352","6.2%","±0.1"
"        50 to 54 years","12,034","±317","6.5%","±0.2","5,886","±202","6.6%","±0.2","6,148","±218","6.4%","±0.2","4,062","±803","5.4%","±1.1","1,624","±437","4.7%","±1.2","2,438","±804","6.1%","±2.0","11,757","±470","5.7%","±0.2","5,584","±282","5.5%","±0.3","6,173","±289","5.8%","±0.3","13,119","±214","5.7%","±0.1","6,055","±200","5.6%","±0.2","7,064","±58","5.7%","±0.1","9,556","±522","6.7%","±0.4","4,825","±389","6.9%","±0.5","4,731","±315","6.4%","±0.4","3,526","±849","5.2%","±1.2","2,030","±834","6.1%","±2.5","1,496","±156","4.3%","±0.5","4,535","±107","6.1%","±0.1","2,158","±92","6.0%","±0.3","2,377","±42","6.2%","±0.2","5,475","±673","6.4%","±0.8","2,642","±646","6.5%","±1.6","2,833","±176","6.3%","±0.4","6,521","±663","6.1%","±0.6","2,960","±560","6.0%","±1.1","3,561","±252","6.3%","±0.5","9,595","±1,252","6.2%","±0.8","4,713","±702","6.4%","±1.0","4,882","±807","6.0%","±1.0","20,464,881","±22,642","6.2%","±0.1","10,075,795","±16,185","6.2%","±0.1","10,389,086","±14,048","6.2%","±0.1"
"        55 to 59 years","12,224","±1,332","6.6%","±0.7","5,365","±949","6.0%","±1.1","6,859","±903","7.2%","±1.0","3,273","±896","4.4%","±1.2","1,028","±408","3.0%","±1.2","2,245","±699","5.6%","±1.7","14,504","±1,495","7.0%","±0.7","6,588","±1,093","6.5%","±1.1","7,916","±1,247","7.4%","±1.1","15,638","±1,423","6.7%","±0.6","7,050","±947","6.5%","±0.9","8,588","±1,012","7.0%","±0.8","9,260","±1,717","6.4%","±1.2","4,215","±1,081","6.0%","±1.5","5,045","±1,099","6.8%","±1.5","4,216","±977","6.2%","±1.4","1,896","±659","5.7%","±2.0","2,320","±660","6.7%","±1.9","4,276","±764","5.8%","±1.0","1,942","±582","5.4%","±1.6","2,334","±585","6.1%","±1.6","6,198","±729","7.3%","±0.9","3,556","±464","8.8%","±1.1","2,642","±543","5.9%","±1.2","7,810","±1,235","7.3%","±1.2","3,531","±797","7.1%","±1.6","4,279","±868","7.5%","±1.6","8,225","±1,326","5.3%","±0.9","4,443","±740","6.0%","±1.0","3,782","±877","4.6%","±1.1","21,484,060","±58,829","6.5%","±0.1","10,440,265","±38,414","6.5%","±0.1","11,043,795","±38,535","6.6%","±0.1"
"        60 to 64 years","9,718","±1,276","5.3%","±0.7","5,249","±895","5.9%","±1.0","4,469","±914","4.7%","±1.0","5,032","±896","6.7%","±1.2","2,839","±408","8.2%","±1.2","2,193","±699","5.4%","±1.8","13,022","±1,517","6.3%","±0.7","6,599","±1,103","6.5%","±1.1","6,423","±1,052","6.0%","±1.0","13,761","±1,427","5.9%","±0.6","6,186","±962","5.7%","±0.9","7,575","±1,011","6.1%","±0.8","9,862","±1,739","6.9%","±1.2","4,818","±1,078","6.9%","±1.6","5,044","±1,100","6.8%","±1.5","4,079","±908","6.0%","±1.3","1,805","±552","5.4%","±1.6","2,274","±660","6.5%","±1.9","5,443","±786","7.3%","±1.1","2,547","±582","7.1%","±1.6","2,896","±609","7.6%","±1.6","4,720","±738","5.5%","±0.9","1,488","±465","3.7%","±1.1","3,232","±533","7.2%","±1.2","6,369","±1,266","6.0%","±1.2","3,202","±823","6.5%","±1.7","3,167","±873","5.6%","±1.5","10,803","±1,324","7.0%","±0.9","4,473","±739","6.1%","±1.0","6,330","±868","7.8%","±1.1","20,984,053","±58,643","6.4%","±0.1","10,051,170","±38,298","6.2%","±0.1","10,932,883","±39,218","6.6%","±0.1"
"        65 to 69 years","6,880","±1,092","3.7%","±0.6","2,789","±573","3.1%","±0.6","4,091","±798","4.3%","±0.8","3,872","±635","5.2%","±0.8","1,747","±418","5.0%","±1.2","2,125","±561","5.3%","±1.4","10,793","±1,494","5.2%","±0.7","4,767","±695","4.7%","±0.7","6,026","±1,085","5.6%","±1.0","12,187","±1,175","5.3%","±0.5","5,387","±791","5.0%","±0.7","6,800","±752","5.5%","±0.6","6,982","±1,281","4.9%","±0.9","3,464","±805","5.0%","±1.2","3,518","±813","4.8%","±1.1","4,029","±1,430","5.9%","±2.1","2,059","±917","6.2%","±2.8","1,970","±754","5.7%","±2.2","4,424","±798","6.0%","±1.1","1,989","±529","5.5%","±1.5","2,435","±629","6.4%","±1.6","3,694","±614","4.3%","±0.7","1,762","±414","4.4%","±1.0","1,932","±408","4.3%","±0.9","5,544","±910","5.2%","±0.9","2,596","±576","5.2%","±1.2","2,948","±681","5.2%","±1.2","8,956","±1,210","5.8%","±0.8","3,803","±683","5.2%","±0.9","5,153","±864","6.3%","±1.1","17,427,013","±47,420","5.3%","±0.1","8,191,111","±24,952","5.1%","±0.1","9,235,902","±35,359","5.5%","±0.1"
"        70 to 74 years","7,781","±1,030","4.2%","±0.6","3,579","±627","4.0%","±0.7","4,202","±761","4.4%","±0.8","2,190","±653","2.9%","±0.9","1,007","±495","2.9%","±1.4","1,183","±367","2.9%","±0.9","8,241","±1,472","4.0%","±0.7","3,920","±715","3.9%","±0.7","4,321","±1,016","4.0%","±0.9","8,362","±1,174","3.6%","±0.5","3,756","±787","3.5%","±0.7","4,606","±752","3.7%","±0.6","7,166","±1,347","5.0%","±0.9","3,113","±848","4.5%","±1.2","4,053","±809","5.5%","±1.1","3,328","±1,194","4.9%","±1.8","1,620","±870","4.9%","±2.6","1,708","±614","4.9%","±1.8","2,474","±647","3.3%","±0.9","1,387","±430","3.9%","±1.2","1,087","±536","2.8%","±1.4","3,074","±556","3.6%","±0.7","1,169","±383","2.9%","±1.0","1,905","±441","4.2%","±1.0","3,877","±768","3.6%","±0.7","1,780","±584","3.6%","±1.2","2,097","±670","3.7%","±1.2","5,495","±1,058","3.5%","±0.7","2,746","±609","3.7%","±0.8","2,749","±749","3.4%","±0.9","14,148,548","±46,673","4.3%","±0.1","6,529,918","±26,161","4.0%","±0.1","7,618,630","±33,692","4.6%","±0.1"
"        75 to 79 years","4,575","±869","2.5%","±0.5","2,543","±644","2.8%","±0.7","2,032","±469","2.1%","±0.5","2,085","±759","2.8%","±1.0","586","±334","1.7%","±1.0","1,499","±638","3.7%","±1.6","5,769","±1,062","2.8%","±0.5","1,954","±561","1.9%","±0.6","3,815","±816","3.6%","±0.8","6,814","±999","2.9%","±0.4","3,031","±545","2.8%","±0.5","3,783","±756","3.1%","±0.6","4,995","±958","3.5%","±0.7","2,602","±697","3.7%","±1.0","2,393","±797","3.2%","±1.1","1,851","±750","2.7%","±1.1","1,086","±592","3.3%","±1.8","765","±448","2.2%","±1.3","2,208","±562","3.0%","±0.8","974","±286","2.7%","±0.8","1,234","±504","3.2%","±1.3","2,555","±691","3.0%","±0.8","1,069","±427","2.6%","±1.1","1,486","±499","3.3%","±1.1","2,318","±713","2.2%","±0.7","1,129","±584","2.3%","±1.2","1,189","±412","2.1%","±0.7","3,171","±1,129","2.0%","±0.7","1,151","±668","1.6%","±0.9","2,020","±709","2.5%","±0.9","9,759,764","±34,984","3.0%","±0.1","4,367,764","±21,832","2.7%","±0.1","5,392,000","±29,716","3.2%","±0.1"
"        80 to 84 years","2,420","±687","1.3%","±0.4","1,109","±433","1.2%","±0.5","1,311","±452","1.4%","±0.5","582","±326","0.8%","±0.4","303","±243","0.9%","±0.7","279","±163","0.7%","±0.4","3,674","±856","1.8%","±0.4","1,735","±500","1.7%","±0.5","1,939","±597","1.8%","±0.6","3,871","±819","1.7%","±0.4","1,075","±448","1.0%","±0.4","2,796","±699","2.3%","±0.6","2,248","±775","1.6%","±0.5","1,324","±644","1.9%","±0.9","924","±407","1.3%","±0.6","1,459","±633","2.1%","±0.9","603","±405","1.8%","±1.2","856","±410","2.5%","±1.2","1,693","±678","2.3%","±0.9","468","±288","1.3%","±0.8","1,225","±591","3.2%","±1.5","2,018","±524","2.4%","±0.6","850","±353","2.1%","±0.9","1,168","±476","2.6%","±1.1","915","±426","0.9%","±0.4","475","±341","1.0%","±0.7","440","±261","0.8%","±0.5","3,238","±813","2.1%","±0.5","2,001","±641","2.7%","±0.9","1,237","±527","1.5%","±0.6","6,380,474","±30,713","1.9%","±0.1","2,671,396","±20,367","1.7%","±0.1","3,709,078","±23,709","2.2%","±0.1"
"        85 years and over","2,752","±958","1.5%","±0.5","477","±329","0.5%","±0.4","2,275","±712","2.4%","±0.7","1,738","±660","2.3%","±0.9","788","±359","2.3%","±1.0","950","±429","2.4%","±1.1","3,351","±1,107","1.6%","±0.5","1,850","±769","1.8%","±0.8","1,501","±677","1.4%","±0.6","2,879","±710","1.2%","±0.3","923","±390","0.9%","±0.4","1,956","±570","1.6%","±0.5","2,751","±777","1.9%","±0.5","548","±384","0.8%","±0.6","2,203","±752","3.0%","±1.0","1,664","±673","2.4%","±1.0","333","±299","1.0%","±0.9","1,331","±630","3.8%","±1.8","2,116","±824","2.9%","±1.1","748","±428","2.1%","±1.2","1,368","±520","3.6%","±1.4","1,605","±584","1.9%","±0.7","572","±337","1.4%","±0.8","1,033","±453","2.3%","±1.0","1,765","±448","1.7%","±0.4","246","±223","0.5%","±0.4","1,519","±415","2.7%","±0.7","3,461","±1,093","2.2%","±0.7","813","±476","1.1%","±0.6","2,648","±891","3.3%","±1.1","6,358,229","±34,321","1.9%","±0.1","2,284,092","±21,784","1.4%","±0.1","4,074,137","±26,417","2.4%","±0.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","26,732","±177","14.5%","±0.1","13,796","±383","15.4%","±0.4","12,936","±375","13.5%","±0.3","9,922","±734","13.2%","±1.0","4,701","±4","13.6%","±0.5","5,221","±734","13.0%","±1.7","27,872","±1,053","13.4%","±0.5","14,424","±733","14.3%","±0.7","13,448","±618","12.6%","±0.6","30,999","±616","13.4%","±0.3","15,797","±299","14.6%","±0.3","15,202","±437","12.3%","±0.3","19,557","±728","13.6%","±0.5","10,062","±655","14.4%","±0.9","9,495","±518","12.9%","±0.7","10,131","±647","14.9%","±0.9","5,012","±567","15.1%","±1.5","5,119","±725","14.7%","±1.9","9,680","±239","13.1%","±0.3","5,014","±197","14.0%","±0.7","4,666","±87","12.2%","±0.4","12,147","±357","14.2%","±0.4","6,016","±230","14.9%","±0.5","6,131","±455","13.6%","±0.9","15,445","±247","14.5%","±0.2","7,744","±174","15.6%","±0.4","7,701","±181","13.6%","±0.4","20,588","±728","13.3%","±0.5","10,043","±402","13.6%","±0.6","10,545","±662","12.9%","±0.8","41,113,916","±36,636","12.5%","±0.1","21,020,831","±26,657","13.0%","±0.1","20,093,085","±23,965","12.1%","±0.1"
"        15 to 17 years","8,623","±115","4.7%","±0.1","5,019","±776","5.6%","±0.8","3,604","±760","3.8%","±0.8","2,218","±637","3.0%","±0.9","1,076","±590","3.1%","±1.6","1,142","±529","2.8%","±1.3","7,918","±399","3.8%","±0.2","3,857","±671","3.8%","±0.6","4,061","±491","3.8%","±0.4","9,436","±323","4.1%","±0.1","4,675","±94","4.3%","±0.1","4,761","±303","3.9%","±0.2","5,870","±496","4.1%","±0.3","3,293","±590","4.7%","±0.8","2,577","±458","3.5%","±0.6","2,486","±544","3.7%","±0.8","1,416","±569","4.3%","±1.7","1,070","±526","3.1%","±1.5","2,965","±143","4.0%","±0.2","1,076","±611","3.0%","±1.7","1,889","±592","4.9%","±1.5","3,442","±4","4.0%","±0.1","2,016","±401","5.0%","±0.9","1,426","±401","3.2%","±0.9","4,559","±192","4.3%","±0.2","1,975","±542","4.0%","±1.0","2,584","±606","4.6%","±1.0","5,641","±634","3.6%","±0.4","3,082","±595","4.2%","±0.8","2,559","±447","3.1%","±0.5","12,449,034","±17,681","3.8%","±0.1","6,361,859","±15,524","3.9%","±0.1","6,087,175","±18,014","3.7%","±0.1"
"        Under 18 years","46,894","*****","25.4%","*****","24,324","±903","27.2%","±0.7","22,570","±903","23.6%","±0.7","16,873","±397","22.5%","±0.5","7,751","±1,097","22.4%","±2.4","9,122","±1,192","22.7%","±2.3","49,336","±284","23.7%","±0.1","25,049","±811","24.8%","±0.6","24,287","±808","22.7%","±0.6","55,265","±176","23.8%","±0.1","28,313","±474","26.1%","±0.3","26,952","±473","21.8%","±0.3","33,172","*****","23.1%","*****","16,650","±698","23.8%","±0.8","16,522","±698","22.4%","±0.8","17,032","*****","25.0%","*****","9,108","±799","27.3%","±1.8","7,924","±798","22.8%","±1.8","17,261","±262","23.3%","±0.4","8,658","±927","24.1%","±2.0","8,603","±928","22.5%","±1.9","21,307","*****","24.9%","*****","10,841","±468","26.8%","±0.8","10,466","±468","23.3%","±0.8","26,283","*****","24.7%","*****","12,276","±861","24.8%","±1.3","14,007","±861","24.7%","±1.2","35,451","±192","22.8%","±0.1","17,288","±885","23.4%","±0.9","18,163","±884","22.3%","±0.9","72,967,785","±33,143","22.2%","±0.1","37,321,627","±29,379","23.1%","±0.1","35,646,158","±31,293","21.4%","±0.1"
"        18 to 24 years","16,284","±654","8.8%","±0.4","8,168","±446","9.1%","±0.5","8,116","±306","8.5%","±0.3","10,834","±1,838","14.5%","±2.5","5,211","±816","15.0%","±2.4","5,623","±1,300","14.0%","±3.3","21,929","±1,416","10.5%","±0.7","11,832","±1,164","11.7%","±1.2","10,097","±893","9.4%","±0.8","25,474","±417","11.0%","±0.2","11,957","±264","11.0%","±0.2","13,517","±378","10.9%","±0.3","11,464","±1,126","8.0%","±0.8","6,312","±679","9.0%","±1.0","5,152","±926","7.0%","±1.3","6,443","±915","9.5%","±1.3","3,679","±604","11.0%","±1.8","2,764","±723","7.9%","±2.1","5,803","±880","7.8%","±1.2","2,848","±880","7.9%","±2.5","2,955","±226","7.7%","±0.2","8,540","±626","10.0%","±0.7","4,089","±301","10.1%","±0.7","4,451","±581","9.9%","±1.3","9,332","±575","8.8%","±0.5","4,590","±306","9.3%","±0.6","4,742","±279","8.4%","±0.5","12,672","±1,185","8.2%","±0.8","6,713","±627","9.1%","±0.8","5,959","±854","7.3%","±1.1","30,373,170","±42,282","9.3%","±0.1","15,556,254","±26,205","9.6%","±0.1","14,816,916","±25,476","8.9%","±0.1"
"        15 to 44 years","75,268","±446","40.7%","±0.2","36,838","±853","41.2%","±0.7","38,430","±778","40.2%","±0.6","32,804","±1,338","43.8%","±1.8","15,480","±1,006","44.7%","±2.3","17,324","±976","43.0%","±2.7","82,331","±1,388","39.6%","±0.7","40,525","±1,331","40.1%","±1.2","41,806","±1,071","39.1%","±0.9","96,110","±451","41.5%","±0.2","45,314","±366","41.9%","±0.3","50,796","±439","41.1%","±0.3","53,728","±1,434","37.4%","±1.0","26,823","±866","38.4%","±1.2","26,905","±1,395","36.5%","±1.8","26,075","±1,457","38.3%","±2.1","13,031","±1,046","39.1%","±3.4","13,044","±887","37.5%","±2.3","27,684","±1,048","37.3%","±1.4","13,369","±999","37.3%","±2.5","14,315","±813","37.4%","±2.0","33,344","±909","39.0%","±1.1","16,127","±690","39.9%","±1.6","17,217","±588","38.3%","±1.1","42,885","±898","40.4%","±0.8","20,440","±930","41.2%","±1.9","22,445","±712","39.6%","±1.0","62,725","±1,569","40.4%","±1.0","31,468","±904","42.6%","±1.2","31,257","±1,193","38.4%","±1.5","130,315,524","±37,167","39.7%","±0.1","65,938,127","±31,255","40.8%","±0.1","64,377,397","±34,232","38.6%","±0.1"
"        16 years and over","144,562","±765","78.2%","±0.4","68,869","±903","77.1%","±0.8","75,693","±771","79.2%","±0.6","59,315","±578","79.2%","±0.8","27,606","±709","79.7%","±2.0","31,709","±540","78.8%","±2.3","163,602","±923","78.6%","±0.4","78,353","±1,195","77.5%","±0.7","85,249","±1,133","79.7%","±0.8","183,010","±1,047","78.9%","±0.5","83,365","±689","77.0%","±0.7","99,645","±765","80.6%","±0.6","115,345","±703","80.3%","±0.5","55,940","±823","80.1%","±1.1","59,405","±715","80.6%","±0.6","52,486","±511","77.1%","±0.8","N","N","N","N","N","N","N","N","58,519","±630","78.9%","±0.9","27,756","±507","77.4%","±1.7","30,763","±491","80.4%","±2.1","66,595","±344","77.9%","±0.4","31,125","±509","77.0%","±0.8","35,470","±450","78.8%","±0.9","83,863","±417","78.9%","±0.4","38,890","±581","78.4%","±1.2","44,973","±656","79.3%","±0.9","124,250","±767","80.0%","±0.5","58,920","±699","79.8%","±0.9","65,330","±668","80.2%","±1.0","263,534,161","±52,161","80.3%","±0.1","128,496,159","±42,201","79.5%","±0.1","135,038,002","±37,248","81.0%","±0.1"
"        18 years and over","138,051","*****","74.6%","*****","65,017","±221","72.8%","±0.7","73,034","±221","76.4%","±0.7","58,024","±397","77.5%","±0.5","26,899","±496","77.6%","±2.4","31,125","±377","77.3%","±2.3","158,744","±284","76.3%","±0.1","76,008","±731","75.2%","±0.6","82,736","±781","77.3%","±0.6","176,575","±176","76.2%","±0.1","79,960","±363","73.9%","±0.3","96,615","±238","78.2%","±0.3","110,445","*****","76.9%","*****","53,220","±524","76.2%","±0.8","57,225","±524","77.6%","±0.8","51,066","*****","75.0%","*****","24,194","±207","72.7%","±1.8","26,872","±207","77.2%","±1.8","56,864","±262","76.7%","±0.4","27,211","±330","75.9%","±2.0","29,653","±188","77.5%","±1.9","64,129","*****","75.1%","*****","29,603","±152","73.2%","±0.8","34,526","±152","76.7%","±0.8","79,989","*****","75.3%","*****","37,317","±237","75.2%","±1.3","42,672","±237","75.3%","±1.2","119,820","±192","77.2%","±0.1","56,545","±431","76.6%","±0.9","63,275","±412","77.7%","±0.9","255,271,738","±33,143","77.8%","±0.1","124,267,346","±30,268","76.9%","±0.1","131,004,392","±22,770","78.6%","±0.1"
"        21 years and over","130,183","±1,422","70.4%","±0.8","61,153","±977","68.4%","±1.3","69,030","±955","72.2%","±1.2","53,425","±1,829","71.3%","±2.4","24,530","±1,166","70.8%","±3.3","28,895","±1,180","71.8%","±3.6","145,758","±1,954","70.0%","±0.9","68,773","±1,636","68.1%","±1.4","76,985","±1,460","71.9%","±1.5","164,488","±1,325","70.9%","±0.6","74,642","±787","68.9%","±0.7","89,846","±940","72.7%","±0.8","105,396","±1,348","73.4%","±0.9","50,194","±1,298","71.8%","±1.8","55,202","±838","74.9%","±1.1","47,705","±904","70.1%","±1.3","22,645","±708","68.0%","±2.4","25,060","±714","72.0%","±2.5","53,728","±669","72.5%","±0.9","26,298","±585","73.3%","±2.3","27,430","±504","71.7%","±1.9","61,191","±980","71.6%","±1.1","28,379","±598","70.2%","±1.5","32,812","±724","72.9%","±1.9","77,326","±1,020","72.8%","±1.0","35,763","±810","72.1%","±2.0","41,563","±604","73.3%","±1.6","114,643","±1,193","73.8%","±0.8","53,368","±866","72.3%","±1.5","61,275","±802","75.2%","±1.3","241,886,206","±83,337","73.7%","±0.1","117,407,269","±52,190","72.7%","±0.1","124,478,937","±51,300","74.7%","±0.1"
