"Label","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!With a disability!!Estimate","Barrow County, Georgia!!With a disability!!Margin of Error","Barrow County, Georgia!!Percent with a disability!!Estimate","Barrow County, Georgia!!Percent with a disability!!Margin of Error","Bartow County, Georgia!!Total!!Estimate","Bartow County, Georgia!!Total!!Margin of Error","Bartow County, Georgia!!With a disability!!Estimate","Bartow County, Georgia!!With a disability!!Margin of Error","Bartow County, Georgia!!Percent with a disability!!Estimate","Bartow County, Georgia!!Percent with a disability!!Margin of Error","Bibb County, Georgia!!Total!!Estimate","Bibb County, Georgia!!Total!!Margin of Error","Bibb County, Georgia!!With a disability!!Estimate","Bibb County, Georgia!!With a disability!!Margin of Error","Bibb County, Georgia!!Percent with a disability!!Estimate","Bibb County, Georgia!!Percent with a disability!!Margin of Error","Bulloch County, Georgia!!Total!!Estimate","Bulloch County, Georgia!!Total!!Margin of Error","Bulloch County, Georgia!!With a disability!!Estimate","Bulloch County, Georgia!!With a disability!!Margin of Error","Bulloch County, Georgia!!Percent with a disability!!Estimate","Bulloch County, Georgia!!Percent with a disability!!Margin of Error","Carroll County, Georgia!!Total!!Estimate","Carroll County, Georgia!!Total!!Margin of Error","Carroll County, Georgia!!With a disability!!Estimate","Carroll County, Georgia!!With a disability!!Margin of Error","Carroll County, Georgia!!Percent with a disability!!Estimate","Carroll County, Georgia!!Percent with a disability!!Margin of Error","Catoosa County, Georgia!!Total!!Estimate","Catoosa County, Georgia!!Total!!Margin of Error","Catoosa County, Georgia!!With a disability!!Estimate","Catoosa County, Georgia!!With a disability!!Margin of Error","Catoosa County, Georgia!!Percent with a disability!!Estimate","Catoosa County, Georgia!!Percent with a disability!!Margin of Error","Chatham County, Georgia!!Total!!Estimate","Chatham County, Georgia!!Total!!Margin of Error","Chatham County, Georgia!!With a disability!!Estimate","Chatham County, Georgia!!With a disability!!Margin of Error","Chatham County, Georgia!!Percent with a disability!!Estimate","Chatham County, Georgia!!Percent with a disability!!Margin of Error","Cherokee County, Georgia!!Total!!Estimate","Cherokee County, Georgia!!Total!!Margin of Error","Cherokee County, Georgia!!With a disability!!Estimate","Cherokee County, Georgia!!With a disability!!Margin of Error","Cherokee County, Georgia!!Percent with a disability!!Estimate","Cherokee County, Georgia!!Percent with a disability!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!With a disability!!Estimate","Clarke County, Georgia!!With a disability!!Margin of Error","Clarke County, Georgia!!Percent with a disability!!Estimate","Clarke County, Georgia!!Percent with a disability!!Margin of Error","Clayton County, Georgia!!Total!!Estimate","Clayton County, Georgia!!Total!!Margin of Error","Clayton County, Georgia!!With a disability!!Estimate","Clayton County, Georgia!!With a disability!!Margin of Error","Clayton County, Georgia!!Percent with a disability!!Estimate","Clayton County, Georgia!!Percent with a disability!!Margin of Error","Cobb County, Georgia!!Total!!Estimate","Cobb County, Georgia!!Total!!Margin of Error","Cobb County, Georgia!!With a disability!!Estimate","Cobb County, Georgia!!With a disability!!Margin of Error","Cobb County, Georgia!!Percent with a disability!!Estimate","Cobb County, Georgia!!Percent with a disability!!Margin of Error","Columbia County, Georgia!!Total!!Estimate","Columbia County, Georgia!!Total!!Margin of Error","Columbia County, Georgia!!With a disability!!Estimate","Columbia County, Georgia!!With a disability!!Margin of Error","Columbia County, Georgia!!Percent with a disability!!Estimate","Columbia County, Georgia!!Percent with a disability!!Margin of Error","Coweta County, Georgia!!Total!!Estimate","Coweta County, Georgia!!Total!!Margin of Error","Coweta County, Georgia!!With a disability!!Estimate","Coweta County, Georgia!!With a disability!!Margin of Error","Coweta County, Georgia!!Percent with a disability!!Estimate","Coweta County, Georgia!!Percent with a disability!!Margin of Error","DeKalb County, Georgia!!Total!!Estimate","DeKalb County, Georgia!!Total!!Margin of Error","DeKalb County, Georgia!!With a disability!!Estimate","DeKalb County, Georgia!!With a disability!!Margin of Error","DeKalb County, Georgia!!Percent with a disability!!Estimate","DeKalb County, Georgia!!Percent with a disability!!Margin of Error","Dougherty County, Georgia!!Total!!Estimate","Dougherty County, Georgia!!Total!!Margin of Error","Dougherty County, Georgia!!With a disability!!Estimate","Dougherty County, Georgia!!With a disability!!Margin of Error","Dougherty County, Georgia!!Percent with a disability!!Estimate","Dougherty County, Georgia!!Percent with a disability!!Margin of Error","Douglas County, Georgia!!Total!!Estimate","Douglas County, Georgia!!Total!!Margin of Error","Douglas County, Georgia!!With a disability!!Estimate","Douglas County, Georgia!!With a disability!!Margin of Error","Douglas County, Georgia!!Percent with a disability!!Estimate","Douglas County, Georgia!!Percent with a disability!!Margin of Error","Fayette County, Georgia!!Total!!Estimate","Fayette County, Georgia!!Total!!Margin of Error","Fayette County, Georgia!!With a disability!!Estimate","Fayette County, Georgia!!With a disability!!Margin of Error","Fayette County, Georgia!!Percent with a disability!!Estimate","Fayette County, Georgia!!Percent with a disability!!Margin of Error","Floyd County, Georgia!!Total!!Estimate","Floyd County, Georgia!!Total!!Margin of Error","Floyd County, Georgia!!With a disability!!Estimate","Floyd County, Georgia!!With a disability!!Margin of Error","Floyd County, Georgia!!Percent with a disability!!Estimate","Floyd County, Georgia!!Percent with a disability!!Margin of Error","Forsyth County, Georgia!!Total!!Estimate","Forsyth County, Georgia!!Total!!Margin of Error","Forsyth County, Georgia!!With a disability!!Estimate","Forsyth County, Georgia!!With a disability!!Margin of Error","Forsyth County, Georgia!!Percent with a disability!!Estimate","Forsyth County, Georgia!!Percent with a disability!!Margin of Error","Fulton County, Georgia!!Total!!Estimate","Fulton County, Georgia!!Total!!Margin of Error","Fulton County, Georgia!!With a disability!!Estimate","Fulton County, Georgia!!With a disability!!Margin of Error","Fulton County, Georgia!!Percent with a disability!!Estimate","Fulton County, Georgia!!Percent with a disability!!Margin of Error","Glynn County, Georgia!!Total!!Estimate","Glynn County, Georgia!!Total!!Margin of Error","Glynn County, Georgia!!With a disability!!Estimate","Glynn County, Georgia!!With a disability!!Margin of Error","Glynn County, Georgia!!Percent with a disability!!Estimate","Glynn County, Georgia!!Percent with a disability!!Margin of Error","Gwinnett County, Georgia!!Total!!Estimate","Gwinnett County, Georgia!!Total!!Margin of Error","Gwinnett County, Georgia!!With a disability!!Estimate","Gwinnett County, Georgia!!With a disability!!Margin of Error","Gwinnett County, Georgia!!Percent with a disability!!Estimate","Gwinnett County, Georgia!!Percent with a disability!!Margin of Error","Hall County, Georgia!!Total!!Estimate","Hall County, Georgia!!Total!!Margin of Error","Hall County, Georgia!!With a disability!!Estimate","Hall County, Georgia!!With a disability!!Margin of Error","Hall County, Georgia!!Percent with a disability!!Estimate","Hall County, Georgia!!Percent with a disability!!Margin of Error","Henry County, Georgia!!Total!!Estimate","Henry County, Georgia!!Total!!Margin of Error","Henry County, Georgia!!With a disability!!Estimate","Henry County, Georgia!!With a disability!!Margin of Error","Henry County, Georgia!!Percent with a disability!!Estimate","Henry County, Georgia!!Percent with a disability!!Margin of Error","Houston County, Georgia!!Total!!Estimate","Houston County, Georgia!!Total!!Margin of Error","Houston County, Georgia!!With a disability!!Estimate","Houston County, Georgia!!With a disability!!Margin of Error","Houston County, Georgia!!Percent with a disability!!Estimate","Houston County, Georgia!!Percent with a disability!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!With a disability!!Estimate","Jackson County, Georgia!!With a disability!!Margin of Error","Jackson County, Georgia!!Percent with a disability!!Estimate","Jackson County, Georgia!!Percent with a disability!!Margin of Error","Lowndes County, Georgia!!Total!!Estimate","Lowndes County, Georgia!!Total!!Margin of Error","Lowndes County, Georgia!!With a disability!!Estimate","Lowndes County, Georgia!!With a disability!!Margin of Error","Lowndes County, Georgia!!Percent with a disability!!Estimate","Lowndes County, Georgia!!Percent with a disability!!Margin of Error","Muscogee County, Georgia!!Total!!Estimate","Muscogee County, Georgia!!Total!!Margin of Error","Muscogee County, Georgia!!With a disability!!Estimate","Muscogee County, Georgia!!With a disability!!Margin of Error","Muscogee County, Georgia!!Percent with a disability!!Estimate","Muscogee County, Georgia!!Percent with a disability!!Margin of Error","Newton County, Georgia!!Total!!Estimate","Newton County, Georgia!!Total!!Margin of Error","Newton County, Georgia!!With a disability!!Estimate","Newton County, Georgia!!With a disability!!Margin of Error","Newton County, Georgia!!Percent with a disability!!Estimate","Newton County, Georgia!!Percent with a disability!!Margin of Error","Paulding County, Georgia!!Total!!Estimate","Paulding County, Georgia!!Total!!Margin of Error","Paulding County, Georgia!!With a disability!!Estimate","Paulding County, Georgia!!With a disability!!Margin of Error","Paulding County, Georgia!!Percent with a disability!!Estimate","Paulding County, Georgia!!Percent with a disability!!Margin of Error","Richmond County, Georgia!!Total!!Estimate","Richmond County, Georgia!!Total!!Margin of Error","Richmond County, Georgia!!With a disability!!Estimate","Richmond County, Georgia!!With a disability!!Margin of Error","Richmond County, Georgia!!Percent with a disability!!Estimate","Richmond County, Georgia!!Percent with a disability!!Margin of Error","Rockdale County, Georgia!!Total!!Estimate","Rockdale County, Georgia!!Total!!Margin of Error","Rockdale County, Georgia!!With a disability!!Estimate","Rockdale County, Georgia!!With a disability!!Margin of Error","Rockdale County, Georgia!!Percent with a disability!!Estimate","Rockdale County, Georgia!!Percent with a disability!!Margin of Error","Spalding County, Georgia!!Total!!Estimate","Spalding County, Georgia!!Total!!Margin of Error","Spalding County, Georgia!!With a disability!!Estimate","Spalding County, Georgia!!With a disability!!Margin of Error","Spalding County, Georgia!!Percent with a disability!!Estimate","Spalding County, Georgia!!Percent with a disability!!Margin of Error","Troup County, Georgia!!Total!!Estimate","Troup County, Georgia!!Total!!Margin of Error","Troup County, Georgia!!With a disability!!Estimate","Troup County, Georgia!!With a disability!!Margin of Error","Troup County, Georgia!!Percent with a disability!!Estimate","Troup County, Georgia!!Percent with a disability!!Margin of Error","Walker County, Georgia!!Total!!Estimate","Walker County, Georgia!!Total!!Margin of Error","Walker County, Georgia!!With a disability!!Estimate","Walker County, Georgia!!With a disability!!Margin of Error","Walker County, Georgia!!Percent with a disability!!Estimate","Walker County, Georgia!!Percent with a disability!!Margin of Error","Walton County, Georgia!!Total!!Estimate","Walton County, Georgia!!Total!!Margin of Error","Walton County, Georgia!!With a disability!!Estimate","Walton County, Georgia!!With a disability!!Margin of Error","Walton County, Georgia!!Percent with a disability!!Estimate","Walton County, Georgia!!Percent with a disability!!Margin of Error","Whitfield County, Georgia!!Total!!Estimate","Whitfield County, Georgia!!Total!!Margin of Error","Whitfield County, Georgia!!With a disability!!Estimate","Whitfield County, Georgia!!With a disability!!Margin of Error","Whitfield County, Georgia!!Percent with a disability!!Estimate","Whitfield County, Georgia!!Percent with a disability!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!With a disability!!Estimate","United States!!With a disability!!Margin of Error","United States!!Percent with a disability!!Estimate","United States!!Percent with a disability!!Margin of Error"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","52,257","±7,100","3,363","±1,565","6.4%","±2.7","N","N","N","N","N","N","N","N","N","N","N","N","15,189","±3,802","379","±329","2.5%","±2.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","17,216","±4,212","1,213","±775","7.0%","±4.9","N","N","N","N","N","N","87,859","±11,369","1,784","±762","2.0%","±0.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,991","±2,265","814","±654","13.6%","±11.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,143,634","±121,900","1,357,581","±26,319","8.4%","±0.2"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,627","±1,352","731","±629","13.0%","±10.8","N","N","N","N","N","N","11,043","±3,752","1,140","±942","10.3%","±8.2","22,260","±4,609","2,160","±835","9.7%","±3.7","N","N","N","N","N","N","N","N","N","N","N","N","18,595","±3,675","1,642","±844","8.8%","±3.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,970","±1,568","452","±271","7.6%","±4.7","24,824","±5,104","2,772","±2,052","11.2%","±7.1","N","N","N","N","N","N","34,029","±5,790","3,539","±1,194","10.4%","±3.1","5,798","±1,509","934","±523","16.1%","±8.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","6,950","±1,926","750","±399","10.8%","±5.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","11,138,138","±119,104","1,226,192","±23,616","11.0%","±0.2"
"        White alone, not Hispanic or Latino","57,594","±280","11,877","±2,184","20.6%","±3.8","82,339","±343","11,819","±1,856","14.4%","±2.3","56,562","±370","10,783","±2,039","19.1%","±3.6","49,797","±414","6,417","±1,427","12.9%","±2.9","82,713","±1,654","12,756","±2,337","15.4%","±2.8","60,866","±194","11,602","±2,248","19.1%","±3.7","133,038","±1,403","19,615","±2,753","14.7%","±2.1","198,572","±2,956","20,934","±3,151","10.5%","±1.6","69,793","±559","8,455","±1,420","12.1%","±2.0","25,824","±357","5,591","±1,372","21.7%","±5.3","382,735","±3,090","40,764","±3,701","10.7%","±1.0","104,276","±697","11,475","±2,467","11.0%","±2.4","104,015","±616","12,743","±1,924","12.3%","±1.8","219,890","±902","18,914","±2,502","8.6%","±1.1","20,672","±272","4,148","±904","20.1%","±4.3","54,222","±468","8,220","±1,696","15.2%","±3.1","68,948","±234","8,547","±1,668","12.4%","±2.4","67,718","±670","11,112","±1,831","16.4%","±2.7","167,423","±579","14,245","±1,688","8.5%","±1.0","415,906","±1,700","31,886","±2,767","7.7%","±0.7","53,569","±432","8,493","±1,421","15.9%","±2.6","326,856","±1,754","31,617","±3,216","9.7%","±1.0","122,133","±425","18,734","±2,028","15.3%","±1.7","93,359","±343","11,299","±1,520","12.1%","±1.6","82,726","±1,202","12,509","±2,281","15.1%","±2.8","57,453","±1,072","9,684","±1,336","16.9%","±2.3","58,125","±1,443","6,327","±1,430","10.9%","±2.4","72,598","±992","13,688","±1,790","18.9%","±2.5","48,596","±462","8,049","±1,162","16.6%","±2.4","114,844","±568","14,267","±2,622","12.4%","±2.3","62,132","±1,203","12,425","±1,864","20.0%","±3.0","26,006","±222","5,462","±1,012","21.0%","±3.9","37,464","±736","6,058","±1,359","16.2%","±3.6","37,536","±888","6,421","±1,275","17.1%","±3.5","61,711","±911","15,451","±2,498","25.0%","±4.0","68,530","±503","11,250","±1,784","16.4%","±2.6","59,180","±627","8,348","±1,290","14.1%","±2.2","194,023,129","±29,680","27,321,676","±104,964","14.1%","±0.1"
"        Hispanic or Latino (of any race)","10,137","±234","1,057","±808","10.4%","±8.0","9,753","±120","929","±749","9.5%","±7.7","5,160","±154","363","±269","7.0%","±5.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","19,025","±220","2,990","±1,701","15.7%","±9.0","28,537","±63","2,794","±1,229","9.8%","±4.3","14,107","±14","748","±450","5.3%","±3.2","38,658","±368","1,873","±1,015","4.8%","±2.6","100,741","±154","7,354","±1,842","7.3%","±1.8","N","N","N","N","N","N","10,832","±39","1,574","±679","14.5%","±6.3","64,656","±137","2,937","±896","4.5%","±1.4","N","N","N","N","N","N","14,944","±67","477","±462","3.2%","±3.1","8,488","±115","367","±348","4.3%","±4.1","11,355","±119","1,416","±1,123","12.5%","±9.9","23,606","±234","1,200","±748","5.1%","±3.2","76,228","±272","6,172","±2,250","8.1%","±3.0","N","N","N","N","N","N","203,055","±325","7,329","±1,662","3.6%","±0.8","59,343","±152","5,346","±2,031","9.0%","±3.4","16,881","±124","640","±537","3.8%","±3.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","13,586","±646","1,695","±705","12.5%","±5.1","N","N","N","N","N","N","N","N","N","N","N","N","8,593","±570","1,569","±732","18.3%","±8.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,553","±181","663","±454","14.6%","±10.0","37,946","±101","1,403","±679","3.7%","±1.8","59,686,770","±16,460","5,405,562","±47,616","9.1%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","5,340","±388","0","±234","0.0%","±4.2","6,842","±961","0","±234","0.0%","±3.3","10,094","±515","448","±416","4.4%","±4.2","4,388","±312","0","±234","0.0%","±5.0","8,128","±856","22","±39","0.3%","±0.5","4,280","±754","177","±255","4.1%","±6.1","16,242","±646","0","±234","0.0%","±1.4","14,547","±923","81","±136","0.6%","±0.9","7,062","±1,296","46","±82","0.7%","±1.1","22,220","±653","0","±234","0.0%","±1.0","46,140","±5","1,187","±959","2.6%","±2.1","8,386","±678","108","±181","1.3%","±2.2","8,474","±555","69","±114","0.8%","±1.3","52,559","±477","248","±401","0.5%","±0.8","6,084","±578","0","±234","0.0%","±3.7","9,120","±226","0","±234","0.0%","±2.5","5,050","±331","0","±234","0.0%","±4.4","5,216","±685","0","±234","0.0%","±4.3","13,994","±315","0","±234","0.0%","±1.6","61,084","±5","1,479","±1,285","2.4%","±2.1","3,655","±950","0","±234","0.0%","±6.0","60,884","±366","114","±197","0.2%","±0.3","12,892","±501","133","±216","1.0%","±1.7","13,148","±918","206","±249","1.6%","±1.8","9,650","±690","141","±260","1.5%","±2.7","4,972","±443","0","±234","0.0%","±4.5","8,196","±696","0","±234","0.0%","±2.7","13,694","±311","58","±106","0.4%","±0.8","7,410","±571","169","±263","2.3%","±3.6","10,509","±5","0","±234","0.0%","±2.1","13,366","±448","0","±234","0.0%","±1.7","4,573","±733","409","±500","8.9%","±11.0","4,091","±227","0","±234","0.0%","±5.4","4,468","±241","330","±429","7.4%","±9.6","3,863","±397","55","±99","1.4%","±2.5","5,245","±496","0","±234","0.0%","±4.2","6,964","±465","0","±234","0.0%","±3.2","19,401,454","±22,231","138,659","±7,336","0.7%","±0.1"
"        5 to 17 years","16,243","±407","2,343","±916","14.4%","±5.7","18,869","±954","1,210","±615","6.4%","±3.3","27,024","±515","2,475","±911","9.2%","±3.4","11,101","±209","921","±563","8.3%","±5.1","20,118","±883","1,346","±671","6.7%","±3.3","11,141","±713","507","±427","4.6%","±3.9","44,026","±799","4,407","±1,336","10.0%","±3.0","47,551","±932","1,987","±1,013","4.2%","±2.1","14,932","±1,293","2,015","±772","13.5%","±5.2","58,349","±659","2,986","±1,078","5.1%","±1.8","130,176","±355","6,089","±1,686","4.7%","±1.3","30,953","±678","860","±474","2.8%","±1.5","27,565","±568","1,679","±890","6.1%","±3.2","121,492","±40","6,490","±1,925","5.3%","±1.6","14,253","±4","462","±336","3.2%","±2.4","28,288","±372","583","±438","2.1%","±1.5","21,270","±332","997","±492","4.7%","±2.3","17,417","±708","1,749","±967","10.0%","±5.5","51,560","±403","1,064","±406","2.1%","±0.8","166,565","±321","9,074","±2,645","5.4%","±1.6","14,549","±952","65","±82","0.4%","±0.6","188,446","±534","6,391","±1,811","3.4%","±1.0","37,691","±501","882","±403","2.3%","±1.1","46,129","±917","994","±616","2.2%","±1.3","30,599","±967","661","±540","2.2%","±1.8","13,820","±585","583","±324","4.2%","±2.4","20,223","±403","861","±537","4.3%","±2.7","34,492","±358","3,818","±1,007","11.1%","±2.9","21,427","±572","1,145","±712","5.3%","±3.3","33,354","±540","1,850","±1,084","5.5%","±3.3","32,597","±801","2,561","±932","7.9%","±2.8","17,382","±846","943","±483","5.4%","±2.8","11,551","±228","1,125","±923","9.7%","±8.0","12,080","±245","575","±504","4.8%","±4.1","11,141","±396","1,228","±846","11.0%","±7.6","17,614","±442","622","±431","3.5%","±2.4","20,035","±483","353","±322","1.8%","±1.6","53,433,593","±32,613","3,006,292","±34,953","5.6%","±0.1"
"        18 to 34 years","18,480","±850","3,647","±1,233","19.7%","±6.6","23,464","±1,502","2,110","±1,211","9.0%","±5.3","35,705","±818","3,182","±1,326","8.9%","±3.7","31,192","±1,298","1,456","±744","4.7%","±2.4","29,917","±999","1,705","±952","5.7%","±3.2","13,755","±1,191","1,663","±1,013","12.1%","±6.9","74,991","±1,969","5,269","±1,520","7.0%","±2.0","52,099","±1,384","2,427","±930","4.7%","±1.8","54,329","±1,639","3,708","±1,773","6.8%","±3.2","72,589","±2,051","4,838","±1,374","6.7%","±1.9","177,712","±1,212","8,574","±2,358","4.8%","±1.3","34,101","±2,858","3,274","±1,680","9.6%","±4.8","30,272","±1,256","1,620","±667","5.4%","±2.2","188,860","±1,184","8,817","±2,402","4.7%","±1.3","20,870","±1,424","2,635","±1,149","12.6%","±5.5","31,846","±1,106","2,130","±1,183","6.7%","±3.7","18,366","±1,077","1,914","±677","10.4%","±3.7","21,479","±1,745","1,384","±900","6.4%","±4.1","40,717","±1,299","1,952","±770","4.8%","±1.9","288,147","±767","17,852","±2,817","6.2%","±1.0","17,348","±731","313","±443","1.8%","±2.5","206,801","±816","8,069","±2,012","3.9%","±1.0","43,760","±1,111","3,758","±1,366","8.6%","±3.2","50,330","±1,182","2,466","±1,171","4.9%","±2.3","34,611","±1,928","3,722","±1,426","10.8%","±4.1","14,360","±795","1,482","±625","10.3%","±4.3","34,586","±1,133","2,048","±1,193","5.9%","±3.5","43,296","±1,691","4,110","±1,412","9.5%","±3.2","25,456","±1,984","1,272","±739","5.0%","±2.8","34,046","±1,335","2,818","±1,013","8.3%","±3.0","47,912","±1,601","4,261","±1,193","8.9%","±2.5","18,422","±1,530","1,067","±665","5.8%","±3.6","13,075","±1,420","1,021","±578","7.8%","±4.4","17,807","±960","1,727","±784","9.7%","±4.5","13,559","±921","2,688","±1,206","19.8%","±8.8","19,514","±1,192","1,214","±713","6.2%","±3.7","22,716","±886","1,767","±696","7.8%","±3.0","74,020,428","±40,229","4,970,992","±46,138","6.7%","±0.1"
"        35 to 64 years","32,711","±1,015","5,325","±1,333","16.3%","±4.0","41,551","±1,746","4,678","±1,213","11.3%","±2.9","53,744","±630","10,170","±1,795","18.9%","±3.3","23,477","±1,263","3,259","±928","13.9%","±3.9","44,377","±1,395","7,531","±1,710","17.0%","±3.7","26,204","±937","4,543","±1,676","17.3%","±6.4","99,664","±1,930","14,626","±2,371","14.7%","±2.3","105,466","±1,602","10,415","±2,329","9.9%","±2.2","37,189","±1,603","5,831","±1,317","15.7%","±3.4","107,397","±1,893","13,760","±2,321","12.8%","±2.2","306,144","±727","24,700","±3,533","8.1%","±1.1","59,731","±2,597","8,058","±2,070","13.5%","±3.5","60,056","±1,399","6,357","±1,228","10.6%","±2.0","293,719","±1,127","29,297","±3,848","10.0%","±1.3","30,211","±1,200","6,227","±1,306","20.6%","±4.5","58,644","±1,048","6,123","±1,792","10.4%","±3.1","47,393","±1,140","5,146","±1,280","10.9%","±2.7","35,581","±1,592","6,224","±1,453","17.5%","±3.8","107,003","±1,382","5,830","±1,042","5.4%","±1.0","412,787","±1,046","35,368","±4,656","8.6%","±1.1","31,409","±552","4,126","±1,369","13.1%","±4.3","377,270","±614","25,691","±3,950","6.8%","±1.0","78,309","±1,485","11,343","±1,854","14.5%","±2.3","95,671","±1,288","7,953","±1,826","8.3%","±1.9","58,213","±1,626","8,593","±2,019","14.8%","±3.5","28,372","±1,089","5,574","±1,136","19.6%","±4.0","34,510","±1,000","4,442","±1,031","12.9%","±3.0","68,250","±1,436","14,784","±1,719","21.7%","±2.5","42,108","±1,904","8,802","±3,086","20.9%","±7.3","72,050","±1,544","6,390","±1,983","8.9%","±2.8","68,439","±1,226","16,693","±2,584","24.4%","±3.8","36,178","±1,454","3,879","±1,141","10.7%","±3.2","24,623","±1,552","3,359","±1,037","13.6%","±4.1","23,482","±1,343","4,420","±1,293","18.8%","±5.3","26,972","±1,310","7,401","±1,775","27.4%","±6.6","36,552","±1,168","5,809","±1,301","15.9%","±3.6","39,242","±1,373","3,887","±1,045","9.9%","±2.7","123,482,786","±47,507","15,303,033","±71,361","12.4%","±0.1"
"        65 to 74 years","6,745","±651","2,185","±688","32.4%","±9.4","9,567","±841","3,120","±839","32.6%","±9.1","13,845","±231","4,140","±917","29.9%","±6.6","5,541","±537","1,253","±611","22.6%","±10.4","9,797","±638","3,271","±836","33.4%","±7.9","6,792","±169","2,748","±714","40.5%","±10.8","27,478","±590","8,985","±1,528","32.7%","±5.4","25,047","±1,124","6,423","±1,840","25.6%","±7.0","8,983","±671","2,171","±642","24.2%","±6.9","18,988","±790","5,537","±1,496","29.2%","±7.8","59,941","±953","14,157","±1,824","23.6%","±3.0","13,684","±1,034","2,788","±910","20.4%","±6.6","13,424","±766","4,394","±1,094","32.7%","±7.6","60,401","±1,144","12,671","±1,919","21.0%","±3.0","8,688","±313","2,844","±614","32.7%","±7.2","10,655","±971","2,406","±835","22.6%","±7.6","13,060","±552","2,046","±772","15.7%","±5.8","10,030","±513","3,171","±882","31.6%","±8.0","18,206","±641","3,368","±875","18.5%","±4.8","77,495","±1,009","16,700","±1,998","21.5%","±2.6","10,858","±499","2,645","±819","24.4%","±7.6","63,845","±573","9,349","±1,843","14.6%","±2.9","18,125","±858","4,875","±1,172","26.9%","±6.1","17,863","±501","3,685","±787","20.6%","±4.5","11,977","±946","3,931","±1,297","32.8%","±10.6","6,806","±716","2,223","±757","32.7%","±12.1","8,360","±472","1,921","±711","23.0%","±8.5","15,656","±621","5,622","±910","35.9%","±5.7","9,505","±728","2,783","±817","29.3%","±9.1","11,729","±571","2,510","±999","21.4%","±8.3","17,827","±614","5,168","±899","29.0%","±5.0","8,664","±354","3,038","±860","35.1%","±10.1","6,568","±684","2,118","±957","32.2%","±13.5","6,931","±663","3,014","±848","43.5%","±9.8","7,234","±428","2,577","±681","35.6%","±9.2","9,467","±788","3,355","±875","35.4%","±7.9","8,199","±570","1,900","±687","23.2%","±8.0","31,216,223","±24,889","7,522,485","±44,879","24.1%","±0.1"
