,asa.county,asa.states,score_infection,score_death,asa.population,asa.under5yr,asa.15yrto44yr,asa.65andOver,asa.75andOver,asa.bachelor,asa.disabilityrate,asa.employment,asa.highrisk,asa.population_density,asa.lessHighSchool,asa.nocomputer,asa.noinsurance,asa.nointernet,asa.poverty,asa.black,asa.white,map_cty,map_state
33,Bullitt County ,KY,-0.693400697,-0.024532909,81676,0.047847593,0.382046134,0.166450365,0.063666193,0.112419805,0.161,0.521315931,0.060911406,2.673256309,0.087088006,0.024597189,0.043,0.052010382,0.06,0,0.948895636,bullitt,kentucky
34,Bulloch County ,GA,-0.36097062,-0.031710315,79608,0.055120088,0.525675811,0.11374485,0.042822329,0.158363481,0.109,0.492098784,0.089563863,2.777669225,0.068623756,0.01497337,0.129,0.063687067,0.225,0.281077279,0.64661843,bulloch,georgia
35,Buncombe County ,NC,-1.225689876,-0.009907787,261191,0.047964899,0.38400634,0.207189375,0.084704297,0.306285439,0.13,0.494607395,0.097905364,2.446960399,0.069470234,0.040395726,0.133,0.066047452,0.122,0.063459308,0.87096416,buncombe,north carolina
36,Burke County ,NC,0.570626022,0.005541661,90485,0.047223297,0.342642427,0.206763552,0.092711499,0.145018511,0.205,0.443543129,0.08433442,2.469973249,0.140155827,0.050339835,0.116,0.088368238,0.21,0.033187821,0.807072996,burke,north carolina
37,Cabarrus County ,NC,-0.218736588,-0.009517711,216453,0.062780373,0.394741584,0.140995967,0.055550166,0.237326348,0.099,0.514407285,0.094514745,3.146210646,0.069058872,0.016955182,0.092,0.03111068,0.073,0.184691365,0.681593695,cabarrus,north carolina
38,Caddo Parish ,LA,0.735329896,0.07326068,240204,0.065527635,0.380547368,0.178806348,0.074328487,0.17066327,0.173,0.401004979,0.093000117,2.594303859,0.108299612,0.048542073,0.088,0.105593579,0.246,0.490245791,0.448248156,caddo,louisiana
39,Calcasieu Parish ,LA,0.539619277,0.010443045,203436,0.073054917,0.396537486,0.151688983,0.060510431,0.155621424,0.133,0.411284139,0.078929,2.634089497,0.109788828,0.035323148,0.08,0.066153483,0.21,0.245571089,0.691794963,calcasieu,louisiana
40,Caldwell County ,NC,0.482165628,-0.025460083,82178,0.047360607,0.339762467,0.197984862,0.082004916,0.126554552,0.198,0.473496556,0.069726691,2.527542829,0.16817153,0.05063399,0.132,0.059675339,0.1,0,0.878166906,caldwell,north carolina
41,Calhoun County ,AL,0.718382732,0.017519373,113605,0.058967475,0.386329827,0.18094274,0.074450948,0.139087188,0.2,0.401751683,0.073051362,2.545142934,0.115241407,0.051080498,0.111,0.081712953,0.173,0.217085516,0.707741737,calhoun,alabama
42,Cameron County ,TX,1.04095912,0.104835234,423163,0.077516229,0.404565144,0.138712506,0.060463698,0.105444001,0.124,0.400436711,0.10399775,3.272545183,0.207473243,0.04612407,0.3,0.086165378,0.256,0,0.933720576,cameron,texas
43,Campbell County ,KY,-0.658716633,-0.02360031,93584,0.059283638,0.399320397,0.164974782,0.065214139,0.295018379,0.134,0.516744315,0.071935374,2.455628444,0.061570354,0.038820739,0.044,0.059166097,0.112,0,0.922636348,campbell,kentucky
44,Canadian County ,OK,0.036079731,-0.030268636,148306,0.061797904,0.422929618,0.133089693,0.050523917,0.185636454,0.145,0.498900921,0.069660027,3.223693077,0.089214192,0.013654201,0.104,0.028987364,0.087,0,0.806002454,canadian,oklahoma
45,Carroll County ,GA,-0.633260483,-0.004281746,119992,0.067737849,0.436429095,0.138467565,0.05490366,0.123516568,0.142,0.468914594,0.069287953,2.803682415,0.124616641,0.030677045,0.154,0.046903127,0.151,0.202246816,0.73109874,carroll,georgia
46,Carteret County ,NC,-1.221610311,-0.036639139,69473,0.0393966,0.306190894,0.257164654,0.101420696,0.235040951,0.162,0.463057591,0.078778806,2.398763898,0.080650037,0.033768514,0.106,0.045442114,0.089,0.045398932,0.887970866,carteret,north carolina
47,Catawba County ,NC,0.581745441,0.00472254,159551,0.04979599,0.36437252,0.183690481,0.073174095,0.171637909,0.144,0.491128229,0.073011138,2.556210648,0.100964582,0.037674474,0.16,0.056539915,0.149,0.086342298,0.780634405,catawba,north carolina
48,Catoosa County ,GA,-0.666377112,-0.028306526,67580,0.063332347,0.364501332,0.175998816,0.07494821,0.163717076,0.189,0.451553714,0.078070435,2.800663075,0.080941107,0.025865641,0.081,0.040219,0.076,0,0.923039361,catoosa,georgia
