"","long","lat","group","order","region","subregion","IS","DS","TS"
"53",-87.9375686645508,31.1459865570068,2,53,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"54",-87.9318313598633,31.1517143249512,2,54,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"55",-87.9203720092773,31.1517143249512,2,55,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"56",-87.9031829833984,31.1631755828857,2,56,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"57",-87.891731262207,31.1631755828857,2,57,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"58",-87.8802642822266,31.1517143249512,2,58,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"59",-87.8745346069336,31.1631755828857,2,59,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"60",-87.8745346069336,31.180362701416,2,60,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"61",-87.8630752563477,31.180362701416,2,61,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"62",-87.8573532104492,31.1860942840576,2,62,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"63",-87.8630752563477,31.1918201446533,2,63,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"64",-87.8745346069336,31.1975517272949,2,64,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"65",-87.8688049316406,31.2090129852295,2,65,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"66",-87.8401565551758,31.2090129852295,2,66,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"67",-87.8344268798828,31.2204704284668,2,67,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"68",-87.8516235351562,31.2433891296387,2,68,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"69",-87.8344268798828,31.2433891296387,2,69,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
"70",-87.8286972045898,31.2491188049316,2,70,"alabama","baldwin",-0.478110694905572,-0.818040138357316,-0.648075416631444
