"Label","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Total!!Margin of Error","Baldwin County, Alabama!!Percent!!Estimate","Baldwin County, Alabama!!Percent!!Margin of Error","Calhoun County, Alabama!!Total!!Estimate","Calhoun County, Alabama!!Total!!Margin of Error","Calhoun County, Alabama!!Percent!!Estimate","Calhoun County, Alabama!!Percent!!Margin of Error","Cullman County, Alabama!!Total!!Estimate","Cullman County, Alabama!!Total!!Margin of Error","Cullman County, Alabama!!Percent!!Estimate","Cullman County, Alabama!!Percent!!Margin of Error","DeKalb County, Alabama!!Total!!Estimate","DeKalb County, Alabama!!Total!!Margin of Error","DeKalb County, Alabama!!Percent!!Estimate","DeKalb County, Alabama!!Percent!!Margin of Error","Elmore County, Alabama!!Total!!Estimate","Elmore County, Alabama!!Total!!Margin of Error","Elmore County, Alabama!!Percent!!Estimate","Elmore County, Alabama!!Percent!!Margin of Error","Etowah County, Alabama!!Total!!Estimate","Etowah County, Alabama!!Total!!Margin of Error","Etowah County, Alabama!!Percent!!Estimate","Etowah County, Alabama!!Percent!!Margin of Error","Houston County, Alabama!!Total!!Estimate","Houston County, Alabama!!Total!!Margin of Error","Houston County, Alabama!!Percent!!Estimate","Houston County, Alabama!!Percent!!Margin of Error","Jefferson County, Alabama!!Total!!Estimate","Jefferson County, Alabama!!Total!!Margin of Error","Jefferson County, Alabama!!Percent!!Estimate","Jefferson County, Alabama!!Percent!!Margin of Error","Lauderdale County, Alabama!!Total!!Estimate","Lauderdale County, Alabama!!Total!!Margin of Error","Lauderdale County, Alabama!!Percent!!Estimate","Lauderdale County, Alabama!!Percent!!Margin of Error","Lee County, Alabama!!Total!!Estimate","Lee County, Alabama!!Total!!Margin of Error","Lee County, Alabama!!Percent!!Estimate","Lee County, Alabama!!Percent!!Margin of Error","Limestone County, Alabama!!Total!!Estimate","Limestone County, Alabama!!Total!!Margin of Error","Limestone County, Alabama!!Percent!!Estimate","Limestone County, Alabama!!Percent!!Margin of Error","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Total!!Margin of Error","Madison County, Alabama!!Percent!!Estimate","Madison County, Alabama!!Percent!!Margin of Error","Marshall County, Alabama!!Total!!Estimate","Marshall County, Alabama!!Total!!Margin of Error","Marshall County, Alabama!!Percent!!Estimate","Marshall County, Alabama!!Percent!!Margin of Error","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Total!!Margin of Error","Mobile County, Alabama!!Percent!!Estimate","Mobile County, Alabama!!Percent!!Margin of Error","Montgomery County, Alabama!!Total!!Estimate","Montgomery County, Alabama!!Total!!Margin of Error","Montgomery County, Alabama!!Percent!!Estimate","Montgomery County, Alabama!!Percent!!Margin of Error","Morgan County, Alabama!!Total!!Estimate","Morgan County, Alabama!!Total!!Margin of Error","Morgan County, Alabama!!Percent!!Estimate","Morgan County, Alabama!!Percent!!Margin of Error","St. Clair County, Alabama!!Total!!Estimate","St. Clair County, Alabama!!Total!!Margin of Error","St. Clair County, Alabama!!Percent!!Estimate","St. Clair County, Alabama!!Percent!!Margin of Error","Shelby County, Alabama!!Total!!Estimate","Shelby County, Alabama!!Total!!Margin of Error","Shelby County, Alabama!!Percent!!Estimate","Shelby County, Alabama!!Percent!!Margin of Error","Talladega County, Alabama!!Total!!Estimate","Talladega County, Alabama!!Total!!Margin of Error","Talladega County, Alabama!!Percent!!Estimate","Talladega County, Alabama!!Percent!!Margin of Error","Tuscaloosa County, Alabama!!Total!!Estimate","Tuscaloosa County, Alabama!!Total!!Margin of Error","Tuscaloosa County, Alabama!!Percent!!Estimate","Tuscaloosa County, Alabama!!Percent!!Margin of Error","Walker County, Alabama!!Total!!Estimate","Walker County, Alabama!!Total!!Margin of Error","Walker County, Alabama!!Percent!!Estimate","Walker County, Alabama!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"                Other computer with no other type of computing device","0","±206","0.0%","±0.2","0","±206","0.0%","±0.4","81","±133","0.3%","±0.4","89","±152","0.4%","±0.6","0","±206","0.0%","±0.6","0","±206","0.0%","±0.4","0","±206","0.0%","±0.4","152","±189","0.1%","±0.1","0","±206","0.0%","±0.4","0","±206","0.0%","±0.3","0","±206","0.0%","±0.5","107","±185","0.1%","±0.1","58","±99","0.2%","±0.3","0","±206","0.0%","±0.1","39","±64","0.0%","±0.1","0","±206","0.0%","±0.4","0","±206","0.0%","±0.5","77","±131","0.1%","±0.2","0","±206","0.0%","±0.6","0","±206","0.0%","±0.2","0","±206","0.0%","±0.7","25,911","±2,308","0.0%","±0.1"
"        No computer","5,044","±1,395","6.1%","±1.7","5,803","±1,370","13.0%","±3.1","4,201","±886","13.1%","±2.7","3,367","±935","13.5%","±3.7","2,845","±931","9.3%","±3.0","4,929","±1,180","12.3%","±2.9","3,587","±523","9.0%","±1.3","24,625","±2,348","9.3%","±0.9","4,507","±1,061","11.6%","±2.8","4,480","±1,287","7.0%","±2.0","2,117","±561","6.6%","±1.7","7,743","±1,428","5.0%","±0.9","3,540","±798","10.0%","±2.3","14,708","±2,176","9.4%","±1.4","8,005","±1,477","9.0%","±1.6","5,336","±1,376","11.5%","±2.9","1,768","±959","5.4%","±2.9","3,346","±934","4.0%","±1.1","4,726","±931","15.4%","±2.9","6,903","±1,482","9.3%","±2.0","2,886","±940","11.5%","±3.8","8,740,203","±55,179","7.1%","±0.1"
"    TYPE OF INTERNET SUBSCRIPTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With an Internet subscription:","71,538","±3,567","86.9%","±2.3","35,353","±2,291","79.2%","±3.7","26,391","±1,388","82.2%","±3.8","20,475","±1,467","82.3%","±3.8","26,051","±1,658","84.8%","±3.9","32,403","±1,969","80.9%","±3.0","33,615","±1,104","84.5%","±1.7","222,696","±4,170","84.1%","±1.2","29,012","±2,095","74.8%","±4.6","54,722","±2,315","84.9%","±2.8","29,635","±1,501","92.6%","±1.9","140,312","±3,213","90.0%","±1.5","30,127","±1,682","85.3%","±2.8","125,137","±3,370","80.2%","±1.7","74,951","±2,481","84.3%","±2.0","36,139","±2,134","77.8%","±3.4","27,870","±2,032","84.9%","±4.6","76,487","±1,980","91.0%","±1.5","25,238","±1,752","82.5%","±3.1","64,135","±2,987","86.4%","±2.2","19,493","±1,516","77.5%","±4.6","106,364,661","±221,795","86.6%","±0.1"
"            Dial-up with no other type of Internet subscription","186","±243","0.2%","±0.3","0","±206","0.0%","±0.4","68","±120","0.2%","±0.4","82","±137","0.3%","±0.6","56","±95","0.2%","±0.3","60","±94","0.1%","±0.2","60","±47","0.2%","±0.1","599","±455","0.2%","±0.2","184","±178","0.5%","±0.5","55","±100","0.1%","±0.2","85","±103","0.3%","±0.3","392","±375","0.3%","±0.2","17","±17","0.0%","±0.1","2,283","±1,003","1.5%","±0.6","117","±136","0.1%","±0.2","0","±206","0.0%","±0.4","415","±396","1.3%","±1.2","94","±156","0.1%","±0.2","0","±206","0.0%","±0.6","48","±82","0.1%","±0.1","0","±206","0.0%","±0.7","265,331","±7,387","0.2%","±0.1"
"            Broadband of any type","71,352","±3,555","86.7%","±2.3","35,353","±2,291","79.2%","±3.7","26,323","±1,391","82.0%","±3.8","20,393","±1,453","82.0%","±3.8","25,995","±1,677","84.6%","±3.9","32,343","±1,977","80.8%","±3.0","33,555","±1,105","84.4%","±1.7","222,097","±4,136","83.9%","±1.3","28,828","±2,131","74.4%","±4.7","54,667","±2,314","84.8%","±2.8","29,550","±1,509","92.3%","±1.9","139,920","±3,265","89.8%","±1.5","30,110","±1,678","85.2%","±2.8","122,854","±3,610","78.8%","±1.8","74,834","±2,476","84.2%","±2.0","36,139","±2,134","77.8%","±3.4","27,455","±2,072","83.6%","±4.8","76,393","±1,948","90.9%","±1.4","25,238","±1,752","82.5%","±3.1","64,087","±2,979","86.3%","±2.2","19,493","±1,516","77.5%","±4.6","106,099,330","±220,420","86.4%","±0.1"
"                Cellular data plan","65,447","±3,359","79.5%","±2.6","29,979","±2,297","67.2%","±4.0","23,850","±1,491","74.3%","±4.2","18,978","±1,554","76.3%","±4.5","22,553","±1,667","73.4%","±4.5","29,209","±2,002","72.9%","±3.4","31,185","±1,124","78.4%","±1.9","202,178","±3,984","76.4%","±1.2","25,561","±2,117","65.9%","±4.8","51,910","±2,274","80.5%","±2.9","25,592","±1,565","79.9%","±3.6","124,816","±3,349","80.1%","±2.0","28,709","±1,642","81.3%","±2.9","113,014","±3,860","72.5%","±2.0","70,476","±2,540","79.3%","±2.1","26,573","±2,061","57.2%","±4.1","25,207","±2,143","76.8%","±5.3","69,694","±2,268","82.9%","±2.1","21,247","±1,926","69.4%","±4.7","60,728","±3,251","81.8%","±2.6","18,186","±1,525","72.3%","±4.6","95,774,824","±252,212","78.0%","±0.1"
"                    Cellular data plan with no other type of Internet subscription","14,329","±2,418","17.4%","±2.8","6,770","±1,462","15.2%","±3.1","7,985","±1,410","24.9%","±4.4","5,984","±1,250","24.1%","±4.6","3,691","±1,005","12.0%","±3.3","8,711","±1,639","21.7%","±3.7","8,648","±970","21.7%","±2.3","45,564","±4,380","17.2%","±1.7","6,766","±1,272","17.5%","±3.3","7,157","±1,545","11.1%","±2.4","4,763","±1,180","14.9%","±3.7","14,137","±1,962","9.1%","±1.3","6,088","±1,039","17.2%","±2.8","29,325","±3,041","18.8%","±1.9","8,576","±1,450","9.7%","±1.6","6,442","±1,244","13.9%","±2.6","4,869","±1,404","14.8%","±4.2","9,162","±1,604","10.9%","±1.9","5,802","±1,346","19.0%","±4.2","10,602","±1,839","14.3%","±2.4","5,307","±970","21.1%","±3.6","14,539,689","±68,448","11.8%","±0.1"
"                Broadband such as cable, fiber optic or DSL","52,864","±3,252","64.2%","±3.1","26,201","±2,045","58.7%","±4.0","16,194","±1,699","50.5%","±5.1","13,189","±1,338","53.0%","±5.1","20,835","±1,824","67.8%","±4.8","20,792","±1,962","51.9%","±4.8","23,679","±948","59.6%","±2.2","166,777","±5,672","63.0%","±2.0","20,398","±2,135","52.6%","±4.9","44,364","±2,745","68.8%","±3.7","22,853","±1,760","71.4%","±4.3","119,621","±3,632","76.7%","±2.1","22,420","±1,530","63.5%","±3.5","85,228","±3,858","54.7%","±2.3","64,056","±2,901","72.1%","±2.6","25,918","±2,076","55.8%","±4.0","20,838","±1,974","63.5%","±5.2","63,739","±2,325","75.8%","±2.4","16,750","±1,803","54.7%","±4.7","50,281","±2,982","67.7%","±3.2","12,162","±1,441","48.4%","±5.1","86,904,191","±204,585","70.8%","±0.1"
"                Satellite Internet service","8,344","±1,879","10.1%","±2.2","3,152","±888","7.1%","±2.0","3,277","±923","10.2%","±2.8","1,801","±670","7.2%","±2.6","1,895","±726","6.2%","±2.4","4,368","±1,153","10.9%","±2.8","2,428","±462","6.1%","±1.1","19,064","±1,959","7.2%","±0.7","2,338","±742","6.0%","±1.9","5,947","±1,848","9.2%","±2.9","3,373","±957","10.5%","±2.9","10,983","±2,068","7.0%","±1.3","1,928","±550","5.5%","±1.5","13,506","±2,005","8.7%","±1.3","3,525","±877","4.0%","±1.0","4,582","±1,058","9.9%","±2.3","3,386","±1,315","10.3%","±3.9","6,875","±1,177","8.2%","±1.4","3,789","±1,131","12.4%","±3.8","5,452","±1,152","7.3%","±1.5","2,915","±872","11.6%","±3.5","8,021,594","±64,513","6.5%","±0.1"
