"Label","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Total!!Margin of Error","Baldwin County, Alabama!!Percent!!Estimate","Baldwin County, Alabama!!Percent!!Margin of Error","Calhoun County, Alabama!!Total!!Estimate","Calhoun County, Alabama!!Total!!Margin of Error","Calhoun County, Alabama!!Percent!!Estimate","Calhoun County, Alabama!!Percent!!Margin of Error","Cullman County, Alabama!!Total!!Estimate","Cullman County, Alabama!!Total!!Margin of Error","Cullman County, Alabama!!Percent!!Estimate","Cullman County, Alabama!!Percent!!Margin of Error","DeKalb County, Alabama!!Total!!Estimate","DeKalb County, Alabama!!Total!!Margin of Error","DeKalb County, Alabama!!Percent!!Estimate","DeKalb County, Alabama!!Percent!!Margin of Error","Elmore County, Alabama!!Total!!Estimate","Elmore County, Alabama!!Total!!Margin of Error","Elmore County, Alabama!!Percent!!Estimate","Elmore County, Alabama!!Percent!!Margin of Error","Etowah County, Alabama!!Total!!Estimate","Etowah County, Alabama!!Total!!Margin of Error","Etowah County, Alabama!!Percent!!Estimate","Etowah County, Alabama!!Percent!!Margin of Error","Houston County, Alabama!!Total!!Estimate","Houston County, Alabama!!Total!!Margin of Error","Houston County, Alabama!!Percent!!Estimate","Houston County, Alabama!!Percent!!Margin of Error","Jefferson County, Alabama!!Total!!Estimate","Jefferson County, Alabama!!Total!!Margin of Error","Jefferson County, Alabama!!Percent!!Estimate","Jefferson County, Alabama!!Percent!!Margin of Error","Lauderdale County, Alabama!!Total!!Estimate","Lauderdale County, Alabama!!Total!!Margin of Error","Lauderdale County, Alabama!!Percent!!Estimate","Lauderdale County, Alabama!!Percent!!Margin of Error","Lee County, Alabama!!Total!!Estimate","Lee County, Alabama!!Total!!Margin of Error","Lee County, Alabama!!Percent!!Estimate","Lee County, Alabama!!Percent!!Margin of Error","Limestone County, Alabama!!Total!!Estimate","Limestone County, Alabama!!Total!!Margin of Error","Limestone County, Alabama!!Percent!!Estimate","Limestone County, Alabama!!Percent!!Margin of Error","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Total!!Margin of Error","Madison County, Alabama!!Percent!!Estimate","Madison County, Alabama!!Percent!!Margin of Error","Marshall County, Alabama!!Total!!Estimate","Marshall County, Alabama!!Total!!Margin of Error","Marshall County, Alabama!!Percent!!Estimate","Marshall County, Alabama!!Percent!!Margin of Error","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Total!!Margin of Error","Mobile County, Alabama!!Percent!!Estimate","Mobile County, Alabama!!Percent!!Margin of Error","Montgomery County, Alabama!!Total!!Estimate","Montgomery County, Alabama!!Total!!Margin of Error","Montgomery County, Alabama!!Percent!!Estimate","Montgomery County, Alabama!!Percent!!Margin of Error","Morgan County, Alabama!!Total!!Estimate","Morgan County, Alabama!!Total!!Margin of Error","Morgan County, Alabama!!Percent!!Estimate","Morgan County, Alabama!!Percent!!Margin of Error","St. Clair County, Alabama!!Total!!Estimate","St. Clair County, Alabama!!Total!!Margin of Error","St. Clair County, Alabama!!Percent!!Estimate","St. Clair County, Alabama!!Percent!!Margin of Error","Shelby County, Alabama!!Total!!Estimate","Shelby County, Alabama!!Total!!Margin of Error","Shelby County, Alabama!!Percent!!Estimate","Shelby County, Alabama!!Percent!!Margin of Error","Talladega County, Alabama!!Total!!Estimate","Talladega County, Alabama!!Total!!Margin of Error","Talladega County, Alabama!!Percent!!Estimate","Talladega County, Alabama!!Percent!!Margin of Error","Tuscaloosa County, Alabama!!Total!!Estimate","Tuscaloosa County, Alabama!!Total!!Margin of Error","Tuscaloosa County, Alabama!!Percent!!Estimate","Tuscaloosa County, Alabama!!Percent!!Margin of Error","Walker County, Alabama!!Total!!Estimate","Walker County, Alabama!!Total!!Margin of Error","Walker County, Alabama!!Percent!!Estimate","Walker County, Alabama!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"        Without an Internet subscription","10,787","±1,852","13.1%","±2.3","9,283","±1,680","20.8%","±3.7","5,699","±1,284","17.8%","±3.8","4,405","±972","17.7%","±3.8","4,661","±1,213","15.2%","±3.9","7,650","±1,249","19.1%","±3.0","6,146","±686","15.5%","±1.7","42,057","±3,397","15.9%","±1.2","9,749","±1,864","25.2%","±4.6","9,726","±1,819","15.1%","±2.8","2,385","±618","7.4%","±1.9","15,566","±2,314","10.0%","±1.5","5,203","±968","14.7%","±2.8","30,809","±2,727","19.8%","±1.7","13,913","±1,881","15.7%","±2.0","10,331","±1,616","22.2%","±3.4","4,959","±1,493","15.1%","±4.6","7,561","±1,255","9.0%","±1.5","5,364","±1,007","17.5%","±3.1","10,124","±1,615","13.6%","±2.2","5,660","±1,191","22.5%","±4.6","16,438,191","±110,201","13.4%","±0.1"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000:","11,724","±2,293","(X)","(X)","9,835","±1,831","(X)","(X)","4,886","±1,010","(X)","(X)","5,611","±1,412","(X)","(X)","4,128","±1,234","(X)","(X)","10,057","±1,503","(X)","(X)","8,273","±743","(X)","(X)","50,569","±3,752","(X)","(X)","8,273","±1,363","(X)","(X)","15,331","±2,352","(X)","(X)","4,100","±1,017","(X)","(X)","21,844","±1,964","(X)","(X)","6,183","±1,031","(X)","(X)","33,357","±2,454","(X)","(X)","14,533","±1,856","(X)","(X)","7,420","±1,462","(X)","(X)","3,944","±1,386","(X)","(X)","8,400","±1,686","(X)","(X)","6,907","±1,330","(X)","(X)","14,625","±2,221","(X)","(X)","5,321","±1,018","(X)","(X)","16,898,169","±63,060","(X)","(X)"
"            With dial-up Internet subscription alone","0","±206","0.0%","±1.5","0","±206","0.0%","±1.8","0","±206","0.0%","±3.5","0","±206","0.0%","±3.1","0","±206","0.0%","±4.1","0","±206","0.0%","±1.7","0","±206","0.0%","±2.1","376","±380","0.7%","±0.8","0","±206","0.0%","±2.1","0","±206","0.0%","±1.1","85","±103","2.1%","±2.6","0","±206","0.0%","±0.8","6","±11","0.1%","±0.2","334","±357","1.0%","±1.1","0","±206","0.0%","±1.2","0","±206","0.0%","±2.3","134","±223","3.4%","±5.8","0","±206","0.0%","±2.1","0","±206","0.0%","±2.5","0","±206","0.0%","±1.2","0","±206","0.0%","±3.2","50,057","±3,226","0.3%","±0.1"
"            With a broadband Internet subscription","8,206","±1,974","70.0%","±9.3","6,029","±1,356","61.3%","±9.8","2,778","±841","56.9%","±10.3","3,936","±1,229","70.1%","±9.7","2,764","±1,017","67.0%","±14.2","6,299","±1,258","62.6%","±7.3","5,368","±615","64.9%","±4.9","30,496","±3,019","60.3%","±3.7","5,038","±1,324","60.9%","±10.3","10,526","±2,232","68.7%","±9.5","3,342","±1,001","81.5%","±8.2","15,533","±1,881","71.1%","±6.1","3,958","±982","64.0%","±9.5","19,334","±1,942","58.0%","±4.9","7,728","±1,315","53.2%","±6.8","4,480","±1,198","60.4%","±11.3","1,830","±716","46.4%","±16.7","5,557","±1,423","66.2%","±9.1","4,655","±1,086","67.4%","±8.9","10,656","±1,891","72.9%","±6.1","3,106","±920","58.4%","±12.2","10,840,598","±55,426","64.2%","±0.2"
"            Without an Internet subscription","3,518","±1,264","30.0%","±9.3","3,806","±1,267","38.7%","±9.8","2,108","±595","43.1%","±10.3","1,675","±599","29.9%","±9.7","1,364","±715","33.0%","±14.2","3,758","±870","37.4%","±7.3","2,905","±490","35.1%","±4.9","19,697","±2,306","39.0%","±3.7","3,235","±899","39.1%","±10.3","4,805","±1,602","31.3%","±9.5","673","±306","16.4%","±7.6","6,311","±1,464","28.9%","±6.1","2,219","±603","35.9%","±9.5","13,689","±2,050","41.0%","±4.8","6,805","±1,385","46.8%","±6.8","2,940","±1,002","39.6%","±11.3","1,980","±1,120","50.2%","±17.3","2,843","±903","33.8%","±9.1","2,252","±759","32.6%","±8.9","3,969","±1,054","27.1%","±6.1","2,215","±731","41.6%","±12.2","6,007,514","±48,221","35.6%","±0.2"
"        $20,000 to $74,999:","37,034","±2,901","(X)","(X)","21,396","±2,104","(X)","(X)","17,823","±1,860","(X)","(X)","12,957","±1,494","(X)","(X)","14,300","±1,672","(X)","(X)","19,873","±1,936","(X)","(X)","19,052","±959","(X)","(X)","117,901","±4,792","(X)","(X)","18,523","±1,804","(X)","(X)","26,931","±2,676","(X)","(X)","14,171","±1,687","(X)","(X)","61,635","±3,488","(X)","(X)","19,055","±1,570","(X)","(X)","76,802","±3,406","(X)","(X)","44,853","±3,095","(X)","(X)","22,746","±2,120","(X)","(X)","14,452","±2,156","(X)","(X)","33,343","±2,477","(X)","(X)","13,365","±1,841","(X)","(X)","34,183","±3,284","(X)","(X)","12,081","±1,310","(X)","(X)","51,624,276","±102,802","(X)","(X)"
"            With dial-up Internet subscription alone","186","±243","0.5%","±0.7","0","±206","0.0%","±0.8","68","±120","0.4%","±0.7","82","±137","0.6%","±1.1","0","±206","0.0%","±1.2","60","±94","0.3%","±0.5","31","±27","0.2%","±0.1","198","±248","0.2%","±0.2","117","±140","0.6%","±0.8","55","±100","0.2%","±0.4","0","±206","0.0%","±1.2","121","±103","0.2%","±0.2","11","±13","0.1%","±0.1","1,661","±925","2.2%","±1.2","0","±206","0.0%","±0.4","0","±206","0.0%","±0.8","281","±345","1.9%","±2.3","94","±156","0.3%","±0.5","0","±206","0.0%","±1.3","0","±206","0.0%","±0.5","0","±206","0.0%","±1.4","154,033","±5,386","0.3%","±0.1"
"            With a broadband Internet subscription","31,898","±3,126","86.1%","±3.7","16,491","±1,956","77.1%","±5.5","14,675","±1,662","82.3%","±4.9","10,780","±1,500","83.2%","±5.6","11,757","±1,475","82.2%","±5.4","16,669","±1,756","83.9%","±3.9","16,194","±918","85.0%","±2.3","100,115","±4,517","84.9%","±2.0","13,247","±1,487","71.5%","±6.2","22,744","±2,485","84.5%","±4.1","12,795","±1,630","90.3%","±3.9","55,021","±3,174","89.3%","±2.4","16,270","±1,553","85.4%","±4.0","60,342","±3,303","78.6%","±2.7","39,386","±2,883","87.8%","±2.8","17,629","±2,154","77.5%","±5.6","11,987","±2,151","82.9%","±8.5","29,368","±2,393","88.1%","±2.9","10,810","±1,611","80.9%","±6.0","29,532","±3,087","86.4%","±3.0","9,299","±1,146","77.0%","±5.8","43,392,447","±118,754","84.1%","±0.1"
"            Without an Internet subscription","4,950","±1,299","13.4%","±3.6","4,905","±1,288","22.9%","±5.5","3,080","±978","17.3%","±5.0","2,095","±748","16.2%","±5.6","2,543","±872","17.8%","±5.4","3,144","±839","15.8%","±3.8","2,827","±464","14.8%","±2.3","17,588","±2,551","14.9%","±2.0","5,159","±1,366","27.9%","±6.1","4,132","±1,203","15.3%","±4.2","1,376","±564","9.7%","±3.9","6,493","±1,602","10.5%","±2.4","2,774","±793","14.6%","±4.0","14,799","±2,089","19.3%","±2.6","5,467","±1,344","12.2%","±2.8","5,117","±1,320","22.5%","±5.6","2,184","±1,201","15.1%","±8.1","3,881","±1,011","11.6%","±2.9","2,555","±907","19.1%","±6.0","4,651","±1,061","13.6%","±3.0","2,782","±790","23.0%","±5.8","8,077,796","±66,242","15.6%","±0.1"
"        $75,000 or more:","33,567","±3,058","(X)","(X)","13,405","±1,766","(X)","(X)","9,381","±1,324","(X)","(X)","6,312","±1,089","(X)","(X)","12,284","±1,542","(X)","(X)","10,123","±1,545","(X)","(X)","12,436","±1,034","(X)","(X)","96,283","±4,419","(X)","(X)","11,965","±1,638","(X)","(X)","22,186","±2,151","(X)","(X)","13,749","±1,448","(X)","(X)","72,399","±3,500","(X)","(X)","10,092","±1,334","(X)","(X)","45,787","±2,878","(X)","(X)","29,478","±2,467","(X)","(X)","16,304","±2,061","(X)","(X)","14,433","±1,587","(X)","(X)","42,305","±2,312","(X)","(X)","10,330","±1,512","(X)","(X)","25,451","±1,985","(X)","(X)","7,751","±1,106","(X)","(X)","54,280,407","±138,481","(X)","(X)"
"            With dial-up Internet subscription alone","0","±206","0.0%","±0.5","0","±206","0.0%","±1.3","0","±206","0.0%","±1.8","0","±206","0.0%","±2.7","56","±95","0.5%","±0.8","0","±206","0.0%","±1.7","29","±38","0.2%","±0.3","25","±42","0.0%","±0.1","67","±115","0.6%","±1.0","0","±206","0.0%","±0.8","0","±206","0.0%","±1.3","271","±366","0.4%","±0.5","0","±206","0.0%","±1.7","288","±351","0.6%","±0.8","117","±136","0.4%","±0.5","0","±206","0.0%","±1.1","0","±206","0.0%","±1.2","0","±206","0.0%","±0.4","0","±206","0.0%","±1.7","48","±82","0.2%","±0.3","0","±206","0.0%","±2.2","61,241","±3,741","0.1%","±0.1"
"            With a broadband Internet subscription","31,248","±3,107","93.1%","±2.9","12,833","±1,724","95.7%","±2.9","8,870","±1,321","94.6%","±4.0","5,677","±1,083","89.9%","±6.3","11,474","±1,537","93.4%","±3.8","9,375","±1,443","92.6%","±3.7","11,993","±1,018","96.4%","±1.3","91,486","±4,513","95.0%","±1.5","10,543","±1,558","88.1%","±4.7","21,397","±2,148","96.4%","±2.0","13,413","±1,461","97.6%","±1.3","69,366","±3,627","95.8%","±1.6","9,882","±1,335","97.9%","±2.1","43,178","±2,813","94.3%","±1.8","27,720","±2,440","94.0%","±2.2","14,030","±1,939","86.1%","±4.9","13,638","±1,398","94.5%","±4.3","41,468","±2,195","98.0%","±1.0","9,773","±1,564","94.6%","±3.8","23,899","±2,048","93.9%","±2.1","7,088","±1,106","91.4%","±5.5","51,866,285","±151,271","95.6%","±0.1"
"            Without an Internet subscription","2,319","±987","6.9%","±2.9","572","±398","4.3%","±2.9","511","±380","5.4%","±4.0","635","±410","10.1%","±6.3","754","±466","6.1%","±3.7","748","±401","7.4%","±3.7","414","±159","3.3%","±1.3","4,772","±1,455","5.0%","±1.5","1,355","±581","11.3%","±4.6","789","±439","3.6%","±2.0","336","±179","2.4%","±1.3","2,762","±1,120","3.8%","±1.6","210","±215","2.1%","±2.1","2,321","±729","5.1%","±1.6","1,641","±638","5.6%","±2.1","2,274","±855","13.9%","±4.9","795","±658","5.5%","±4.3","837","±443","2.0%","±1.0","557","±382","5.4%","±3.8","1,504","±515","5.9%","±2.1","663","±434","8.6%","±5.5","2,352,881","±31,854","4.3%","±0.1"
