"Label","Aiken County, South Carolina!!Estimate","Aiken County, South Carolina!!Margin of Error","Anderson County, South Carolina!!Estimate","Anderson County, South Carolina!!Margin of Error","Beaufort County, South Carolina!!Estimate","Beaufort County, South Carolina!!Margin of Error","Berkeley County, South Carolina!!Estimate","Berkeley County, South Carolina!!Margin of Error","Charleston County, South Carolina!!Estimate","Charleston County, South Carolina!!Margin of Error","Darlington County, South Carolina!!Estimate","Darlington County, South Carolina!!Margin of Error","Dorchester County, South Carolina!!Estimate","Dorchester County, South Carolina!!Margin of Error","Florence County, South Carolina!!Estimate","Florence County, South Carolina!!Margin of Error","Greenville County, South Carolina!!Estimate","Greenville County, South Carolina!!Margin of Error","Greenwood County, South Carolina!!Estimate","Greenwood County, South Carolina!!Margin of Error","Horry County, South Carolina!!Estimate","Horry County, South Carolina!!Margin of Error","Kershaw County, South Carolina!!Estimate","Kershaw County, South Carolina!!Margin of Error","Lancaster County, South Carolina!!Estimate","Lancaster County, South Carolina!!Margin of Error","Laurens County, South Carolina!!Estimate","Laurens County, South Carolina!!Margin of Error","Lexington County, South Carolina!!Estimate","Lexington County, South Carolina!!Margin of Error","Oconee County, South Carolina!!Estimate","Oconee County, South Carolina!!Margin of Error","Orangeburg County, South Carolina!!Estimate","Orangeburg County, South Carolina!!Margin of Error","Pickens County, South Carolina!!Estimate","Pickens County, South Carolina!!Margin of Error","Richland County, South Carolina!!Estimate","Richland County, South Carolina!!Margin of Error","Spartanburg County, South Carolina!!Estimate","Spartanburg County, South Carolina!!Margin of Error","Sumter County, South Carolina!!Estimate","Sumter County, South Carolina!!Margin of Error","York County, South Carolina!!Estimate","York County, South Carolina!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"        10 to 14 years","2,965","±843","5,356","±1,025","2,712","±691","4,290","±898","6,357","±1,054","1,169","±548","2,945","±840","2,795","±594","10,918","±1,429","1,192","±383","6,629","±1,051","1,645","±484","896","±568","1,518","±620","7,570","±1,114","2,214","±661","1,250","±420","2,958","±741","4,473","±808","7,540","±1,028","1,232","±458","6,379","±1,043","6,939,043","±40,519"
"        15 to 17 years","1,902","±201","3,368","±513","1,866","±269","2,945","±352","3,570","±270","433","±337","2,256","±311","1,321","±218","6,360","±219","739","±350","3,960","±507","664","±457","1,387","±655","497","±348","4,345","±286","1,112","±64","452","±208","1,651","±20","2,775","±329","4,184","±327","1,041","±390","4,053","±226","4,105,036","±16,407"
"        18 and 19 years","1,188","±574","1,778","±218","1,272","±858","1,367","±121","3,373","±218","566","±363","1,080","±162","641","±218","4,109","±74","551","±338","2,694","±186","422","±218","725","±346","582","±272","2,339","±263","644","±496","464","±282","3,067","±218","7,361","±1,484","2,967","±355","272","±346","2,651","±441","2,929,563","±19,577"
"        20 to 24 years","3,157","±865","4,614","±426","2,986","±885","3,824","±221","7,778","±388","833","±334","2,644","±255","1,915","±218","11,328","±380","1,332","±354","6,597","±396","1,058","±218","1,641","±346","1,361","±272","5,838","±288","1,587","±458","496","±282","6,187","±390","7,439","±1,345","6,759","±356","1,522","±346","5,275","±308","7,080,260","±20,612"
"        25 to 29 years","3,882","±529","5,121","±391","3,398","±421","5,011","±255","11,588","±333","1,084","±218","3,337","±218","2,125","±218","12,958","±386","1,489","±162","7,968","±404","1,290","±218","1,808","±218","1,432","±218","7,411","±268","1,923","±218","768","±218","3,504","±258","6,454","±202","8,208","±81","1,712","±218","5,946","±571","7,668,122","±17,037"
"        30 to 34 years","3,893","±548","4,879","±178","3,241","±298","5,488","±237","11,963","±280","1,005","±218","3,508","±218","2,458","±414","12,653","±380","1,398","±222","8,096","±448","973","±538","2,181","±194","1,344","±218","7,628","±426","2,054","±301","678","±218","2,961","±293","5,667","±137","7,148","±187","1,496","±218","6,640","±375","7,542,639","±15,478"
"        35 to 44 years","7,058","±641","9,695","±391","6,097","±312","9,665","±769","19,721","±495","2,020","±218","7,774","±713","4,259","±218","23,512","±646","2,543","±463","14,982","±493","3,352","±501","4,850","±543","2,613","±180","14,839","±503","3,431","±84","1,515","±59","5,733","±171","9,925","±342","13,146","±480","2,704","±218","14,539","±613","14,469,811","±19,046"
"        45 to 54 years","7,340","±152","10,632","±240","7,443","±303","9,625","±266","16,520","±53","2,571","±218","7,758","±538","4,920","±76","25,572","±427","3,048","±339","18,099","±325","3,229","±80","4,350","±218","3,144","±218","16,222","±479","4,457","±172","1,893","±218","6,473","±19","10,253","±237","15,640","±661","2,940","±218","15,581","±631","14,875,533","±20,810"
"        55 to 64 years","9,266","±219","11,755","±259","11,314","±220","9,926","±413","19,477","±207","2,817","±218","7,565","±170","5,477","±148","26,840","±505","3,319","±248","26,653","±391","3,508","±218","5,828","±1,032","3,564","±218","17,021","±218","5,771","±92","2,448","±136","7,670","±488","11,739","±516","16,259","±284","3,524","±267","14,309","±166","16,835,098","±13,565"
"        65 to 74 years","8,348","±218","9,900","±108","15,160","±280","7,828","±218","16,521","±98","3,041","±619","5,884","±218","4,778","±40","21,923","±208","2,816","±218","27,600","±319","2,942","±218","5,736","±107","2,877","±218","13,892","±421","5,362","±218","2,343","±218","5,958","±218","10,198","±510","13,290","±121","2,867","±196","11,585","±239","13,470,056","±11,807"
"        75 to 84 years","4,457","±677","6,223","±627","8,701","±670","3,980","±395","8,218","±751","1,778","±249","3,051","±319","2,835","±367","12,978","±964","1,740","±427","12,664","±763","1,405","±388","3,116","±540","1,647","±377","6,829","±798","3,327","±330","1,276","±361","3,612","±606","5,582","±556","6,355","±827","1,772","±328","6,159","±600","7,536,009","±25,598"
"        85 years and over","1,883","±677","1,747","±635","1,624","±620","626","±368","3,189","±691","362","±230","799","±302","971","±365","4,059","±949","1,313","±548","2,361","±718","796","±388","838","±540","811","±377","3,359","±758","545","±324","687","±361","1,329","±606","1,857","±529","4,255","±909","681","±328","1,546","±634","3,433,541","±26,031"
