"Label","Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Margin of Error","Bartow County, Georgia!!Estimate","Bartow County, Georgia!!Margin of Error","Bibb County, Georgia!!Estimate","Bibb County, Georgia!!Margin of Error","Bulloch County, Georgia!!Estimate","Bulloch County, Georgia!!Margin of Error","Carroll County, Georgia!!Estimate","Carroll County, Georgia!!Margin of Error","Catoosa County, Georgia!!Estimate","Catoosa County, Georgia!!Margin of Error","Chatham County, Georgia!!Estimate","Chatham County, Georgia!!Margin of Error","Cherokee County, Georgia!!Estimate","Cherokee County, Georgia!!Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Margin of Error","Clayton County, Georgia!!Estimate","Clayton County, Georgia!!Margin of Error","Cobb County, Georgia!!Estimate","Cobb County, Georgia!!Margin of Error","Columbia County, Georgia!!Estimate","Columbia County, Georgia!!Margin of Error","Coweta County, Georgia!!Estimate","Coweta County, Georgia!!Margin of Error","DeKalb County, Georgia!!Estimate","DeKalb County, Georgia!!Margin of Error","Dougherty County, Georgia!!Estimate","Dougherty County, Georgia!!Margin of Error","Douglas County, Georgia!!Estimate","Douglas County, Georgia!!Margin of Error","Fayette County, Georgia!!Estimate","Fayette County, Georgia!!Margin of Error","Floyd County, Georgia!!Estimate","Floyd County, Georgia!!Margin of Error","Forsyth County, Georgia!!Estimate","Forsyth County, Georgia!!Margin of Error","Fulton County, Georgia!!Estimate","Fulton County, Georgia!!Margin of Error","Glynn County, Georgia!!Estimate","Glynn County, Georgia!!Margin of Error","Gwinnett County, Georgia!!Estimate","Gwinnett County, Georgia!!Margin of Error","Hall County, Georgia!!Estimate","Hall County, Georgia!!Margin of Error","Henry County, Georgia!!Estimate","Henry County, Georgia!!Margin of Error","Houston County, Georgia!!Estimate","Houston County, Georgia!!Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Margin of Error","Lowndes County, Georgia!!Estimate","Lowndes County, Georgia!!Margin of Error","Muscogee County, Georgia!!Estimate","Muscogee County, Georgia!!Margin of Error","Newton County, Georgia!!Estimate","Newton County, Georgia!!Margin of Error","Paulding County, Georgia!!Estimate","Paulding County, Georgia!!Margin of Error","Richmond County, Georgia!!Estimate","Richmond County, Georgia!!Margin of Error","Rockdale County, Georgia!!Estimate","Rockdale County, Georgia!!Margin of Error","Spalding County, Georgia!!Estimate","Spalding County, Georgia!!Margin of Error","Troup County, Georgia!!Estimate","Troup County, Georgia!!Margin of Error","Walker County, Georgia!!Estimate","Walker County, Georgia!!Margin of Error","Walton County, Georgia!!Estimate","Walton County, Georgia!!Margin of Error","Whitfield County, Georgia!!Estimate","Whitfield County, Georgia!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"        35 to 44 years","4,443","±388","5,216","±416","3,504","±290","2,862","±197","5,593","±625","3,730","±171","10,263","±1,079","14,336","±865","3,764","±44","3,849","±902","28,017","±1,157","7,278","±236","6,547","±223","19,543","±739","1,028","±614","3,577","±806","3,905","±258","3,862","±80","11,774","±678","31,648","±1,105","2,893","±196","28,571","±1,846","10,807","±350","6,592","±673","5,846","±372","3,899","±178","3,703","±249","5,507","±524","3,141","±438","8,852","±1,315","4,254","±258","1,354","±773","2,579","±406","2,444","±406","3,829","±23","4,309","±260","7,067","±800","14,762,386","±26,026"
"        45 to 54 years","4,583","±424","6,492","±487","3,782","±244","2,731","±234","6,155","±711","4,648","±694","8,524","±277","16,738","±916","4,366","±805","2,878","±887","29,697","±1,069","7,051","±423","8,176","±564","17,449","±788","1,242","±642","4,631","±451","5,338","±519","4,989","±396","15,368","±339","37,265","±653","3,299","±234","30,703","±1,365","11,819","±300","7,836","±580","5,595","±210","4,381","±391","3,423","±60","4,870","±383","3,542","±302","9,882","±1,048","3,902","±134","1,944","±679","2,496","±115","2,119","±406","4,130","±234","5,230","±205","5,545","±747","14,827,307","±22,219"
"        55 to 64 years","3,940","±348","6,066","±206","4,164","±69","2,700","±234","5,360","±234","3,873","±234","8,987","±469","14,490","±676","3,156","±229","2,676","±454","29,002","±552","6,856","±356","7,691","±293","15,193","±464","1,612","±234","4,635","±259","5,733","±149","4,655","±234","11,796","±296","30,953","±553","3,902","±234","29,792","±923","10,914","±575","7,144","±214","6,580","±357","3,739","±98","3,377","±234","4,779","±159","3,308","±234","7,381","±120","4,835","±210","2,792","±295","2,966","±287","2,812","±94","4,464","±234","4,625","±234","5,401","±110","16,032,138","±13,430"
"        65 to 74 years","2,602","±108","4,030","±86","3,328","±234","2,006","±234","3,785","±234","3,051","±234","8,170","±285","10,236","±416","2,643","±234","2,295","±311","21,222","±445","5,361","±334","5,195","±295","10,314","±285","1,531","±234","3,233","±266","4,445","±50","3,723","±234","7,074","±175","18,536","±382","3,990","±234","19,844","±738","8,087","±556","4,960","±199","3,930","±234","3,128","±652","2,503","±71","3,630","±144","2,676","±213","4,387","±234","3,515","±68","1,983","±234","2,593","±166","2,072","±234","3,281","±234","3,651","±179","3,671","±229","12,107,945","±10,826"
"        75 to 84 years","959","±212","1,938","±339","1,376","±342","929","±223","2,158","±203","1,870","±150","3,955","±613","4,427","±508","1,503","±121","1,046","±245","9,377","±761","2,452","±312","2,352","±322","4,950","±659","1,037","±91","1,173","±364","1,732","±402","1,909","±367","4,371","±354","7,108","±834","2,099","±429","5,746","±1,030","4,268","±421","1,747","±414","1,787","±395","961","±283","1,039","±396","1,367","±448","1,211","±234","2,075","±222","1,734","±456","1,429","±253","1,296","±228","1,203","±107","2,063","±321","1,450","±410","2,513","±278","5,967,253","±18,591"
"        85 years and over","276","±212","356","±265","954","±342","248","±223","201","±203","127","±150","1,484","±578","966","±508","124","±121","349","±245","3,043","±724","428","±312","508","±322","2,295","±575","84","±91","730","±364","1,097","±402","718","±322","400","±244","3,923","±776","529","±404","3,372","±837","786","±395","1,226","±394","704","±395","678","±283","642","±396","1,039","±448","349","±234","186","±222","682","±455","165","±164","394","±268","112","±107","272","±221","837","±384","93","±160","1,967,068","±17,760"
"    Female:","31,737","±898","45,213","±1,074","30,815","±454","25,830","±664","44,930","±1,902","32,578","±921","75,735","±1,228","112,235","±2,055","40,667","±1,427","26,176","±3,529","218,182","±3,897","57,674","±1,022","57,588","±624","131,951","±2,794","11,822","±543","33,574","±1,244","38,778","±687","39,304","±1,362","92,468","±1,573","231,866","±3,134","29,429","±907","214,422","±5,879","88,404","±1,116","52,553","±1,383","45,819","±1,088","31,868","±1,344","32,609","±837","41,345","±1,127","29,109","±1,029","63,815","±1,043","34,545","±1,059","16,176","±1,459","20,889","±636","21,172","±845","31,815","±881","37,304","±559","46,611","±1,961","119,511,779","±56,117"
"        Under 5 years","1,773","±157","2,313","±66","1,330","±234","1,136","±234","2,296","±817","1,567","±234","3,394","±55","6,228","±394","1,773","±892","3,109","±1,703","11,434","±1,199","3,339","±292","2,882","±144","7,475","±657","732","±235","1,745","±712","1,486","±116","1,905","±284","5,171","±695","10,805","±897","1,037","±600","11,121","±1,376","5,585","±227","2,522","±452","1,989","±337","2,093","±344","1,814","±48","2,552","±301","1,634","±736","4,024","±302","1,780","±234","443","±310","952","±344","1,249","±258","1,244","±622","1,781","±142","2,781","±1,131","6,250,290","±20,730"
"        5 to 9 years","2,085","±402","2,519","±821","950","±410","1,354","±410","2,680","±693","2,209","±625","3,735","±911","6,072","±1,371","635","±327","1,818","±868","12,755","±1,655","4,439","±1,137","3,204","±1,172","7,120","±1,248","934","±373","1,506","±687","2,307","±565","2,523","±582","5,079","±736","9,655","±1,470","839","±368","15,048","±2,052","4,702","±881","2,792","±870","2,915","±670","2,189","±630","1,832","±476","2,034","±610","2,173","±850","4,036","±1,075","1,209","±521","890","±715","718","±490","1,244","±460","1,502","±434","2,739","±607","3,312","±888","6,376,778","±39,534"
"        10 to 14 years","2,368","±484","3,020","±726","1,804","±487","1,025","±373","2,474","±860","1,405","±625","2,607","±750","8,319","±1,365","1,638","±1,021","1,164","±656","11,593","±1,619","3,183","±1,110","4,358","±981","6,673","±1,123","0","±234","1,966","±483","2,306","±690","1,679","±550","7,797","±677","12,273","±1,546","1,822","±340","13,925","±2,428","6,620","±864","4,123","±1,029","2,854","±562","2,124","±737","2,009","±516","2,442","±696","2,104","±890","4,392","±1,037","1,891","±490","1,034","±691","1,538","±588","1,158","±428","1,995","±441","2,244","±605","3,416","±858","6,939,043","±40,519"
