"Label","Angelina County, Texas!!Estimate","Angelina County, Texas!!Margin of Error","Bastrop County, Texas!!Estimate","Bastrop County, Texas!!Margin of Error","Bell County, Texas!!Estimate","Bell County, Texas!!Margin of Error","Bexar County, Texas!!Estimate","Bexar County, Texas!!Margin of Error","Bowie County, Texas!!Estimate","Bowie County, Texas!!Margin of Error","Brazoria County, Texas!!Estimate","Brazoria County, Texas!!Margin of Error","Brazos County, Texas!!Estimate","Brazos County, Texas!!Margin of Error","Cameron County, Texas!!Estimate","Cameron County, Texas!!Margin of Error","Collin County, Texas!!Estimate","Collin County, Texas!!Margin of Error","Comal County, Texas!!Estimate","Comal County, Texas!!Margin of Error","Coryell County, Texas!!Estimate","Coryell County, Texas!!Margin of Error","Dallas County, Texas!!Estimate","Dallas County, Texas!!Margin of Error","Denton County, Texas!!Estimate","Denton County, Texas!!Margin of Error","Ector County, Texas!!Estimate","Ector County, Texas!!Margin of Error","Ellis County, Texas!!Estimate","Ellis County, Texas!!Margin of Error","El Paso County, Texas!!Estimate","El Paso County, Texas!!Margin of Error","Fort Bend County, Texas!!Estimate","Fort Bend County, Texas!!Margin of Error","Galveston County, Texas!!Estimate","Galveston County, Texas!!Margin of Error","Grayson County, Texas!!Estimate","Grayson County, Texas!!Margin of Error","Gregg County, Texas!!Estimate","Gregg County, Texas!!Margin of Error","Guadalupe County, Texas!!Estimate","Guadalupe County, Texas!!Margin of Error","Harris County, Texas!!Estimate","Harris County, Texas!!Margin of Error","Harrison County, Texas!!Estimate","Harrison County, Texas!!Margin of Error","Hays County, Texas!!Estimate","Hays County, Texas!!Margin of Error","Henderson County, Texas!!Estimate","Henderson County, Texas!!Margin of Error","Hidalgo County, Texas!!Estimate","Hidalgo County, Texas!!Margin of Error","Hunt County, Texas!!Estimate","Hunt County, Texas!!Margin of Error","Jefferson County, Texas!!Estimate","Jefferson County, Texas!!Margin of Error","Johnson County, Texas!!Estimate","Johnson County, Texas!!Margin of Error","Kaufman County, Texas!!Estimate","Kaufman County, Texas!!Margin of Error","Liberty County, Texas!!Estimate","Liberty County, Texas!!Margin of Error","Lubbock County, Texas!!Estimate","Lubbock County, Texas!!Margin of Error","McLennan County, Texas!!Estimate","McLennan County, Texas!!Margin of Error","Midland County, Texas!!Estimate","Midland County, Texas!!Margin of Error","Montgomery County, Texas!!Estimate","Montgomery County, Texas!!Margin of Error","Nacogdoches County, Texas!!Estimate","Nacogdoches County, Texas!!Margin of Error","Nueces County, Texas!!Estimate","Nueces County, Texas!!Margin of Error","Orange County, Texas!!Estimate","Orange County, Texas!!Margin of Error","Parker County, Texas!!Estimate","Parker County, Texas!!Margin of Error","Potter County, Texas!!Estimate","Potter County, Texas!!Margin of Error","Randall County, Texas!!Estimate","Randall County, Texas!!Margin of Error","Rockwall County, Texas!!Estimate","Rockwall County, Texas!!Margin of Error","San Patricio County, Texas!!Estimate","San Patricio County, Texas!!Margin of Error","Smith County, Texas!!Estimate","Smith County, Texas!!Margin of Error","Tarrant County, Texas!!Estimate","Tarrant County, Texas!!Margin of Error","Taylor County, Texas!!Estimate","Taylor County, Texas!!Margin of Error","Tom Green County, Texas!!Estimate","Tom Green County, Texas!!Margin of Error","Travis County, Texas!!Estimate","Travis County, Texas!!Margin of Error","Victoria County, Texas!!Estimate","Victoria County, Texas!!Margin of Error","Walker County, Texas!!Estimate","Walker County, Texas!!Margin of Error","Webb County, Texas!!Estimate","Webb County, Texas!!Margin of Error","Wichita County, Texas!!Estimate","Wichita County, Texas!!Margin of Error","Williamson County, Texas!!Estimate","Williamson County, Texas!!Margin of Error","Wise County, Texas!!Estimate","Wise County, Texas!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"        15 to 17 years","1,923","±512","982","±737","4,126","±503","32,213","±1,297","1,080","±48","5,869","±295","2,498","±296","9,289","±1,109","16,396","±296","2,906","±143","792","±175","31,545","±1,422","14,030","±385","2,695","±634","3,557","±234","15,397","±1,162","8,656","±1,151","5,567","±140","1,848","±126","1,570","±516","3,000","±241","62,187","±1,998","804","±395","3,997","±234","1,244","±320","21,304","±1,030","1,631","±195","2,695","±234","3,215","±445","2,403","±193","1,099","±178","4,314","±696","4,059","±43","3,125","±1,243","11,696","±306","637","±519","6,614","±291","1,696","±421","2,945","±261","2,164","±486","1,855","±242","2,290","±374","1,437","±250","3,504","±153","28,837","±1,419","1,784","±309","2,151","±547","14,723","±1,021","1,212","±662","396","±377","7,169","±263","1,863","±141","9,730","±442","1,175","±157","4,105,036","±16,407"
"        18 and 19 years","980","±554","710","±530","2,992","±173","21,837","±1,115","576","±363","3,267","±169","6,148","±215","6,626","±190","7,904","±541","1,117","±328","226","±170","20,422","±1,130","8,784","±289","1,193","±456","1,911","±234","9,555","±1,040","4,934","±734","2,992","±377","779","±525","700","±501","1,879","±118","37,268","±1,447","414","±291","4,908","±882","825","±511","12,783","±992","1,327","±396","1,542","±350","1,433","±282","1,015","±215","1,171","±501","6,420","±126","4,155","±98","1,943","±1,030","6,388","±234","2,006","±781","4,800","±421","588","±234","1,189","±234","1,048","±277","2,159","±624","1,229","±825","987","±591","2,312","±549","17,674","±1,095","1,960","±814","1,625","±608","11,439","±766","1,313","±1,009","1,761","±670","4,732","±351","1,138","±493","5,561","±209","1,136","±586","2,929,563","±19,577"
"        20 to 24 years","1,724","±456","1,453","±800","8,076","±692","55,249","±1,728","1,970","±226","7,796","±78","16,611","±318","14,728","±464","19,839","±583","4,323","±1,023","1,875","±170","52,784","±1,891","20,276","±692","4,525","±1,004","4,193","±454","24,317","±1,315","11,592","±895","7,625","±284","4,239","±735","2,897","±567","4,015","±334","91,048","±2,503","1,586","±702","10,914","±1,008","1,869","±658","27,321","±1,659","2,638","±412","4,512","±431","4,567","±493","3,605","±733","1,301","±633","14,113","±1,020","9,893","±532","2,827","±1,102","14,553","±708","2,832","±759","10,921","±620","1,909","±274","4,174","±580","3,140","±247","4,140","±667","1,504","±926","2,115","±574","5,880","±568","42,399","±1,870","5,784","±949","4,245","±930","27,961","±1,349","3,292","±1,002","4,122","±723","10,611","±180","4,036","±570","12,686","±521","1,639","±576","7,080,260","±20,612"
"        25 to 29 years","2,453","±482","1,125","±577","8,780","±971","59,649","±2,100","1,782","±64","8,132","±904","7,493","±138","13,610","±437","19,419","±684","3,924","±999","2,933","±422","64,791","±1,650","21,663","±877","6,196","±963","4,838","±176","25,247","±1,455","11,680","±587","8,772","±222","3,478","±449","3,193","±193","3,985","±354","107,175","±2,931","1,180","±234","6,878","±502","1,990","±333","25,537","±1,482","2,271","±203","4,387","±410","4,989","±142","2,741","±305","2,634","±773","9,425","±640","7,013","±191","5,039","±888","16,417","±229","1,532","±308","11,181","±464","2,279","±225","3,621","±422","3,391","±43","3,727","±472","2,664","±468","1,459","±224","6,075","±387","48,235","±1,639","4,288","±310","4,063","±883","44,709","±1,289","2,147","±739","1,223","±257","9,571","±107","3,694","±91","14,226","±858","1,683","±160","7,668,122","±17,037"
"        30 to 34 years","2,466","±542","1,863","±596","8,320","±553","58,971","±1,716","2,067","±428","9,589","±379","6,033","±120","11,727","±219","20,991","±766","4,276","±203","2,558","±230","58,740","±1,947","23,863","±522","4,505","±785","5,160","±293","21,980","±1,252","12,863","±867","8,893","±354","3,257","±256","2,980","±98","4,474","±530","104,983","±3,058","1,876","±525","6,914","±229","2,185","±440","23,181","±1,387","2,483","±350","4,438","±177","5,070","±384","4,077","±215","2,671","±540","8,130","±569","6,380","±175","4,982","±734","16,872","±415","737","±432","11,004","±495","2,382","±264","4,048","±457","2,976","±264","4,405","±308","2,798","±460","1,854","±582","6,018","±87","49,409","±1,751","3,577","±420","3,788","±205","44,668","±1,426","2,501","±346","965","±526","8,221","±352","3,599","±124","17,779","±347","2,194","±433","7,542,639","±15,478"
"        35 to 44 years","4,363","±553","3,011","±317","14,867","±704","104,336","±2,796","3,665","±65","18,506","±777","10,201","±873","23,858","±857","51,101","±860","8,820","±252","3,979","±292","99,117","±2,403","47,365","±1,096","8,211","±751","9,831","±505","42,484","±1,899","31,520","±1,246","17,929","±461","7,533","±617","5,770","±387","10,153","±328","197,261","±3,838","3,004","±424","14,039","±495","4,186","±419","45,132","±1,870","4,829","±498","8,803","±94","10,181","±261","7,599","±259","4,587","±430","15,461","±918","11,931","±376","8,753","±870","35,524","±832","3,237","±372","21,382","±371","4,214","±149","8,415","±505","5,632","±264","7,534","±458","6,880","±591","4,044","±548","10,905","±253","92,592","±2,190","7,090","±609","6,268","±808","69,771","±1,956","5,158","±78","1,920","±522","17,071","±633","5,801","±346","36,356","±955","4,214","±471","14,469,811","±19,046"
"        45 to 54 years","4,055","±458","3,550","±437","12,306","±664","95,321","±1,987","3,947","±307","17,205","±335","7,862","±903","23,596","±869","53,304","±857","9,593","±244","3,383","±290","95,215","±1,849","48,350","±489","6,775","±709","9,697","±407","40,695","±1,755","27,197","±1,399","17,719","±422","7,450","±608","5,096","±454","8,756","±421","176,372","±3,327","2,934","±247","11,846","±348","4,555","±421","44,227","±1,387","5,527","±617","8,134","±130","9,984","±324","6,620","±339","4,093","±406","13,016","±637","11,532","±128","6,643","±733","34,985","±788","2,368","±313","18,665","±473","4,508","±338","9,097","±529","5,173","±94","7,056","±238","5,988","±517","3,623","±181","10,491","±282","90,358","±2,110","5,187","±406","5,749","±817","59,022","±1,843","4,609","±121","2,237","±345","15,924","±333","5,370","±225","31,497","±1,156","4,183","±397","14,875,533","±20,810"
"        55 to 64 years","4,488","±547","4,799","±441","12,338","±599","89,154","±1,714","4,449","±215","16,206","±542","8,234","±167","21,191","±460","44,874","±456","10,494","±414","2,789","±180","87,975","±1,638","41,743","±586","5,854","±550","9,824","±181","39,666","±1,250","26,092","±925","18,743","±456","8,392","±147","5,794","±288","8,282","±326","163,041","±2,567","3,354","±295","11,020","±313","5,960","±405","30,839","±1,680","5,918","±212","9,646","±234","10,248","±639","6,158","±196","4,575","±473","13,926","±485","12,029","±329","7,436","±620","34,539","±193","2,865","±240","20,836","±232","4,874","±105","9,441","±276","5,334","±186","7,611","±475","5,852","±274","3,661","±98","11,749","±680","89,681","±1,240","6,942","±199","6,688","±136","53,402","±1,614","5,036","±324","2,400","±234","12,054","±574","7,100","±124","27,147","±583","5,287","±351","16,835,098","±13,565"
"        65 to 74 years","4,106","±422","4,120","±468","9,845","±197","65,678","±1,423","3,752","±170","10,730","±563","5,855","±241","16,810","±459","30,994","±359","8,621","±214","2,066","±121","63,313","±1,043","27,298","±297","4,034","±872","6,756","±352","27,621","±1,113","16,983","±749","13,374","±230","7,104","±302","4,870","±318","6,475","±210","111,735","±1,949","2,941","±352","8,424","±201","5,420","±486","25,723","±1,094","4,305","±197","6,898","±261","7,292","±256","4,824","±359","2,962","±119","10,640","±506","9,656","±107","4,433","±413","23,686","±646","2,423","±135","15,464","±199","3,701","±92","7,146","±302","3,827","±111","6,351","±408","3,656","±86","3,265","±418","9,196","±224","61,699","±806","5,397","±356","4,593","±422","35,468","±1,176","4,222","±46","2,379","±153","7,946","±403","5,062","±193","21,715","±275","2,926","±33","13,470,056","±11,807"
"        75 to 84 years","2,265","±401","1,890","±255","4,904","±677","33,200","±1,870","2,479","±399","5,407","±928","2,848","±671","9,335","±910","16,296","±1,206","4,111","±613","1,282","±359","32,535","±1,813","12,755","±1,085","2,882","±860","3,985","±520","15,290","±1,743","7,507","±1,111","7,020","±659","3,615","±611","3,545","±538","3,837","±503","56,542","±2,407","1,352","±335","3,525","±478","3,298","±434","16,064","±1,621","2,950","±517","4,048","±748","4,626","±815","1,571","±443","2,246","±641","6,625","±876","5,200","±842","2,319","±547","11,462","±1,427","1,180","±319","8,886","±1,005","2,338","±406","2,848","±809","2,560","±355","3,461","±888","2,136","±390","1,044","±545","5,969","±791","31,911","±1,692","3,518","±567","2,886","±573","15,495","±1,219","2,912","±508","1,440","±395","3,806","±637","3,214","±516","9,639","±1,033","1,781","±325","7,536,009","±25,598"
"        85 years and over","711","±395","363","±318","2,599","±657","16,862","±1,612","928","±447","2,956","±934","1,661","±604","4,781","±946","5,138","±1,193","1,613","±613","422","±220","16,205","±1,774","4,267","±1,019","871","±457","1,244","±442","7,663","±1,377","3,443","±1,036","2,415","±649","1,762","±585","989","±435","1,046","±456","22,258","±2,294","615","±324","1,263","±463","900","±467","5,079","±1,365","822","±291","2,654","±649","1,052","±535","1,659","±549","520","±304","2,510","±831","3,120","±817","1,827","±688","5,044","±1,451","764","±319","3,364","±1,002","887","±478","1,578","±809","884","±352","2,024","±513","622","±390","758","±419","2,454","±938","13,451","±1,526","1,613","±480","1,618","±544","7,027","±1,199","661","±476","447","±363","2,782","±667","1,540","±450","5,091","±1,009","385","±292","3,433,541","±26,031"
