"Label","Angelina County, Texas!!Estimate","Angelina County, Texas!!Margin of Error","Bastrop County, Texas!!Estimate","Bastrop County, Texas!!Margin of Error","Bell County, Texas!!Estimate","Bell County, Texas!!Margin of Error","Bexar County, Texas!!Estimate","Bexar County, Texas!!Margin of Error","Bowie County, Texas!!Estimate","Bowie County, Texas!!Margin of Error","Brazoria County, Texas!!Estimate","Brazoria County, Texas!!Margin of Error","Brazos County, Texas!!Estimate","Brazos County, Texas!!Margin of Error","Cameron County, Texas!!Estimate","Cameron County, Texas!!Margin of Error","Collin County, Texas!!Estimate","Collin County, Texas!!Margin of Error","Comal County, Texas!!Estimate","Comal County, Texas!!Margin of Error","Coryell County, Texas!!Estimate","Coryell County, Texas!!Margin of Error","Dallas County, Texas!!Estimate","Dallas County, Texas!!Margin of Error","Denton County, Texas!!Estimate","Denton County, Texas!!Margin of Error","Ector County, Texas!!Estimate","Ector County, Texas!!Margin of Error","Ellis County, Texas!!Estimate","Ellis County, Texas!!Margin of Error","El Paso County, Texas!!Estimate","El Paso County, Texas!!Margin of Error","Fort Bend County, Texas!!Estimate","Fort Bend County, Texas!!Margin of Error","Galveston County, Texas!!Estimate","Galveston County, Texas!!Margin of Error","Grayson County, Texas!!Estimate","Grayson County, Texas!!Margin of Error","Gregg County, Texas!!Estimate","Gregg County, Texas!!Margin of Error","Guadalupe County, Texas!!Estimate","Guadalupe County, Texas!!Margin of Error","Harris County, Texas!!Estimate","Harris County, Texas!!Margin of Error","Harrison County, Texas!!Estimate","Harrison County, Texas!!Margin of Error","Hays County, Texas!!Estimate","Hays County, Texas!!Margin of Error","Henderson County, Texas!!Estimate","Henderson County, Texas!!Margin of Error","Hidalgo County, Texas!!Estimate","Hidalgo County, Texas!!Margin of Error","Hunt County, Texas!!Estimate","Hunt County, Texas!!Margin of Error","Jefferson County, Texas!!Estimate","Jefferson County, Texas!!Margin of Error","Johnson County, Texas!!Estimate","Johnson County, Texas!!Margin of Error","Kaufman County, Texas!!Estimate","Kaufman County, Texas!!Margin of Error","Liberty County, Texas!!Estimate","Liberty County, Texas!!Margin of Error","Lubbock County, Texas!!Estimate","Lubbock County, Texas!!Margin of Error","McLennan County, Texas!!Estimate","McLennan County, Texas!!Margin of Error","Midland County, Texas!!Estimate","Midland County, Texas!!Margin of Error","Montgomery County, Texas!!Estimate","Montgomery County, Texas!!Margin of Error","Nacogdoches County, Texas!!Estimate","Nacogdoches County, Texas!!Margin of Error","Nueces County, Texas!!Estimate","Nueces County, Texas!!Margin of Error","Orange County, Texas!!Estimate","Orange County, Texas!!Margin of Error","Parker County, Texas!!Estimate","Parker County, Texas!!Margin of Error","Potter County, Texas!!Estimate","Potter County, Texas!!Margin of Error","Randall County, Texas!!Estimate","Randall County, Texas!!Margin of Error","Rockwall County, Texas!!Estimate","Rockwall County, Texas!!Margin of Error","San Patricio County, Texas!!Estimate","San Patricio County, Texas!!Margin of Error","Smith County, Texas!!Estimate","Smith County, Texas!!Margin of Error","Tarrant County, Texas!!Estimate","Tarrant County, Texas!!Margin of Error","Taylor County, Texas!!Estimate","Taylor County, Texas!!Margin of Error","Tom Green County, Texas!!Estimate","Tom Green County, Texas!!Margin of Error","Travis County, Texas!!Estimate","Travis County, Texas!!Margin of Error","Victoria County, Texas!!Estimate","Victoria County, Texas!!Margin of Error","Walker County, Texas!!Estimate","Walker County, Texas!!Margin of Error","Webb County, Texas!!Estimate","Webb County, Texas!!Margin of Error","Wichita County, Texas!!Estimate","Wichita County, Texas!!Margin of Error","Williamson County, Texas!!Estimate","Williamson County, Texas!!Margin of Error","Wise County, Texas!!Estimate","Wise County, Texas!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"        35 to 44 years","4,686","±672","3,202","±1,120","14,970","±640","103,037","±2,620","4,533","±418","20,160","±584","9,714","±709","23,743","±620","50,208","±741","8,411","±968","3,681","±361","107,567","±2,645","46,525","±1,317","9,352","±893","8,960","±630","40,375","±1,749","29,768","±1,816","17,938","±367","7,535","±420","5,773","±650","10,310","±209","208,602","±4,529","3,041","±565","14,472","±301","3,678","±354","43,726","±1,911","4,535","±428","10,951","±337","10,257","±270","7,885","±174","3,605","±399","13,379","±997","11,702","±591","10,161","±1,315","35,209","±863","2,836","±631","20,804","±741","4,131","±125","8,908","±589","6,013","±434","8,061","±691","5,670","±486","4,642","±307","11,944","±999","92,119","±2,097","6,326","±452","7,475","±786","75,477","±2,734","5,123","±71","4,900","±1,142","15,947","±803","6,757","±453","37,272","±577","4,366","±452","14,762,386","±26,026"
"        45 to 54 years","3,929","±710","3,840","±478","11,525","±625","90,683","±1,871","3,965","±283","18,116","±324","7,926","±160","20,185","±849","53,676","±579","9,187","±344","3,095","±497","96,560","±2,211","47,989","±890","6,470","±699","9,035","±710","37,004","±1,398","28,335","±1,263","17,406","±286","6,390","±231","5,030","±651","8,737","±380","180,206","±3,983","3,067","±336","11,540","±446","4,404","±534","37,729","±1,717","4,805","±291","9,657","±146","10,307","±220","6,564","±292","4,939","±723","12,009","±494","10,887","±107","5,117","±1,299","34,952","±722","2,746","±626","18,540","±255","4,377","±265","8,467","±503","5,661","±254","6,619","±724","6,361","±594","3,444","±206","9,354","±752","88,982","±2,086","5,177","±264","5,258","±165","62,015","±2,220","3,973","±223","4,249","±850","14,558","±636","5,825","±477","32,534","±460","4,198","±364","14,827,307","±22,219"
"        55 to 64 years","4,052","±259","4,418","±344","10,884","±555","81,206","±2,018","4,079","±160","16,156","±561","7,644","±118","17,694","±504","44,954","±393","9,993","±313","2,336","±183","91,960","±1,581","40,007","±758","5,636","±700","9,080","±394","32,041","±1,394","26,401","±501","18,613","±241","8,279","±342","5,471","±279","7,919","±292","158,370","±3,167","3,082","±234","10,450","±222","5,052","±162","27,086","±1,668","5,684","±228","10,781","±584","9,946","±236","6,032","±327","4,165","±358","11,907","±456","11,156","±460","7,600","±665","33,377","±553","3,052","±247","19,100","±281","4,933","±328","9,375","±316","5,216","±242","7,152","±388","5,481","±394","3,674","±78","10,543","±540","86,184","±1,370","6,115","±321","5,908","±180","51,380","±1,295","4,698","±494","4,082","±411","10,639","±458","6,258","±314","24,919","±458","4,813","±363","16,032,138","±13,430"
"        65 to 74 years","3,497","±411","3,978","±519","8,300","±299","56,017","±1,044","3,184","±234","10,691","±723","4,996","±323","13,864","±525","26,360","±457","8,217","±191","1,693","±82","56,477","±842","24,142","±395","4,534","±398","6,210","±459","23,180","±985","16,268","±720","12,705","±104","5,977","±206","3,968","±208","5,964","±118","99,789","±1,713","2,369","±11","7,490","±468","4,697","±306","21,107","±1,109","3,779","±234","6,059","±299","6,386","±357","4,445","±430","2,972","±187","8,811","±348","8,296","±390","3,845","±374","21,813","±643","2,419","±201","13,833","±379","3,462","±149","6,206","±213","3,574","±117","5,792","±422","3,518","±282","2,838","±297","8,380","±514","53,753","±805","4,624","±250","4,585","±360","33,297","±591","3,563","±138","2,504","±137","6,994","±470","5,166","±443","18,317","±587","2,895","±128","12,107,945","±10,826"
"        75 to 84 years","1,831","±217","1,076","±400","4,083","±525","25,723","±1,723","1,363","±403","4,858","±569","2,262","±658","7,695","±802","12,669","±628","3,469","±515","1,009","±141","24,020","±1,320","9,592","±761","1,301","±314","2,522","±350","10,921","±1,058","7,108","±781","5,327","±781","3,456","±408","1,811","±330","2,716","±419","43,963","±1,787","1,361","±362","2,970","±537","2,454","±511","12,574","±1,600","2,371","±247","3,171","±336","3,423","±563","2,136","±322","1,108","±423","4,740","±466","4,168","±587","1,431","±442","9,056","±1,051","1,096","±234","6,640","±786","1,977","±178","3,057","±493","1,511","±295","2,890","±315","1,759","±172","1,031","±323","4,532","±555","23,583","±1,281","2,410","±402","2,278","±437","11,542","±1,019","1,748","±371","1,318","±242","2,748","±643","2,529","±525","8,181","±821","1,571","±266","5,967,253","±18,591"
"        85 years and over","521","±372","630","±393","1,566","±545","8,427","±1,553","841","±407","1,105","±523","1,191","±506","2,323","±721","2,283","±621","1,071","±514","331","±236","9,409","±1,264","2,471","±665","395","±229","717","±305","4,508","±918","992","±439","1,627","±778","582","±357","1,139","±447","1,067","±415","12,519","±1,822","437","±303","540","±350","755","±511","4,617","±1,531","256","±206","951","±402","847","±358","243","±203","596","±428","1,295","±450","1,657","±488","1,388","±636","2,665","±940","280","±225","1,754","±783","147","±178","967","±538","772","±289","579","±294","152","±174","407","±201","1,546","±517","7,863","±1,198","721","±390","808","±424","4,681","±985","786","±376","212","±225","1,476","±651","505","±490","2,370","±748","263","±208","1,967,068","±17,760"
"    Female:","37,043","±961","28,999","±2,627","112,625","±2,450","788,209","±9,171","33,261","±1,134","133,958","±2,534","90,044","±1,499","203,274","±3,090","353,747","±2,549","72,846","±1,139","27,608","±460","788,092","±8,899","331,122","±3,492","63,711","±3,619","76,646","±1,587","343,629","±8,230","207,866","±4,206","136,511","±1,771","60,656","±913","46,871","±945","69,689","±1,519","1,446,986","±12,329","25,350","±1,219","103,067","±1,633","38,509","±548","376,077","±7,505","42,005","±1,188","71,266","±1,439","78,729","±1,354","54,088","±1,254","36,431","±1,450","128,109","±3,013","104,583","±1,174","62,439","±4,006","264,765","±2,504","24,885","±987","164,634","±1,653","36,682","±873","67,479","±958","45,338","±1,182","61,509","±1,435","45,158","±888","30,203","±967","91,974","±1,158","698,211","±9,094","58,056","±1,617","54,046","±1,114","457,266","±7,444","42,364","±1,275","22,418","±1,456","135,733","±1,243","51,627","±924","236,922","±3,136","33,267","±476","119,511,779","±56,117"
"        Under 5 years","2,387","±846","1,441","±792","8,380","±734","51,474","±2,143","1,971","±419","8,928","±398","5,230","±257","15,150","±609","18,954","±932","4,478","±651","1,874","±234","56,791","±2,517","18,136","±688","5,648","±843","4,982","±186","22,160","±1,939","14,035","±617","7,710","±498","3,452","±230","2,993","±150","4,132","±411","105,268","±3,082","1,668","±676","6,161","±160","1,913","±245","31,835","±1,623","2,533","±191","4,725","±311","4,733","±485","3,535","±235","3,292","±460","7,997","±511","6,526","±298","4,878","±1,142","16,800","±522","1,354","±512","10,173","±403","2,409","±335","3,819","±321","2,808","±606","3,353","±373","2,843","±312","1,723","±478","5,687","±282","40,148","±1,968","3,896","±354","3,471","±203","24,959","±1,821","3,914","±829","989","±452","11,884","±208","3,110","±237","14,278","±357","2,135","±211","6,250,290","±20,730"
"        5 to 9 years","3,532","±785","1,031","±669","8,200","±1,151","50,430","±3,545","1,641","±563","8,590","±1,631","4,718","±1,003","14,462","±1,699","22,599","±2,625","4,517","±966","2,122","±497","52,977","±4,098","20,152","±2,242","5,818","±1,193","5,302","±1,100","24,198","±2,456","16,325","±2,680","8,261","±1,564","3,939","±1,078","3,721","±843","5,215","±1,115","99,984","±5,265","1,744","±576","4,676","±1,412","2,314","±761","31,112","±2,949","2,165","±560","4,980","±787","4,966","±1,085","4,582","±1,043","1,674","±714","7,391","±1,209","6,051","±1,102","4,124","±1,285","17,346","±3,002","1,164","±600","11,167","±1,649","2,820","±964","4,470","±999","2,901","±772","4,738","±738","3,156","±759","1,826","±533","5,551","±1,225","46,289","±3,325","2,867","±776","3,744","±1,210","23,034","±2,444","3,647","±861","515","±387","12,288","±1,433","3,239","±888","13,712","±2,043","1,898","±487","6,376,778","±39,534"
"        10 to 14 years","1,590","±678","2,661","±1,095","6,892","±1,034","53,835","±3,834","2,954","±786","10,777","±1,587","4,652","±1,026","18,111","±1,794","25,938","±2,637","4,053","±992","1,307","±498","55,682","±3,504","22,440","±2,103","4,504","±1,084","5,366","±1,132","27,356","±2,494","15,039","±2,746","9,491","±1,555","3,808","±804","2,753","±835","4,440","±998","111,864","±4,999","1,878","±677","8,502","±1,404","1,850","±853","35,940","±3,073","2,606","±708","3,804","±859","6,373","±1,072","3,699","±1,028","3,606","±1,009","8,141","±1,023","7,038","±1,100","4,110","±1,427","19,453","±3,297","1,786","±582","10,177","±1,530","2,077","±746","4,688","±979","3,500","±792","3,095","±715","3,540","±768","2,407","±554","6,183","±1,235","45,528","±3,333","4,153","±862","3,157","±1,100","25,588","±3,118","1,740","±741","1,624","±1,130","11,674","±1,514","2,861","±1,036","17,505","±2,129","2,631","±506","6,939,043","±40,519"
