"Label","Alachua County, Florida!!Estimate","Alachua County, Florida!!Margin of Error","Bay County, Florida!!Estimate","Bay County, Florida!!Margin of Error","Brevard County, Florida!!Estimate","Brevard County, Florida!!Margin of Error","Broward County, Florida!!Estimate","Broward County, Florida!!Margin of Error","Charlotte County, Florida!!Estimate","Charlotte County, Florida!!Margin of Error","Citrus County, Florida!!Estimate","Citrus County, Florida!!Margin of Error","Clay County, Florida!!Estimate","Clay County, Florida!!Margin of Error","Collier County, Florida!!Estimate","Collier County, Florida!!Margin of Error","Columbia County, Florida!!Estimate","Columbia County, Florida!!Margin of Error","Duval County, Florida!!Estimate","Duval County, Florida!!Margin of Error","Escambia County, Florida!!Estimate","Escambia County, Florida!!Margin of Error","Flagler County, Florida!!Estimate","Flagler County, Florida!!Margin of Error","Hernando County, Florida!!Estimate","Hernando County, Florida!!Margin of Error","Highlands County, Florida!!Estimate","Highlands County, Florida!!Margin of Error","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Indian River County, Florida!!Estimate","Indian River County, Florida!!Margin of Error","Lake County, Florida!!Estimate","Lake County, Florida!!Margin of Error","Lee County, Florida!!Estimate","Lee County, Florida!!Margin of Error","Leon County, Florida!!Estimate","Leon County, Florida!!Margin of Error","Manatee County, Florida!!Estimate","Manatee County, Florida!!Margin of Error","Marion County, Florida!!Estimate","Marion County, Florida!!Margin of Error","Martin County, Florida!!Estimate","Martin County, Florida!!Margin of Error","Miami-Dade County, Florida!!Estimate","Miami-Dade County, Florida!!Margin of Error","Monroe County, Florida!!Estimate","Monroe County, Florida!!Margin of Error","Nassau County, Florida!!Estimate","Nassau County, Florida!!Margin of Error","Okaloosa County, Florida!!Estimate","Okaloosa County, Florida!!Margin of Error","Orange County, Florida!!Estimate","Orange County, Florida!!Margin of Error","Osceola County, Florida!!Estimate","Osceola County, Florida!!Margin of Error","Palm Beach County, Florida!!Estimate","Palm Beach County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error","Putnam County, Florida!!Estimate","Putnam County, Florida!!Margin of Error","St. Johns County, Florida!!Estimate","St. Johns County, Florida!!Margin of Error","St. Lucie County, Florida!!Estimate","St. Lucie County, Florida!!Margin of Error","Santa Rosa County, Florida!!Estimate","Santa Rosa County, Florida!!Margin of Error","Sarasota County, Florida!!Estimate","Sarasota County, Florida!!Margin of Error","Seminole County, Florida!!Estimate","Seminole County, Florida!!Margin of Error","Sumter County, Florida!!Estimate","Sumter County, Florida!!Margin of Error","Volusia County, Florida!!Estimate","Volusia County, Florida!!Margin of Error","Walton County, Florida!!Estimate","Walton County, Florida!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"        35 to 44 years","2,763","±271","843","±555","3,443","±234","34,538","±1,968","","","","","1,488","±928","1,780","±1,380","544","±362","15,873","±505","3,773","±265","","","","","","","15,647","±888","","","1,829","±1,101","4,909","±689","4,530","±184","2,322","±1,314","2,406","±757","","","27,784","±912","","","","","1,487","±932","18,559","±585","5,435","±2,214","18,147","±929","2,465","±695","5,762","±710","7,584","±1,355","744","±477","612","±675","3,298","±1,847","","","1,448","±675","3,792","±947","","","3,612","±834","","","2,614,350","±18,247"
"        45 to 54 years","2,223","±234","1,671","±525","3,258","±882","32,788","±1,005","","","","","2,261","±918","1,778","±1,177","1,300","±388","15,304","±220","3,435","±147","","","","","","","12,961","±644","","","2,356","±1,404","3,284","±457","3,710","±234","1,445","±978","2,781","±972","","","25,893","±1,111","","","","","584","±399","17,502","±1,186","1,427","±1,071","16,534","±560","2,781","±477","5,845","±229","5,924","±248","1,215","±513","837","±200","5,058","±2,399","","","718","±361","3,511","±519","","","3,094","±787","","","2,440,558","±16,705"
"        55 to 64 years","2,582","±76","1,001","±127","3,672","±286","29,226","±764","","","","","1,478","±234","1,620","±234","612","±312","14,517","±190","3,884","±234","","","","","","","12,585","±926","","","2,002","±211","3,612","±517","3,628","±234","1,895","±66","2,623","±204","","","25,695","±1,301","","","","","1,367","±351","14,755","±680","1,974","±292","15,773","±481","1,840","±159","5,636","±387","5,923","±280","746","±234","408","±386","3,708","±364","","","1,131","±234","2,517","±124","","","3,150","±223","","","2,314,686","±9,801"
"        65 to 74 years","1,689","±454","624","±270","2,122","±711","16,906","±596","","","","","433","±345","658","±462","586","±282","7,889","±126","2,260","±234","","","","","","","6,849","±734","","","1,979","±665","2,180","±104","2,321","±410","1,022","±476","1,719","±565","","","16,585","±596","","","","","363","±253","8,163","±593","1,228","±653","9,007","±362","1,017","±365","3,387","±267","3,686","±109","242","±216","631","±413","2,780","±190","","","1,108","±276","1,942","±490","","","2,016","±125","","","1,368,723","±10,223"
"        75 to 84 years","515","±421","214","±233","1,719","±860","6,800","±964","","","","","373","±309","539","±516","73","±122","3,192","±540","1,171","±130","","","","","","","2,713","±477","","","665","±128","1,157","±226","646","±414","144","±191","1,339","±588","","","7,421","±909","","","","","325","±288","3,459","±558","742","±578","2,935","±638","445","±370","1,478","±420","1,606","±599","413","±218","749","±480","1,445","±374","","","68","±114","683","±481","","","860","±193","","","543,830","±6,891"
"        85 years and over","112","±194","168","±195","98","±168","2,425","±955","","","","","352","±331","259","±311","0","±234","672","±522","120","±124","","","","","","","574","±420","","","67","±86","190","±172","194","±195","468","±492","123","±206","","","1,853","±797","","","","","0","±234","899","±461","352","±442","2,091","±643","46","±80","577","±380","720","±375","40","±70","0","±234","216","±355","","","193","±246","46","±85","","","277","±193","","","151,402","±5,810"
"    Female:","27,944","±2,061","8,630","±1,306","27,142","±3,438","297,959","±5,734","","","","","14,312","±1,209","13,419","±976","6,447","±1,045","153,515","±2,611","36,942","±2,081","","","","","","","134,977","±5,002","","","19,965","±3,191","33,193","±2,464","51,103","±1,278","18,168","±958","25,573","±1,522","","","237,368","±4,674","","","","","7,979","±1,129","154,160","±4,502","21,429","±2,823","148,637","±3,187","17,138","±1,541","51,883","±2,543","57,326","±2,212","6,368","±296","7,891","±1,441","32,903","±4,299","","","8,921","±1,191","30,913","±2,355","","","30,262","±1,625","","","21,917,261","±49,738"
"        Under 5 years","1,659","±604","0","±234","1,512","±709","16,546","±1,886","","","","","915","±511","783","±934","232","±302","11,012","±987","2,486","±783","","","","","","","10,158","±1,400","","","1,022","±737","2,616","±403","2,533","±600","503","±375","1,484","±1,041","","","15,589","±1,431","","","","","501","±421","10,147","±1,404","1,399","±899","10,260","±1,148","351","±515","2,366","±867","4,418","±749","0","±234","92","±158","1,404","±1,228","","","355","±388","1,561","±526","","","1,893","±711","","","1,313,006","±15,017"
"        5 to 9 years","1,235","±806","172","±238","1,162","±722","21,862","±2,784","","","","","170","±242","778","±542","708","±567","10,344","±1,814","2,386","±889","","","","","","","9,823","±2,362","","","1,906","±1,681","2,495","±1,042","3,595","±807","1,980","±827","2,234","±603","","","12,267","±1,755","","","","","421","±393","11,774","±2,271","1,009","±777","10,690","±1,664","500","±371","3,222","±1,444","4,796","±1,120","436","±367","338","±335","1,356","±808","","","577","±478","3,311","±893","","","1,995","±666","","","1,364,936","±18,840"
"        10 to 14 years","1,858","±1,030","683","±677","1,577","±914","19,458","±2,821","","","","","1,793","±942","1,413","±561","781","±736","10,908","±1,931","2,887","±899","","","","","","","8,323","±1,878","","","591","±940","2,083","±770","2,352","±763","1,074","±808","1,479","±655","","","16,782","±2,030","","","","","281","±236","10,208","±2,067","1,083","±749","9,884","±1,753","2,386","±536","3,108","±1,496","3,892","±1,348","616","±438","269","±369","2,425","±1,452","","","168","±199","1,005","±565","","","1,508","±727","","","1,483,366","±18,570"
