"Label","Ascension Parish, Louisiana!!Total!!Estimate","Ascension Parish, Louisiana!!Total!!Margin of Error","Ascension Parish, Louisiana!!Percent!!Estimate","Ascension Parish, Louisiana!!Percent!!Margin of Error","Bossier Parish, Louisiana!!Total!!Estimate","Bossier Parish, Louisiana!!Total!!Margin of Error","Bossier Parish, Louisiana!!Percent!!Estimate","Bossier Parish, Louisiana!!Percent!!Margin of Error","Caddo Parish, Louisiana!!Total!!Estimate","Caddo Parish, Louisiana!!Total!!Margin of Error","Caddo Parish, Louisiana!!Percent!!Estimate","Caddo Parish, Louisiana!!Percent!!Margin of Error","Calcasieu Parish, Louisiana!!Total!!Estimate","Calcasieu Parish, Louisiana!!Total!!Margin of Error","Calcasieu Parish, Louisiana!!Percent!!Estimate","Calcasieu Parish, Louisiana!!Percent!!Margin of Error","East Baton Rouge Parish, Louisiana!!Total!!Estimate","East Baton Rouge Parish, Louisiana!!Total!!Margin of Error","East Baton Rouge Parish, Louisiana!!Percent!!Estimate","East Baton Rouge Parish, Louisiana!!Percent!!Margin of Error","Iberia Parish, Louisiana!!Total!!Estimate","Iberia Parish, Louisiana!!Total!!Margin of Error","Iberia Parish, Louisiana!!Percent!!Estimate","Iberia Parish, Louisiana!!Percent!!Margin of Error","Jefferson Parish, Louisiana!!Total!!Estimate","Jefferson Parish, Louisiana!!Total!!Margin of Error","Jefferson Parish, Louisiana!!Percent!!Estimate","Jefferson Parish, Louisiana!!Percent!!Margin of Error","Lafayette Parish, Louisiana!!Total!!Estimate","Lafayette Parish, Louisiana!!Total!!Margin of Error","Lafayette Parish, Louisiana!!Percent!!Estimate","Lafayette Parish, Louisiana!!Percent!!Margin of Error","Lafourche Parish, Louisiana!!Total!!Estimate","Lafourche Parish, Louisiana!!Total!!Margin of Error","Lafourche Parish, Louisiana!!Percent!!Estimate","Lafourche Parish, Louisiana!!Percent!!Margin of Error","Livingston Parish, Louisiana!!Total!!Estimate","Livingston Parish, Louisiana!!Total!!Margin of Error","Livingston Parish, Louisiana!!Percent!!Estimate","Livingston Parish, Louisiana!!Percent!!Margin of Error","Orleans Parish, Louisiana!!Total!!Estimate","Orleans Parish, Louisiana!!Total!!Margin of Error","Orleans Parish, Louisiana!!Percent!!Estimate","Orleans Parish, Louisiana!!Percent!!Margin of Error","Ouachita Parish, Louisiana!!Total!!Estimate","Ouachita Parish, Louisiana!!Total!!Margin of Error","Ouachita Parish, Louisiana!!Percent!!Estimate","Ouachita Parish, Louisiana!!Percent!!Margin of Error","Rapides Parish, Louisiana!!Total!!Estimate","Rapides Parish, Louisiana!!Total!!Margin of Error","Rapides Parish, Louisiana!!Percent!!Estimate","Rapides Parish, Louisiana!!Percent!!Margin of Error","St. Landry Parish, Louisiana!!Total!!Estimate","St. Landry Parish, Louisiana!!Total!!Margin of Error","St. Landry Parish, Louisiana!!Percent!!Estimate","St. Landry Parish, Louisiana!!Percent!!Margin of Error","St. Tammany Parish, Louisiana!!Total!!Estimate","St. Tammany Parish, Louisiana!!Total!!Margin of Error","St. Tammany Parish, Louisiana!!Percent!!Estimate","St. Tammany Parish, Louisiana!!Percent!!Margin of Error","Tangipahoa Parish, Louisiana!!Total!!Estimate","Tangipahoa Parish, Louisiana!!Total!!Margin of Error","Tangipahoa Parish, Louisiana!!Percent!!Estimate","Tangipahoa Parish, Louisiana!!Percent!!Margin of Error","Terrebonne Parish, Louisiana!!Total!!Estimate","Terrebonne Parish, Louisiana!!Total!!Margin of Error","Terrebonne Parish, Louisiana!!Percent!!Estimate","Terrebonne Parish, Louisiana!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"        Without an Internet subscription","5,179","±1,723","11.7%","±3.9","14,013","±2,009","28.2%","±3.8","25,364","±2,635","27.4%","±2.7","13,458","±2,269","17.4%","±2.9","18,689","±2,235","11.6%","±1.4","3,570","±1,048","13.6%","±4.1","25,894","±2,821","15.1%","±1.7","10,042","±1,765","10.6%","±1.8","7,267","±1,432","19.8%","±3.8","9,176","±2,273","19.5%","±4.8","32,156","±2,720","21.2%","±1.7","12,340","±1,582","21.3%","±2.7","9,386","±1,610","19.2%","±3.1","12,492","±1,818","41.0%","±5.2","10,716","±2,094","11.3%","±2.2","8,342","±1,794","17.9%","±3.7","5,626","±1,286","14.0%","±3.2","16,438,191","±110,201","13.4%","±0.1"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000:","3,978","±1,272","(X)","(X)","9,255","±1,834","(X)","(X)","25,038","±2,758","(X)","(X)","15,317","±2,559","(X)","(X)","29,246","±2,686","(X)","(X)","5,839","±1,318","(X)","(X)","26,381","±2,499","(X)","(X)","16,754","±2,459","(X)","(X)","8,437","±1,499","(X)","(X)","7,066","±1,813","(X)","(X)","43,005","±2,677","(X)","(X)","15,288","±2,189","(X)","(X)","9,978","±1,561","(X)","(X)","8,224","±1,330","(X)","(X)","13,065","±2,050","(X)","(X)","10,061","±1,969","(X)","(X)","8,854","±1,870","(X)","(X)","16,898,169","±63,060","(X)","(X)"
"            With dial-up Internet subscription alone","0","±224","0.0%","±5.1","0","±224","0.0%","±2.2","0","±224","0.0%","±0.8","0","±224","0.0%","±1.3","85","±137","0.3%","±0.5","78","±139","1.3%","±2.4","0","±224","0.0%","±0.8","0","±224","0.0%","±1.2","0","±224","0.0%","±2.4","0","±224","0.0%","±2.9","0","±224","0.0%","±0.5","35","±61","0.2%","±0.4","0","±224","0.0%","±2.1","20","±39","0.2%","±0.5","0","±224","0.0%","±1.6","0","±224","0.0%","±2.0","0","±224","0.0%","±2.3","50,057","±3,226","0.3%","±0.1"
"            With a broadband Internet subscription","2,253","±1,049","56.6%","±20.4","3,740","±875","40.4%","±8.7","11,161","±1,519","44.6%","±5.8","8,712","±1,873","56.9%","±6.5","21,521","±2,590","73.6%","±4.6","4,616","±1,134","79.1%","±8.5","17,086","±2,292","64.8%","±6.3","11,491","±2,068","68.6%","±7.3","4,985","±1,190","59.1%","±10.5","4,592","±1,570","65.0%","±14.4","24,586","±2,091","57.2%","±3.5","8,827","±1,817","57.7%","±8.6","6,321","±1,438","63.3%","±9.1","2,913","±968","35.4%","±9.9","9,463","±1,695","72.4%","±8.5","5,301","±1,209","52.7%","±10.6","5,760","±1,677","65.1%","±10.2","10,840,598","±55,426","64.2%","±0.2"
"            Without an Internet subscription","1,725","±1,016","43.4%","±20.4","5,515","±1,558","59.6%","±8.7","13,877","±2,476","55.4%","±5.8","6,605","±1,377","43.1%","±6.5","7,640","±1,391","26.1%","±4.6","1,145","±562","19.6%","±8.2","9,295","±1,885","35.2%","±6.3","5,263","±1,464","31.4%","±7.3","3,452","±1,113","40.9%","±10.5","2,474","±1,204","35.0%","±14.4","18,419","±1,918","42.8%","±3.5","6,426","±1,604","42.0%","±8.6","3,657","±994","36.7%","±9.1","5,291","±1,153","64.3%","±10.0","3,602","±1,321","27.6%","±8.5","4,760","±1,626","47.3%","±10.6","3,094","±979","34.9%","±10.2","6,007,514","±48,221","35.6%","±0.2"
"        $20,000 to $74,999:","15,157","±2,334","(X)","(X)","23,777","±2,509","(X)","(X)","38,790","±3,108","(X)","(X)","34,006","±2,967","(X)","(X)","70,513","±4,738","(X)","(X)","11,944","±1,719","(X)","(X)","82,758","±3,150","(X)","(X)","38,518","±3,684","(X)","(X)","15,084","±1,862","(X)","(X)","19,530","±2,664","(X)","(X)","59,500","±2,767","(X)","(X)","27,538","±2,164","(X)","(X)","24,783","±2,139","(X)","(X)","14,080","±1,538","(X)","(X)","38,104","±3,034","(X)","(X)","19,744","±2,435","(X)","(X)","17,331","±2,437","(X)","(X)","51,624,276","±102,802","(X)","(X)"
"            With dial-up Internet subscription alone","0","±224","0.0%","±1.4","68","±116","0.3%","±0.5","172","±169","0.4%","±0.4","47","±75","0.1%","±0.2","134","±160","0.2%","±0.2","0","±224","0.0%","±1.7","41","±72","0.0%","±0.1","0","±224","0.0%","±0.5","23","±42","0.2%","±0.3","0","±224","0.0%","±1.1","41","±69","0.1%","±0.1","114","±195","0.4%","±0.7","9","±14","0.0%","±0.1","0","±224","0.0%","±1.5","49","±86","0.1%","±0.2","0","±224","0.0%","±1.0","0","±224","0.0%","±1.2","154,033","±5,386","0.3%","±0.1"
"            With a broadband Internet subscription","12,241","±2,185","80.8%","±7.2","17,371","±2,186","73.1%","±5.8","29,789","±3,145","76.8%","±4.0","28,508","±3,085","83.8%","±4.4","61,974","±4,565","87.9%","±2.6","10,237","±1,712","85.7%","±5.8","68,744","±3,821","83.1%","±2.6","34,964","±3,435","90.8%","±2.6","11,870","±1,601","78.7%","±6.4","14,303","±2,578","73.2%","±8.4","48,271","±2,816","81.1%","±2.8","22,081","±1,893","80.2%","±4.1","19,913","±2,222","80.3%","±4.9","8,946","±1,431","63.5%","±7.3","32,052","±2,606","84.1%","±3.6","16,428","±2,258","83.2%","±4.9","15,722","±2,402","90.7%","±4.2","43,392,447","±118,754","84.1%","±0.1"
"            Without an Internet subscription","2,916","±1,169","19.2%","±7.2","6,338","±1,588","26.7%","±5.8","8,829","±1,583","22.8%","±4.1","5,451","±1,472","16.0%","±4.3","8,405","±1,885","11.9%","±2.6","1,707","±708","14.3%","±5.8","13,973","±2,065","16.9%","±2.6","3,554","±1,063","9.2%","±2.6","3,191","±1,098","21.2%","±6.4","5,227","±1,770","26.8%","±8.4","11,188","±1,758","18.8%","±2.8","5,343","±1,241","19.4%","±4.0","4,861","±1,220","19.6%","±4.9","5,134","±1,145","36.5%","±7.3","6,003","±1,552","15.8%","±3.6","3,316","±1,041","16.8%","±4.9","1,609","±740","9.3%","±4.2","8,077,796","±66,242","15.6%","±0.1"
"        $75,000 or more:","25,132","±2,349","(X)","(X)","16,703","±2,099","(X)","(X)","28,761","±2,981","(X)","(X)","27,909","±2,719","(X)","(X)","61,777","±3,445","(X)","(X)","8,402","±1,431","(X)","(X)","62,852","±3,250","(X)","(X)","39,218","±3,221","(X)","(X)","13,238","±1,806","(X)","(X)","20,418","±2,574","(X)","(X)","49,248","±2,331","(X)","(X)","15,009","±1,673","(X)","(X)","14,214","±1,826","(X)","(X)","8,137","±1,538","(X)","(X)","43,819","±2,878","(X)","(X)","16,721","±2,253","(X)","(X)","13,988","±1,809","(X)","(X)","54,280,407","±138,481","(X)","(X)"
"            With dial-up Internet subscription alone","0","±224","0.0%","±0.8","59","±108","0.4%","±0.7","0","±224","0.0%","±0.7","0","±224","0.0%","±0.7","173","±200","0.3%","±0.3","0","±224","0.0%","±2.4","0","±224","0.0%","±0.3","171","±277","0.4%","±0.7","0","±224","0.0%","±1.6","0","±224","0.0%","±1.0","0","±224","0.0%","±0.4","0","±224","0.0%","±1.4","0","±224","0.0%","±1.4","0","±224","0.0%","±2.5","83","±159","0.2%","±0.4","0","±224","0.0%","±1.2","0","±224","0.0%","±1.5","61,241","±3,741","0.1%","±0.1"
"            With a broadband Internet subscription","24,594","±2,390","97.9%","±1.8","14,484","±2,000","86.7%","±6.2","26,103","±2,754","90.8%","±3.2","26,507","±2,722","95.0%","±2.4","58,960","±3,433","95.4%","±1.5","7,684","±1,335","91.5%","±7.5","60,226","±3,339","95.8%","±1.2","37,822","±3,202","96.4%","±1.9","12,614","±1,757","95.3%","±2.6","18,943","±2,566","92.8%","±5.7","46,699","±2,258","94.8%","±1.3","14,438","±1,604","96.2%","±2.3","13,346","±1,801","93.9%","±3.6","6,070","±1,352","74.6%","±9.8","42,625","±2,946","97.3%","±1.4","16,455","±2,259","98.4%","±1.1","13,065","±1,804","93.4%","±3.4","51,866,285","±151,271","95.6%","±0.1"
"            Without an Internet subscription","538","±457","2.1%","±1.8","2,160","±1,070","12.9%","±6.0","2,658","±974","9.2%","±3.2","1,402","±679","5.0%","±2.4","2,644","±915","4.3%","±1.5","718","±658","8.5%","±7.5","2,626","±762","4.2%","±1.2","1,225","±710","3.1%","±1.8","624","±365","4.7%","±2.6","1,475","±1,192","7.2%","±5.7","2,549","±677","5.2%","±1.3","571","±363","3.8%","±2.3","868","±519","6.1%","±3.6","2,067","±908","25.4%","±9.8","1,111","±559","2.5%","±1.3","266","±184","1.6%","±1.1","923","±474","6.6%","±3.4","2,352,881","±31,854","4.3%","±0.1"
