"Label","Ascension Parish, Louisiana!!Total!!Estimate","Ascension Parish, Louisiana!!Total!!Margin of Error","Ascension Parish, Louisiana!!Percent!!Estimate","Ascension Parish, Louisiana!!Percent!!Margin of Error","Bossier Parish, Louisiana!!Total!!Estimate","Bossier Parish, Louisiana!!Total!!Margin of Error","Bossier Parish, Louisiana!!Percent!!Estimate","Bossier Parish, Louisiana!!Percent!!Margin of Error","Caddo Parish, Louisiana!!Total!!Estimate","Caddo Parish, Louisiana!!Total!!Margin of Error","Caddo Parish, Louisiana!!Percent!!Estimate","Caddo Parish, Louisiana!!Percent!!Margin of Error","Calcasieu Parish, Louisiana!!Total!!Estimate","Calcasieu Parish, Louisiana!!Total!!Margin of Error","Calcasieu Parish, Louisiana!!Percent!!Estimate","Calcasieu Parish, Louisiana!!Percent!!Margin of Error","East Baton Rouge Parish, Louisiana!!Total!!Estimate","East Baton Rouge Parish, Louisiana!!Total!!Margin of Error","East Baton Rouge Parish, Louisiana!!Percent!!Estimate","East Baton Rouge Parish, Louisiana!!Percent!!Margin of Error","Iberia Parish, Louisiana!!Total!!Estimate","Iberia Parish, Louisiana!!Total!!Margin of Error","Iberia Parish, Louisiana!!Percent!!Estimate","Iberia Parish, Louisiana!!Percent!!Margin of Error","Jefferson Parish, Louisiana!!Total!!Estimate","Jefferson Parish, Louisiana!!Total!!Margin of Error","Jefferson Parish, Louisiana!!Percent!!Estimate","Jefferson Parish, Louisiana!!Percent!!Margin of Error","Lafayette Parish, Louisiana!!Total!!Estimate","Lafayette Parish, Louisiana!!Total!!Margin of Error","Lafayette Parish, Louisiana!!Percent!!Estimate","Lafayette Parish, Louisiana!!Percent!!Margin of Error","Lafourche Parish, Louisiana!!Total!!Estimate","Lafourche Parish, Louisiana!!Total!!Margin of Error","Lafourche Parish, Louisiana!!Percent!!Estimate","Lafourche Parish, Louisiana!!Percent!!Margin of Error","Livingston Parish, Louisiana!!Total!!Estimate","Livingston Parish, Louisiana!!Total!!Margin of Error","Livingston Parish, Louisiana!!Percent!!Estimate","Livingston Parish, Louisiana!!Percent!!Margin of Error","Orleans Parish, Louisiana!!Total!!Estimate","Orleans Parish, Louisiana!!Total!!Margin of Error","Orleans Parish, Louisiana!!Percent!!Estimate","Orleans Parish, Louisiana!!Percent!!Margin of Error","Ouachita Parish, Louisiana!!Total!!Estimate","Ouachita Parish, Louisiana!!Total!!Margin of Error","Ouachita Parish, Louisiana!!Percent!!Estimate","Ouachita Parish, Louisiana!!Percent!!Margin of Error","Rapides Parish, Louisiana!!Total!!Estimate","Rapides Parish, Louisiana!!Total!!Margin of Error","Rapides Parish, Louisiana!!Percent!!Estimate","Rapides Parish, Louisiana!!Percent!!Margin of Error","St. Landry Parish, Louisiana!!Total!!Estimate","St. Landry Parish, Louisiana!!Total!!Margin of Error","St. Landry Parish, Louisiana!!Percent!!Estimate","St. Landry Parish, Louisiana!!Percent!!Margin of Error","St. Tammany Parish, Louisiana!!Total!!Estimate","St. Tammany Parish, Louisiana!!Total!!Margin of Error","St. Tammany Parish, Louisiana!!Percent!!Estimate","St. Tammany Parish, Louisiana!!Percent!!Margin of Error","Tangipahoa Parish, Louisiana!!Total!!Estimate","Tangipahoa Parish, Louisiana!!Total!!Margin of Error","Tangipahoa Parish, Louisiana!!Percent!!Estimate","Tangipahoa Parish, Louisiana!!Percent!!Margin of Error","Terrebonne Parish, Louisiana!!Total!!Estimate","Terrebonne Parish, Louisiana!!Total!!Margin of Error","Terrebonne Parish, Louisiana!!Percent!!Estimate","Terrebonne Parish, Louisiana!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"                Other computer with no other type of computing device","0","±224","0.0%","±0.5","0","±224","0.0%","±0.4","0","±224","0.0%","±0.2","0","±224","0.0%","±0.3","0","±224","0.0%","±0.1","0","±224","0.0%","±0.8","0","±224","0.0%","±0.1","0","±224","0.0%","±0.2","142","±183","0.4%","±0.5","59","±96","0.1%","±0.2","81","±76","0.1%","±0.1","19","±37","0.0%","±0.1","0","±224","0.0%","±0.4","23","±49","0.1%","±0.2","37","±63","0.0%","±0.1","66","±112","0.1%","±0.2","0","±224","0.0%","±0.5","25,911","±2,308","0.0%","±0.1"
"        No computer","2,717","±1,171","6.1%","±2.7","3,174","±924","6.4%","±1.9","11,660","±1,908","12.6%","±2.0","7,186","±1,347","9.3%","±1.7","10,239","±1,899","6.3%","±1.2","3,611","±977","13.8%","±3.8","14,127","±2,330","8.2%","±1.3","7,304","±1,723","7.7%","±1.8","4,963","±1,173","13.5%","±3.2","2,683","±1,156","5.7%","±2.5","14,830","±1,477","9.8%","±1.0","8,853","±1,666","15.3%","±2.8","6,629","±1,393","13.5%","±2.7","7,358","±1,525","24.2%","±4.8","5,578","±1,278","5.9%","±1.3","4,111","±1,143","8.8%","±2.4","4,226","±1,024","10.5%","±2.6","8,740,203","±55,179","7.1%","±0.1"
"    TYPE OF INTERNET SUBSCRIPTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With an Internet subscription:","39,088","±2,338","88.3%","±3.9","35,722","±2,317","71.8%","±3.8","67,225","±3,230","72.6%","±2.7","63,774","±3,170","82.6%","±2.9","142,847","±4,544","88.4%","±1.4","22,615","±1,808","86.4%","±4.1","146,097","±3,584","84.9%","±1.7","84,448","±2,648","89.4%","±1.8","29,492","±1,872","80.2%","±3.8","37,838","±3,229","80.5%","±4.8","119,597","±3,279","78.8%","±1.7","45,495","±2,535","78.7%","±2.7","39,589","±2,011","80.8%","±3.1","17,949","±1,550","59.0%","±5.2","84,272","±3,045","88.7%","±2.2","38,184","±2,400","82.1%","±3.7","34,547","±1,916","86.0%","±3.2","106,364,661","±221,795","86.6%","±0.1"
"            Dial-up with no other type of Internet subscription","0","±224","0.0%","±0.5","127","±162","0.3%","±0.3","172","±169","0.2%","±0.2","47","±75","0.1%","±0.1","392","±317","0.2%","±0.2","78","±139","0.3%","±0.5","41","±72","0.0%","±0.1","171","±277","0.2%","±0.3","23","±42","0.1%","±0.1","0","±224","0.0%","±0.4","41","±69","0.0%","±0.1","149","±208","0.3%","±0.4","9","±14","0.0%","±0.1","20","±39","0.1%","±0.1","132","±181","0.1%","±0.2","0","±224","0.0%","±0.4","0","±224","0.0%","±0.5","265,331","±7,387","0.2%","±0.1"
"            Broadband of any type","39,088","±2,338","88.3%","±3.9","35,595","±2,319","71.6%","±3.8","67,053","±3,217","72.4%","±2.7","63,727","±3,169","82.5%","±2.9","142,455","±4,526","88.2%","±1.4","22,537","±1,823","86.1%","±4.1","146,056","±3,579","84.9%","±1.7","84,277","±2,639","89.2%","±1.8","29,469","±1,866","80.2%","±3.8","37,838","±3,229","80.5%","±4.8","119,556","±3,280","78.8%","±1.8","45,346","±2,536","78.4%","±2.8","39,580","±2,010","80.8%","±3.1","17,929","±1,544","58.9%","±5.2","84,140","±3,052","88.6%","±2.2","38,184","±2,400","82.1%","±3.7","34,547","±1,916","86.0%","±3.2","106,099,330","±220,420","86.4%","±0.1"
"                Cellular data plan","37,624","±2,413","85.0%","±4.4","27,576","±2,681","55.4%","±4.9","55,637","±3,472","60.1%","±3.3","57,207","±3,272","74.1%","±3.4","131,795","±4,864","81.6%","±1.9","21,257","±1,771","81.2%","±4.2","134,236","±3,634","78.0%","±1.7","81,086","±2,908","85.8%","±2.2","26,611","±2,011","72.4%","±4.5","26,800","±3,056","57.0%","±5.9","103,242","±3,720","68.0%","±2.1","39,860","±2,497","68.9%","±3.5","36,316","±1,992","74.2%","±3.2","14,343","±1,543","47.1%","±5.2","79,916","±3,012","84.1%","±2.3","35,399","±2,366","76.1%","±3.7","31,521","±1,948","78.5%","±3.8","95,774,824","±252,212","78.0%","±0.1"
"                    Cellular data plan with no other type of Internet subscription","5,614","±1,626","12.7%","±3.6","5,748","±1,510","11.6%","±3.0","10,797","±1,851","11.7%","±2.0","14,312","±2,302","18.5%","±2.9","19,609","±2,569","12.1%","±1.6","4,817","±1,253","18.4%","±4.6","25,637","±2,914","14.9%","±1.6","11,083","±2,186","11.7%","±2.3","3,770","±942","10.3%","±2.5","4,099","±1,152","8.7%","±2.4","21,229","±2,138","14.0%","±1.3","10,906","±1,926","18.9%","±3.2","8,256","±1,578","16.9%","±3.2","6,863","±1,269","22.5%","±4.2","7,481","±1,288","7.9%","±1.4","6,746","±1,448","14.5%","±3.0","5,260","±1,607","13.1%","±4.0","14,539,689","±68,448","11.8%","±0.1"
"                Broadband such as cable, fiber optic or DSL","30,798","±2,417","69.6%","±5.0","28,268","±2,003","56.8%","±3.6","53,591","±3,423","57.9%","±3.1","46,180","±3,389","59.8%","±3.6","116,847","±4,778","72.3%","±2.1","16,079","±1,887","61.4%","±5.8","115,143","±4,056","66.9%","±2.2","71,610","±3,193","75.8%","±2.9","24,456","±2,033","66.5%","±4.7","32,531","±3,369","69.2%","±5.6","95,600","±2,783","63.0%","±1.8","31,799","±2,539","55.0%","±3.8","26,650","±2,283","54.4%","±4.2","9,602","±1,356","31.5%","±4.5","73,538","±3,304","77.4%","±2.6","29,386","±2,471","63.2%","±4.3","27,566","±2,118","68.6%","±4.5","86,904,191","±204,585","70.8%","±0.1"
"                Satellite Internet service","4,300","±1,666","9.7%","±3.7","2,658","±826","5.3%","±1.7","6,696","±1,488","7.2%","±1.6","5,236","±1,282","6.8%","±1.7","11,227","±1,637","7.0%","±1.1","4,859","±1,461","18.6%","±5.5","18,092","±2,595","10.5%","±1.5","3,781","±1,033","4.0%","±1.1","2,637","±790","7.2%","±2.1","1,899","±890","4.0%","±1.9","6,983","±1,038","4.6%","±0.7","5,290","±1,167","9.1%","±2.0","5,412","±1,484","11.1%","±3.0","2,251","±675","7.4%","±2.2","6,231","±1,313","6.6%","±1.4","3,005","±1,027","6.5%","±2.2","3,595","±1,071","8.9%","±2.7","8,021,594","±64,513","6.5%","±0.1"
