"Label","Boone County, Kentucky!!Total!!Estimate","Boone County, Kentucky!!Total!!Margin of Error","Boone County, Kentucky!!Percent!!Estimate","Boone County, Kentucky!!Percent!!Margin of Error","Bullitt County, Kentucky!!Total!!Estimate","Bullitt County, Kentucky!!Total!!Margin of Error","Bullitt County, Kentucky!!Percent!!Estimate","Bullitt County, Kentucky!!Percent!!Margin of Error","Campbell County, Kentucky!!Total!!Estimate","Campbell County, Kentucky!!Total!!Margin of Error","Campbell County, Kentucky!!Percent!!Estimate","Campbell County, Kentucky!!Percent!!Margin of Error","Christian County, Kentucky!!Total!!Estimate","Christian County, Kentucky!!Total!!Margin of Error","Christian County, Kentucky!!Percent!!Estimate","Christian County, Kentucky!!Percent!!Margin of Error","Daviess County, Kentucky!!Total!!Estimate","Daviess County, Kentucky!!Total!!Margin of Error","Daviess County, Kentucky!!Percent!!Estimate","Daviess County, Kentucky!!Percent!!Margin of Error","Fayette County, Kentucky!!Total!!Estimate","Fayette County, Kentucky!!Total!!Margin of Error","Fayette County, Kentucky!!Percent!!Estimate","Fayette County, Kentucky!!Percent!!Margin of Error","Hardin County, Kentucky!!Total!!Estimate","Hardin County, Kentucky!!Total!!Margin of Error","Hardin County, Kentucky!!Percent!!Estimate","Hardin County, Kentucky!!Percent!!Margin of Error","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Percent!!Estimate","Jefferson County, Kentucky!!Percent!!Margin of Error","Kenton County, Kentucky!!Total!!Estimate","Kenton County, Kentucky!!Total!!Margin of Error","Kenton County, Kentucky!!Percent!!Estimate","Kenton County, Kentucky!!Percent!!Margin of Error","McCracken County, Kentucky!!Total!!Estimate","McCracken County, Kentucky!!Total!!Margin of Error","McCracken County, Kentucky!!Percent!!Estimate","McCracken County, Kentucky!!Percent!!Margin of Error","Madison County, Kentucky!!Total!!Estimate","Madison County, Kentucky!!Total!!Margin of Error","Madison County, Kentucky!!Percent!!Estimate","Madison County, Kentucky!!Percent!!Margin of Error","Oldham County, Kentucky!!Total!!Estimate","Oldham County, Kentucky!!Total!!Margin of Error","Oldham County, Kentucky!!Percent!!Estimate","Oldham County, Kentucky!!Percent!!Margin of Error","Warren County, Kentucky!!Total!!Estimate","Warren County, Kentucky!!Total!!Margin of Error","Warren County, Kentucky!!Percent!!Estimate","Warren County, Kentucky!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"                Other computer with no other type of computing device","0","±201","0.0%","±0.3","0","±201","0.0%","±0.5","0","±201","0.0%","±0.4","49","±96","0.2%","±0.4","0","±201","0.0%","±0.4","0","±201","0.0%","±0.1","0","±201","0.0%","±0.4","196","±195","0.1%","±0.1","0","±201","0.0%","±0.3","0","±201","0.0%","±0.6","0","±201","0.0%","±0.5","0","±201","0.0%","±0.8","0","±201","0.0%","±0.3","25,911","±2,308","0.0%","±0.1"
"        No computer","1,616","±643","3.3%","±1.3","2,009","±569","6.6%","±1.9","3,633","±1,085","9.5%","±2.8","2,148","±650","8.2%","±2.4","2,912","±820","7.1%","±2.0","6,827","±1,570","5.2%","±1.2","3,037","±1,054","7.1%","±2.5","22,712","±2,516","7.2%","±0.8","3,902","±931","6.0%","±1.4","1,875","±695","6.6%","±2.4","2,403","±879","7.0%","±2.6","805","±386","3.9%","±1.8","3,509","±1,181","7.0%","±2.3","8,740,203","±55,179","7.1%","±0.1"
"    TYPE OF INTERNET SUBSCRIPTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With an Internet subscription:","43,937","±1,664","90.1%","±2.7","26,305","±1,347","86.1%","±3.3","32,573","±1,616","85.5%","±3.3","21,682","±1,403","82.7%","±3.8","35,661","±1,411","87.4%","±2.7","117,602","±2,652","89.1%","±1.6","36,579","±1,785","85.8%","±3.4","276,935","±4,149","87.6%","±1.0","57,721","±1,795","88.3%","±2.3","25,362","±1,378","89.4%","±2.5","29,313","±1,640","85.5%","±3.0","19,075","±850","91.9%","±2.7","45,587","±1,761","90.3%","±2.4","106,364,661","±221,795","86.6%","±0.1"
"            Dial-up with no other type of Internet subscription","86","±135","0.2%","±0.3","68","±106","0.2%","±0.3","162","±240","0.4%","±0.6","0","±201","0.0%","±0.6","39","±68","0.1%","±0.2","93","±111","0.1%","±0.1","308","±254","0.7%","±0.6","553","±297","0.2%","±0.1","250","±199","0.4%","±0.3","0","±201","0.0%","±0.6","90","±105","0.3%","±0.3","0","±201","0.0%","±0.8","281","±240","0.6%","±0.5","265,331","±7,387","0.2%","±0.1"
"            Broadband of any type","43,851","±1,653","89.9%","±2.7","26,237","±1,351","85.9%","±3.3","32,411","±1,648","85.0%","±3.3","21,682","±1,403","82.7%","±3.8","35,622","±1,406","87.3%","±2.7","117,509","±2,672","89.1%","±1.6","36,271","±1,816","85.1%","±3.4","276,382","±4,069","87.4%","±1.0","57,471","±1,812","87.9%","±2.4","25,362","±1,378","89.4%","±2.5","29,223","±1,664","85.3%","±3.1","19,075","±850","91.9%","±2.7","45,306","±1,808","89.7%","±2.5","106,099,330","±220,420","86.4%","±0.1"
"                Cellular data plan","38,260","±1,944","78.4%","±3.6","23,238","±1,422","76.1%","±4.2","29,043","±1,679","76.2%","±3.8","19,114","±1,539","72.9%","±4.6","32,240","±1,477","79.0%","±2.9","104,734","±2,862","79.4%","±1.8","30,667","±2,078","71.9%","±4.7","257,374","±4,372","81.4%","±1.2","51,392","±2,104","78.6%","±2.9","23,169","±1,390","81.7%","±3.1","27,075","±1,730","79.0%","±3.3","18,379","±831","88.5%","±2.6","41,981","±1,990","83.1%","±3.0","95,774,824","±252,212","78.0%","±0.1"
"                    Cellular data plan with no other type of Internet subscription","4,351","±1,145","8.9%","±2.3","4,039","±1,143","13.2%","±3.7","4,530","±1,012","11.9%","±2.6","5,900","±1,501","22.5%","±5.6","5,561","±1,146","13.6%","±2.8","13,667","±2,187","10.4%","±1.6","5,130","±1,151","12.0%","±2.7","52,219","±3,952","16.5%","±1.2","7,064","±1,346","10.8%","±2.0","5,511","±1,328","19.4%","±4.5","5,170","±1,185","15.1%","±3.4","1,825","±592","8.8%","±2.8","5,822","±1,490","11.5%","±3.0","14,539,689","±68,448","11.8%","±0.1"
"                Broadband such as cable, fiber optic or DSL","38,855","±2,043","79.7%","±3.7","20,810","±1,684","68.1%","±5.1","27,132","±1,720","71.2%","±3.8","14,242","±1,866","54.3%","±6.4","28,309","±1,641","69.4%","±3.5","102,142","±3,174","77.4%","±2.2","29,907","±1,868","70.1%","±3.8","217,066","±5,123","68.7%","±1.5","49,088","±1,785","75.1%","±2.5","19,154","±1,566","67.5%","±4.8","22,183","±1,848","64.7%","±4.4","16,789","±822","80.9%","±3.7","36,052","±2,342","71.4%","±4.1","86,904,191","±204,585","70.8%","±0.1"
"                Satellite Internet service","2,389","±788","4.9%","±1.6","2,612","±943","8.5%","±3.1","928","±386","2.4%","±1.0","2,698","±868","10.3%","±3.3","2,733","±709","6.7%","±1.7","4,295","±1,006","3.3%","±0.8","1,982","±615","4.6%","±1.4","16,212","±1,792","5.1%","±0.6","2,300","±667","3.5%","±1.0","1,268","±459","4.5%","±1.6","2,930","±977","8.5%","±2.8","1,090","±421","5.3%","±2.0","3,176","±837","6.3%","±1.6","8,021,594","±64,513","6.5%","±0.1"
