"Label","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Percent!!Estimate","Barrow County, Georgia!!Percent!!Margin of Error","Bartow County, Georgia!!Total!!Estimate","Bartow County, Georgia!!Total!!Margin of Error","Bartow County, Georgia!!Percent!!Estimate","Bartow County, Georgia!!Percent!!Margin of Error","Bibb County, Georgia!!Total!!Estimate","Bibb County, Georgia!!Total!!Margin of Error","Bibb County, Georgia!!Percent!!Estimate","Bibb County, Georgia!!Percent!!Margin of Error","Bulloch County, Georgia!!Total!!Estimate","Bulloch County, Georgia!!Total!!Margin of Error","Bulloch County, Georgia!!Percent!!Estimate","Bulloch County, Georgia!!Percent!!Margin of Error","Carroll County, Georgia!!Total!!Estimate","Carroll County, Georgia!!Total!!Margin of Error","Carroll County, Georgia!!Percent!!Estimate","Carroll County, Georgia!!Percent!!Margin of Error","Catoosa County, Georgia!!Total!!Estimate","Catoosa County, Georgia!!Total!!Margin of Error","Catoosa County, Georgia!!Percent!!Estimate","Catoosa County, Georgia!!Percent!!Margin of Error","Chatham County, Georgia!!Total!!Estimate","Chatham County, Georgia!!Total!!Margin of Error","Chatham County, Georgia!!Percent!!Estimate","Chatham County, Georgia!!Percent!!Margin of Error","Cherokee County, Georgia!!Total!!Estimate","Cherokee County, Georgia!!Total!!Margin of Error","Cherokee County, Georgia!!Percent!!Estimate","Cherokee County, Georgia!!Percent!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Percent!!Estimate","Clarke County, Georgia!!Percent!!Margin of Error","Clayton County, Georgia!!Total!!Estimate","Clayton County, Georgia!!Total!!Margin of Error","Clayton County, Georgia!!Percent!!Estimate","Clayton County, Georgia!!Percent!!Margin of Error","Cobb County, Georgia!!Total!!Estimate","Cobb County, Georgia!!Total!!Margin of Error","Cobb County, Georgia!!Percent!!Estimate","Cobb County, Georgia!!Percent!!Margin of Error","Columbia County, Georgia!!Total!!Estimate","Columbia County, Georgia!!Total!!Margin of Error","Columbia County, Georgia!!Percent!!Estimate","Columbia County, Georgia!!Percent!!Margin of Error","Coweta County, Georgia!!Total!!Estimate","Coweta County, Georgia!!Total!!Margin of Error","Coweta County, Georgia!!Percent!!Estimate","Coweta County, Georgia!!Percent!!Margin of Error","DeKalb County, Georgia!!Total!!Estimate","DeKalb County, Georgia!!Total!!Margin of Error","DeKalb County, Georgia!!Percent!!Estimate","DeKalb County, Georgia!!Percent!!Margin of Error","Dougherty County, Georgia!!Total!!Estimate","Dougherty County, Georgia!!Total!!Margin of Error","Dougherty County, Georgia!!Percent!!Estimate","Dougherty County, Georgia!!Percent!!Margin of Error","Douglas County, Georgia!!Total!!Estimate","Douglas County, Georgia!!Total!!Margin of Error","Douglas County, Georgia!!Percent!!Estimate","Douglas County, Georgia!!Percent!!Margin of Error","Fayette County, Georgia!!Total!!Estimate","Fayette County, Georgia!!Total!!Margin of Error","Fayette County, Georgia!!Percent!!Estimate","Fayette County, Georgia!!Percent!!Margin of Error","Floyd County, Georgia!!Total!!Estimate","Floyd County, Georgia!!Total!!Margin of Error","Floyd County, Georgia!!Percent!!Estimate","Floyd County, Georgia!!Percent!!Margin of Error","Forsyth County, Georgia!!Total!!Estimate","Forsyth County, Georgia!!Total!!Margin of Error","Forsyth County, Georgia!!Percent!!Estimate","Forsyth County, Georgia!!Percent!!Margin of Error","Fulton County, Georgia!!Total!!Estimate","Fulton County, Georgia!!Total!!Margin of Error","Fulton County, Georgia!!Percent!!Estimate","Fulton County, Georgia!!Percent!!Margin of Error","Glynn County, Georgia!!Total!!Estimate","Glynn County, Georgia!!Total!!Margin of Error","Glynn County, Georgia!!Percent!!Estimate","Glynn County, Georgia!!Percent!!Margin of Error","Gwinnett County, Georgia!!Total!!Estimate","Gwinnett County, Georgia!!Total!!Margin of Error","Gwinnett County, Georgia!!Percent!!Estimate","Gwinnett County, Georgia!!Percent!!Margin of Error","Hall County, Georgia!!Total!!Estimate","Hall County, Georgia!!Total!!Margin of Error","Hall County, Georgia!!Percent!!Estimate","Hall County, Georgia!!Percent!!Margin of Error","Henry County, Georgia!!Total!!Estimate","Henry County, Georgia!!Total!!Margin of Error","Henry County, Georgia!!Percent!!Estimate","Henry County, Georgia!!Percent!!Margin of Error","Houston County, Georgia!!Total!!Estimate","Houston County, Georgia!!Total!!Margin of Error","Houston County, Georgia!!Percent!!Estimate","Houston County, Georgia!!Percent!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Percent!!Estimate","Jackson County, Georgia!!Percent!!Margin of Error","Lowndes County, Georgia!!Total!!Estimate","Lowndes County, Georgia!!Total!!Margin of Error","Lowndes County, Georgia!!Percent!!Estimate","Lowndes County, Georgia!!Percent!!Margin of Error","Muscogee County, Georgia!!Total!!Estimate","Muscogee County, Georgia!!Total!!Margin of Error","Muscogee County, Georgia!!Percent!!Estimate","Muscogee County, Georgia!!Percent!!Margin of Error","Newton County, Georgia!!Total!!Estimate","Newton County, Georgia!!Total!!Margin of Error","Newton County, Georgia!!Percent!!Estimate","Newton County, Georgia!!Percent!!Margin of Error","Paulding County, Georgia!!Total!!Estimate","Paulding County, Georgia!!Total!!Margin of Error","Paulding County, Georgia!!Percent!!Estimate","Paulding County, Georgia!!Percent!!Margin of Error","Richmond County, Georgia!!Total!!Estimate","Richmond County, Georgia!!Total!!Margin of Error","Richmond County, Georgia!!Percent!!Estimate","Richmond County, Georgia!!Percent!!Margin of Error","Rockdale County, Georgia!!Total!!Estimate","Rockdale County, Georgia!!Total!!Margin of Error","Rockdale County, Georgia!!Percent!!Estimate","Rockdale County, Georgia!!Percent!!Margin of Error","Spalding County, Georgia!!Total!!Estimate","Spalding County, Georgia!!Total!!Margin of Error","Spalding County, Georgia!!Percent!!Estimate","Spalding County, Georgia!!Percent!!Margin of Error","Troup County, Georgia!!Total!!Estimate","Troup County, Georgia!!Total!!Margin of Error","Troup County, Georgia!!Percent!!Estimate","Troup County, Georgia!!Percent!!Margin of Error","Walker County, Georgia!!Total!!Estimate","Walker County, Georgia!!Total!!Margin of Error","Walker County, Georgia!!Percent!!Estimate","Walker County, Georgia!!Percent!!Margin of Error","Walton County, Georgia!!Total!!Estimate","Walton County, Georgia!!Total!!Margin of Error","Walton County, Georgia!!Percent!!Estimate","Walton County, Georgia!!Percent!!Margin of Error","Whitfield County, Georgia!!Total!!Estimate","Whitfield County, Georgia!!Total!!Margin of Error","Whitfield County, Georgia!!Percent!!Estimate","Whitfield County, Georgia!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"                Other computer with no other type of computing device","0","±234","0.0%","±0.8","0","±234","0.0%","±0.6","0","±234","0.0%","±0.4","0","±234","0.0%","±0.8","0","±234","0.0%","±0.5","0","±234","0.0%","±0.9","0","±234","0.0%","±0.2","0","±234","0.0%","±0.2","0","±234","0.0%","±0.4","0","±234","0.0%","±0.2","79","±130","0.0%","±0.1","0","±234","0.0%","±0.5","0","±234","0.0%","±0.4","187","±224","0.1%","±0.1","0","±234","0.0%","±0.7","0","±234","0.0%","±0.5","50","±83","0.1%","±0.2","0","±234","0.0%","±0.6","246","±319","0.3%","±0.4","85","±138","0.0%","±0.1","0","±234","0.0%","±0.7","0","±234","0.0%","±0.1","0","±234","0.0%","±0.3","0","±234","0.0%","±0.3","0","±234","0.0%","±0.4","46","±49","0.2%","±0.2","0","±234","0.0%","±0.5","21","±36","0.0%","±0.1","94","±150","0.2%","±0.4","0","±234","0.0%","±0.4","0","±234","0.0%","±0.3","0","±234","0.0%","±0.7","0","±234","0.0%","±0.9","0","±234","0.0%","±0.9","0","±234","0.0%","±0.8","0","±234","0.0%","±0.7","0","±234","0.0%","±0.7","25,911","±2,308","0.0%","±0.1"
"        No computer","1,888","±698","6.8%","±2.5","3,136","±1,212","7.9%","±3.0","6,758","±1,194","11.9%","±2.2","1,192","±420","4.2%","±1.5","3,681","±1,071","8.6%","±2.5","1,748","±782","7.2%","±3.2","6,419","±1,364","5.9%","±1.2","5,921","±1,730","6.3%","±1.8","3,431","±1,512","6.6%","±2.9","5,698","±1,535","5.9%","±1.6","5,439","±1,406","1.9%","±0.5","2,150","±1,002","4.6%","±2.0","2,465","±1,071","4.6%","±2.0","17,544","±2,662","6.1%","±0.9","5,220","±1,091","16.0%","±3.2","2,600","±1,267","5.3%","±2.6","895","±448","2.2%","±1.1","3,468","±826","9.8%","±2.3","1,585","±675","1.9%","±0.8","20,559","±2,384","4.7%","±0.5","4,191","±1,386","12.1%","±3.9","10,562","±1,957","3.5%","±0.6","4,180","±1,129","6.4%","±1.7","3,123","±957","3.9%","±1.2","4,188","±1,270","7.2%","±2.1","2,229","±803","8.9%","±3.2","4,093","±1,264","9.6%","±3.0","6,483","±1,198","8.9%","±1.6","1,708","±748","4.5%","±2.0","2,632","±1,378","4.7%","±2.4","5,411","±1,126","7.9%","±1.6","2,010","±760","6.1%","±2.3","3,595","±1,080","14.2%","±4.3","3,864","±1,238","15.8%","±5.0","2,774","±1,077","10.4%","±4.0","2,783","±889","8.3%","±2.6","4,380","±1,383","12.7%","±4.1","8,740,203","±55,179","7.1%","±0.1"
"    TYPE OF INTERNET SUBSCRIPTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With an Internet subscription:","25,196","±1,053","90.7%","±2.7","31,853","±1,594","80.1%","±3.7","46,527","±2,421","82.0%","±2.9","23,590","±1,744","82.3%","±4.3","37,170","±1,669","86.8%","±3.0","21,412","±1,490","88.7%","±3.3","93,197","±2,958","86.3%","±2.1","84,680","±2,418","90.6%","±2.3","44,775","±2,214","85.9%","±3.8","83,839","±2,336","86.4%","±2.3","272,749","±4,097","95.1%","±0.9","41,488","±2,543","88.5%","±3.1","47,190","±1,829","88.0%","±2.6","256,202","±4,770","88.4%","±1.0","23,794","±1,757","72.9%","±4.4","41,622","±2,581","85.1%","±4.2","38,822","±1,158","94.1%","±1.6","29,653","±1,625","83.7%","±3.2","78,020","±2,022","95.4%","±1.4","398,522","±5,293","90.7%","±0.8","26,895","±2,183","77.7%","±4.9","269,239","±4,358","89.3%","±1.1","60,431","±2,248","92.1%","±1.7","70,371","±2,741","88.5%","±2.9","51,512","±2,056","88.2%","±2.7","20,626","±1,328","81.9%","±4.6","30,594","±2,029","71.8%","±4.6","61,871","±2,251","84.6%","±2.3","35,260","±1,162","93.1%","±2.3","50,170","±2,322","88.8%","±3.7","56,024","±3,092","82.0%","±2.6","28,111","±1,523","85.7%","±4.1","19,719","±1,563","77.8%","±5.3","19,268","±1,641","78.9%","±5.9","22,109","±1,543","82.6%","±4.2","28,641","±1,720","85.9%","±4.7","29,288","±1,811","84.8%","±3.2","106,364,661","±221,795","86.6%","±0.1"
"            Dial-up with no other type of Internet subscription","0","±234","0.0%","±0.8","43","±74","0.1%","±0.2","0","±234","0.0%","±0.4","0","±234","0.0%","±0.8","92","±152","0.2%","±0.4","131","±166","0.5%","±0.7","499","±563","0.5%","±0.5","0","±234","0.0%","±0.2","74","±120","0.1%","±0.2","28","±49","0.0%","±0.1","350","±269","0.1%","±0.1","41","±73","0.1%","±0.2","468","±457","0.9%","±0.9","212","±205","0.1%","±0.1","67","±117","0.2%","±0.4","0","±234","0.0%","±0.5","0","±234","0.0%","±0.5","170","±180","0.5%","±0.5","46","±79","0.1%","±0.1","543","±682","0.1%","±0.2","0","±234","0.0%","±0.7","229","±241","0.1%","±0.1","52","±88","0.1%","±0.1","81","±138","0.1%","±0.2","137","±169","0.2%","±0.3","45","±79","0.2%","±0.3","70","±92","0.2%","±0.2","171","±210","0.2%","±0.3","72","±130","0.2%","±0.3","0","±234","0.0%","±0.4","0","±234","0.0%","±0.3","0","±234","0.0%","±0.7","0","±234","0.0%","±0.9","71","±118","0.3%","±0.5","68","±117","0.3%","±0.4","56","±93","0.2%","±0.3","171","±218","0.5%","±0.6","265,331","±7,387","0.2%","±0.1"
"            Broadband of any type","25,196","±1,053","90.7%","±2.7","31,810","±1,590","80.0%","±3.7","46,527","±2,421","82.0%","±2.9","23,590","±1,744","82.3%","±4.3","37,078","±1,679","86.6%","±3.1","21,281","±1,498","88.2%","±3.4","92,698","±2,894","85.8%","±2.2","84,680","±2,418","90.6%","±2.3","44,701","±2,223","85.8%","±3.8","83,811","±2,344","86.4%","±2.3","272,399","±4,084","94.9%","±0.9","41,447","±2,536","88.4%","±3.1","46,722","±1,876","87.1%","±2.7","255,990","±4,741","88.3%","±1.0","23,727","±1,747","72.7%","±4.4","41,622","±2,581","85.1%","±4.2","38,822","±1,158","94.1%","±1.6","29,483","±1,639","83.2%","±3.2","77,974","±2,026","95.4%","±1.4","397,979","±5,396","90.5%","±0.8","26,895","±2,183","77.7%","±4.9","269,010","±4,329","89.2%","±1.1","60,379","±2,262","92.0%","±1.7","70,290","±2,739","88.4%","±2.9","51,375","±2,039","87.9%","±2.7","20,581","±1,326","81.7%","±4.6","30,524","±2,027","71.6%","±4.6","61,700","±2,252","84.4%","±2.2","35,188","±1,152","92.9%","±2.4","50,170","±2,322","88.8%","±3.7","56,024","±3,092","82.0%","±2.6","28,111","±1,523","85.7%","±4.1","19,719","±1,563","77.8%","±5.3","19,197","±1,637","78.6%","±5.9","22,041","±1,542","82.4%","±4.2","28,585","±1,724","85.7%","±4.7","29,117","±1,769","84.4%","±3.1","106,099,330","±220,420","86.4%","±0.1"
"                Cellular data plan","24,323","±1,051","87.6%","±2.8","28,768","±1,700","72.4%","±4.2","37,759","±2,370","66.6%","±3.6","21,885","±1,778","76.4%","±4.9","33,785","±2,075","78.9%","±3.9","17,791","±1,745","73.7%","±5.7","85,724","±3,003","79.4%","±2.5","80,591","±2,690","86.2%","±2.7","43,181","±2,278","82.8%","±4.0","76,770","±2,933","79.1%","±2.9","255,874","±4,731","89.2%","±1.2","38,660","±2,507","82.4%","±3.2","42,598","±1,884","79.4%","±3.1","235,734","±4,752","81.3%","±1.1","21,658","±1,861","66.4%","±4.7","36,227","±2,851","74.1%","±4.8","35,372","±1,455","85.7%","±2.9","25,574","±1,870","72.2%","±4.4","74,900","±2,025","91.6%","±1.6","376,717","±5,439","85.7%","±1.0","24,695","±2,240","71.3%","±5.1","260,557","±4,378","86.4%","±1.2","58,089","±2,291","88.5%","±1.9","63,827","±2,996","80.2%","±3.2","46,206","±2,476","79.1%","±3.7","18,972","±1,355","75.3%","±4.9","22,401","±2,275","52.5%","±5.2","53,694","±2,393","73.4%","±2.8","32,566","±1,472","86.0%","±3.6","46,585","±2,604","82.5%","±4.3","51,773","±3,014","75.7%","±3.0","26,587","±1,588","81.1%","±4.2","17,430","±1,420","68.8%","±5.1","15,984","±1,655","65.4%","±6.0","19,257","±1,447","72.0%","±4.1","26,696","±1,824","80.0%","±5.0","22,806","±1,934","66.1%","±4.8","95,774,824","±252,212","78.0%","±0.1"
"                    Cellular data plan with no other type of Internet subscription","2,432","±799","8.8%","±2.8","6,871","±1,510","17.3%","±3.8","7,147","±1,346","12.6%","±2.3","3,647","±1,117","12.7%","±3.9","8,158","±1,696","19.1%","±3.9","4,609","±1,244","19.1%","±4.8","12,103","±2,487","11.2%","±2.3","7,475","±1,603","8.0%","±1.7","6,296","±1,703","12.1%","±3.3","15,888","±2,145","16.4%","±2.3","18,172","±2,175","6.3%","±0.8","3,657","±1,131","7.8%","±2.3","5,364","±1,674","10.0%","±3.1","27,411","±3,558","9.5%","±1.2","5,566","±1,581","17.1%","±4.7","8,539","±2,074","17.5%","±4.0","1,042","±449","2.5%","±1.1","4,241","±1,040","12.0%","±2.9","5,175","±973","6.3%","±1.2","43,220","±4,727","9.8%","±1.1","2,833","±809","8.2%","±2.3","22,833","±2,768","7.6%","±0.9","8,717","±1,875","13.3%","±2.8","9,541","±2,200","12.0%","±2.7","7,225","±1,876","12.4%","±3.1","3,262","±1,085","13.0%","±4.3","4,437","±1,163","10.4%","±2.7","8,778","±1,708","12.0%","±2.3","5,063","±1,319","13.4%","±3.5","5,743","±2,028","10.2%","±3.6","7,805","±1,442","11.4%","±2.1","4,357","±1,266","13.3%","±3.9","2,369","±811","9.3%","±3.2","3,058","±923","12.5%","±3.8","4,071","±1,072","15.2%","±4.0","3,013","±983","9.0%","±2.9","7,473","±1,529","21.6%","±4.4","14,539,689","±68,448","11.8%","±0.1"
"                Broadband such as cable, fiber optic or DSL","21,868","±1,323","78.8%","±4.4","22,478","±1,786","56.6%","±4.4","37,946","±2,330","66.9%","±3.1","18,787","±1,844","65.6%","±5.4","27,253","±2,242","63.7%","±4.9","16,095","±1,490","66.7%","±5.6","77,845","±3,512","72.1%","±3.1","73,499","±3,068","78.7%","±3.0","37,057","±2,667","71.1%","±4.7","64,282","±2,733","66.2%","±2.6","247,852","±4,548","86.4%","±1.2","36,602","±2,395","78.1%","±3.6","39,810","±2,424","74.2%","±4.0","214,647","±5,216","74.1%","±1.5","16,785","±1,889","51.4%","±5.5","31,891","±2,601","65.2%","±5.2","36,914","±1,282","89.5%","±2.3","24,362","±1,611","68.7%","±3.8","71,545","±2,078","87.5%","±1.7","347,774","±6,429","79.1%","±1.3","23,006","±2,078","66.5%","±5.0","239,831","±5,194","79.6%","±1.5","49,482","±2,665","75.4%","±3.2","57,975","±3,128","72.9%","±3.8","42,543","±2,464","72.8%","±4.0","15,732","±1,397","62.5%","±5.2","24,710","±2,005","58.0%","±4.5","50,267","±2,594","68.7%","±3.1","29,735","±1,614","78.5%","±4.0","42,720","±2,317","75.6%","±3.8","45,574","±2,736","66.7%","±2.5","22,763","±1,872","69.4%","±5.3","16,379","±1,712","64.6%","±5.8","14,267","±1,578","58.4%","±5.7","17,602","±1,736","65.8%","±5.4","24,934","±1,769","74.8%","±5.0","21,169","±1,984","61.3%","±4.6","86,904,191","±204,585","70.8%","±0.1"
"                Satellite Internet service","3,357","±1,025","12.1%","±3.6","3,755","±1,197","9.4%","±3.0","3,809","±835","6.7%","±1.4","1,642","±636","5.7%","±2.2","2,961","±970","6.9%","±2.3","1,208","±600","5.0%","±2.5","4,386","±1,120","4.1%","±1.0","6,679","±1,945","7.1%","±2.1","3,369","±1,045","6.5%","±2.0","6,626","±1,642","6.8%","±1.7","14,448","±2,219","5.0%","±0.8","2,979","±949","6.4%","±2.0","4,054","±1,007","7.6%","±1.9","21,800","±2,692","7.5%","±0.9","2,934","±876","9.0%","±2.8","3,072","±1,061","6.3%","±2.1","3,655","±963","8.9%","±2.4","3,765","±1,190","10.6%","±3.3","7,135","±1,131","8.7%","±1.4","20,676","±2,731","4.7%","±0.6","2,347","±1,026","6.8%","±3.0","27,329","±3,583","9.1%","±1.2","4,789","±1,138","7.3%","±1.8","6,024","±1,447","7.6%","±1.8","4,153","±1,218","7.1%","±2.1","2,151","±706","8.5%","±2.8","2,540","±803","6.0%","±1.9","4,607","±1,216","6.3%","±1.6","1,990","±782","5.3%","±2.1","5,127","±1,299","9.1%","±2.3","3,950","±1,160","5.8%","±1.7","1,760","±665","5.4%","±2.0","2,005","±790","7.9%","±3.1","2,290","±749","9.4%","±3.1","1,006","±472","3.8%","±1.8","2,495","±653","7.5%","±2.0","1,537","±810","4.5%","±2.3","8,021,594","±64,513","6.5%","±0.1"
"        Without an Internet subscription","2,569","±747","9.3%","±2.7","7,889","±1,536","19.9%","±3.7","10,199","±1,618","18.0%","±2.9","5,070","±1,246","17.7%","±4.3","5,628","±1,320","13.2%","±3.0","2,718","±812","11.3%","±3.3","14,790","±2,335","13.7%","±2.1","8,761","±2,114","9.4%","±2.3","7,349","±2,006","14.1%","±3.8","13,191","±2,287","13.6%","±2.3","14,203","±2,579","4.9%","±0.9","5,402","±1,527","11.5%","±3.1","6,450","±1,435","12.0%","±2.6","33,627","±2,780","11.6%","±1.0","8,836","±1,474","27.1%","±4.4","7,277","±2,035","14.9%","±4.2","2,431","±681","5.9%","±1.6","5,790","±1,143","16.3%","±3.2","3,745","±1,160","4.6%","±1.4","41,056","±3,430","9.3%","±0.8","7,719","±1,769","22.3%","±4.9","32,232","±3,399","10.7%","±1.1","5,194","±1,133","7.9%","±1.7","9,179","±2,323","11.5%","±2.9","6,905","±1,651","11.8%","±2.7","4,554","±1,163","18.1%","±4.6","12,045","±2,075","28.2%","±4.6","11,263","±1,687","15.4%","±2.3","2,607","±906","6.9%","±2.3","6,306","±2,136","11.2%","±3.7","12,337","±1,890","18.0%","±2.6","4,681","±1,333","14.3%","±4.1","5,620","±1,343","22.2%","±5.3","5,168","±1,470","21.1%","±5.9","4,651","±1,126","17.4%","±4.2","4,709","±1,572","14.1%","±4.7","5,230","±1,093","15.2%","±3.2","16,438,191","±110,201","13.4%","±0.1"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000:","3,237","±897","(X)","(X)","7,485","±1,528","(X)","(X)","13,142","±1,747","(X)","(X)","4,750","±1,179","(X)","(X)","6,049","±1,443","(X)","(X)","3,288","±1,104","(X)","(X)","18,136","±2,304","(X)","(X)","8,261","±2,169","(X)","(X)","13,575","±2,293","(X)","(X)","15,691","±2,748","(X)","(X)","22,465","±2,936","(X)","(X)","2,705","±994","(X)","(X)","6,459","±1,476","(X)","(X)","37,880","±3,425","(X)","(X)","11,137","±1,566","(X)","(X)","5,491","±1,438","(X)","(X)","2,027","±625","(X)","(X)","6,093","±1,358","(X)","(X)","4,462","±1,092","(X)","(X)","59,141","±5,142","(X)","(X)","5,008","±1,323","(X)","(X)","25,927","±3,218","(X)","(X)","7,608","±1,584","(X)","(X)","5,987","±1,634","(X)","(X)","8,194","±1,854","(X)","(X)","4,378","±1,097","(X)","(X)","7,949","±1,861","(X)","(X)","15,079","±1,714","(X)","(X)","5,624","±1,384","(X)","(X)","4,889","±1,505","(X)","(X)","14,261","±2,132","(X)","(X)","3,433","±1,202","(X)","(X)","4,080","±940","(X)","(X)","5,576","±1,347","(X)","(X)","5,640","±1,368","(X)","(X)","3,680","±1,077","(X)","(X)","5,454","±1,220","(X)","(X)","16,898,169","±63,060","(X)","(X)"
"            With dial-up Internet subscription alone","0","±234","0.0%","±6.8","0","±234","0.0%","±3.0","0","±234","0.0%","±1.7","0","±234","0.0%","±4.7","0","±234","0.0%","±3.7","0","±234","0.0%","±6.7","0","±234","0.0%","±1.2","0","±234","0.0%","±2.7","0","±234","0.0%","±1.7","28","±49","0.2%","±0.3","43","±72","0.2%","±0.3","0","±234","0.0%","±8.1","212","±323","3.3%","±5.0","0","±234","0.0%","±0.6","0","±234","0.0%","±2.0","0","±234","0.0%","±4.1","0","±234","0.0%","±10.6","0","±234","0.0%","±3.7","0","±234","0.0%","±5.0","338","±620","0.6%","±1.0","0","±234","0.0%","±4.4","0","±234","0.0%","±0.9","0","±234","0.0%","±2.9","81","±138","1.4%","±2.3","85","±144","1.0%","±1.8","0","±234","0.0%","±5.1","0","±234","0.0%","±2.8","57","±96","0.4%","±0.6","0","±234","0.0%","±4.0","0","±234","0.0%","±4.5","0","±234","0.0%","±1.6","0","±234","0.0%","±6.4","0","±234","0.0%","±5.4","0","±234","0.0%","±4.0","0","±234","0.0%","±3.9","0","±234","0.0%","±6.0","0","±234","0.0%","±4.1","50,057","±3,226","0.3%","±0.1"
"            With a broadband Internet subscription","2,126","±676","65.7%","±13.3","4,605","±1,368","61.5%","±12.5","8,364","±1,280","63.6%","±6.9","3,414","±988","71.9%","±12.4","3,995","±1,345","66.0%","±14.2","1,959","±892","59.6%","±17.7","12,174","±1,925","67.1%","±5.6","5,487","±1,595","66.4%","±13.0","9,385","±1,956","69.1%","±11.1","12,458","±2,501","79.4%","±6.1","19,276","±2,832","85.8%","±5.9","1,875","±739","69.3%","±17.5","4,002","±1,051","62.0%","±12.0","24,212","±2,989","63.9%","±5.2","5,428","±1,275","48.7%","±9.6","3,599","±1,157","65.5%","±13.9","1,712","±630","84.5%","±10.1","3,243","±1,186","53.2%","±12.0","3,100","±853","69.5%","±13.6","40,120","±4,654","67.8%","±4.7","2,357","±752","47.1%","±13.1","17,567","±2,471","67.8%","±7.3","5,752","±1,397","75.6%","±9.2","4,383","±1,467","73.2%","±12.9","3,792","±1,136","46.3%","±10.4","2,116","±828","48.3%","±16.1","3,996","±1,332","50.3%","±12.0","10,632","±1,643","70.5%","±6.8","4,569","±1,171","81.2%","±8.7","3,091","±1,250","63.2%","±15.4","9,137","±1,851","64.1%","±6.9","2,138","±985","62.3%","±17.8","2,702","±931","66.2%","±12.8","2,153","±811","38.6%","±13.3","3,012","±1,123","53.4%","±14.0","1,559","±716","42.4%","±20.1","3,394","±912","62.2%","±11.7","10,840,598","±55,426","64.2%","±0.2"
"            Without an Internet subscription","1,111","±552","34.3%","±13.3","2,880","±1,073","38.5%","±12.5","4,778","±1,210","36.4%","±6.9","1,336","±710","28.1%","±12.4","2,054","±933","34.0%","±14.2","1,329","±699","40.4%","±17.7","5,962","±1,213","32.9%","±5.6","2,774","±1,417","33.6%","±13.0","4,190","±1,762","30.9%","±11.1","3,205","±1,054","20.4%","±6.1","3,146","±1,382","14.0%","±5.9","830","±614","30.7%","±17.5","2,245","±1,090","34.8%","±13.0","13,668","±2,278","36.1%","±5.2","5,709","±1,364","51.3%","±9.6","1,892","±940","34.5%","±13.9","315","±189","15.5%","±10.1","2,850","±810","46.8%","±12.0","1,362","±754","30.5%","±13.6","18,683","±2,840","31.6%","±4.3","2,651","±1,083","52.9%","±13.1","8,360","±2,376","32.2%","±7.3","1,856","±799","24.4%","±9.2","1,523","±827","25.4%","±12.7","4,317","±1,398","52.7%","±10.7","2,262","±943","51.7%","±16.1","3,953","±1,336","49.7%","±12.0","4,390","±1,104","29.1%","±6.7","1,055","±580","18.8%","±8.7","1,798","±897","36.8%","±15.4","5,124","±1,110","35.9%","±6.9","1,295","±726","37.7%","±17.8","1,378","±517","33.8%","±12.8","3,423","±1,223","61.4%","±13.3","2,628","±961","46.6%","±14.0","2,121","±1,076","57.6%","±20.1","2,060","±838","37.8%","±11.7","6,007,514","±48,221","35.6%","±0.2"
