"Label","DeSoto County, Mississippi!!Total!!Estimate","DeSoto County, Mississippi!!Total!!Margin of Error","DeSoto County, Mississippi!!Percent!!Estimate","DeSoto County, Mississippi!!Percent!!Margin of Error","Forrest County, Mississippi!!Total!!Estimate","Forrest County, Mississippi!!Total!!Margin of Error","Forrest County, Mississippi!!Percent!!Estimate","Forrest County, Mississippi!!Percent!!Margin of Error","Harrison County, Mississippi!!Total!!Estimate","Harrison County, Mississippi!!Total!!Margin of Error","Harrison County, Mississippi!!Percent!!Estimate","Harrison County, Mississippi!!Percent!!Margin of Error","Hinds County, Mississippi!!Total!!Estimate","Hinds County, Mississippi!!Total!!Margin of Error","Hinds County, Mississippi!!Percent!!Estimate","Hinds County, Mississippi!!Percent!!Margin of Error","Jackson County, Mississippi!!Total!!Estimate","Jackson County, Mississippi!!Total!!Margin of Error","Jackson County, Mississippi!!Percent!!Estimate","Jackson County, Mississippi!!Percent!!Margin of Error","Jones County, Mississippi!!Total!!Estimate","Jones County, Mississippi!!Total!!Margin of Error","Jones County, Mississippi!!Percent!!Estimate","Jones County, Mississippi!!Percent!!Margin of Error","Lauderdale County, Mississippi!!Total!!Estimate","Lauderdale County, Mississippi!!Total!!Margin of Error","Lauderdale County, Mississippi!!Percent!!Estimate","Lauderdale County, Mississippi!!Percent!!Margin of Error","Lee County, Mississippi!!Total!!Estimate","Lee County, Mississippi!!Total!!Margin of Error","Lee County, Mississippi!!Percent!!Estimate","Lee County, Mississippi!!Percent!!Margin of Error","Madison County, Mississippi!!Total!!Estimate","Madison County, Mississippi!!Total!!Margin of Error","Madison County, Mississippi!!Percent!!Estimate","Madison County, Mississippi!!Percent!!Margin of Error","Rankin County, Mississippi!!Total!!Estimate","Rankin County, Mississippi!!Total!!Margin of Error","Rankin County, Mississippi!!Percent!!Estimate","Rankin County, Mississippi!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"        No computer","3,518","±1,036","5.4%","±1.6","2,883","±976","10.5%","±3.5","6,050","±1,480","8.1%","±2.0","9,680","±1,543","10.9%","±1.7","5,618","±1,542","10.0%","±2.7","3,149","±805","13.0%","±3.2","2,658","±811","9.1%","±2.7","3,600","±971","11.9%","±3.1","2,216","±751","5.5%","±1.8","3,618","±1,010","6.3%","±1.8","8,740,203","±55,179","7.1%","±0.1"
"    TYPE OF INTERNET SUBSCRIPTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With an Internet subscription:","58,371","±2,315","89.5%","±2.4","22,052","±1,444","80.7%","±4.3","60,635","±3,363","81.2%","±2.9","76,314","±2,841","86.3%","±2.0","48,135","±2,149","85.5%","±2.8","14,388","±1,749","59.5%","±6.6","23,128","±1,765","78.8%","±4.7","23,499","±1,563","77.4%","±3.8","36,332","±1,583","90.7%","±2.4","50,974","±1,993","89.4%","±2.2","106,364,661","±221,795","86.6%","±0.1"
"            Dial-up with no other type of Internet subscription","113","±138","0.2%","±0.2","0","±226","0.0%","±0.8","115","±143","0.2%","±0.2","0","±226","0.0%","±0.2","111","±186","0.2%","±0.3","16","±33","0.1%","±0.1","231","±233","0.8%","±0.8","0","±226","0.0%","±0.7","0","±226","0.0%","±0.5","0","±226","0.0%","±0.4","265,331","±7,387","0.2%","±0.1"
"            Broadband of any type","58,258","±2,327","89.3%","±2.4","22,052","±1,444","80.7%","±4.3","60,520","±3,388","81.1%","±2.9","76,314","±2,841","86.3%","±2.0","48,024","±2,151","85.3%","±2.8","14,372","±1,744","59.4%","±6.6","22,897","±1,718","78.0%","±4.6","23,499","±1,563","77.4%","±3.8","36,332","±1,583","90.7%","±2.4","50,974","±1,993","89.4%","±2.2","106,099,330","±220,420","86.4%","±0.1"
"                Cellular data plan","55,141","±2,393","84.5%","±2.5","18,745","±1,503","68.6%","±4.8","57,308","±3,442","76.8%","±3.1","73,811","±2,961","83.4%","±2.2","45,254","±2,057","80.3%","±2.8","9,860","±1,473","40.8%","±6.2","19,595","±1,946","66.7%","±5.4","21,734","±1,705","71.5%","±4.4","34,884","±1,680","87.1%","±2.9","47,586","±2,086","83.5%","±2.7","95,774,824","±252,212","78.0%","±0.1"
"                    Cellular data plan with no other type of Internet subscription","9,359","±1,693","14.3%","±2.6","5,769","±1,315","21.1%","±4.8","10,383","±1,831","13.9%","±2.5","21,945","±2,615","24.8%","±2.8","9,379","±1,850","16.7%","±3.2","3,712","±1,081","15.4%","±4.4","4,903","±1,255","16.7%","±4.1","6,080","±1,197","20.0%","±3.8","5,789","±1,372","14.5%","±3.4","9,946","±2,151","17.4%","±3.7","14,539,689","±68,448","11.8%","±0.1"
"                Broadband such as cable, fiber optic or DSL","44,580","±2,429","68.4%","±3.3","14,068","±1,696","51.5%","±5.5","47,311","±3,818","63.4%","±3.8","51,719","±2,902","58.5%","±3.0","36,407","±2,226","64.6%","±3.6","8,441","±1,480","34.9%","±6.1","16,287","±1,552","55.5%","±4.8","15,372","±1,557","50.6%","±4.7","29,905","±1,920","74.7%","±4.2","39,416","±2,399","69.1%","±4.0","86,904,191","±204,585","70.8%","±0.1"
"                Satellite Internet service","7,078","±1,438","10.9%","±2.2","2,554","±1,093","9.3%","±4.0","5,161","±1,202","6.9%","±1.6","4,924","±1,096","5.6%","±1.2","4,838","±1,342","8.6%","±2.4","2,552","±1,018","10.6%","±4.1","2,312","±831","7.9%","±2.8","5,391","±1,045","17.7%","±3.3","2,183","±903","5.5%","±2.2","3,530","±1,078","6.2%","±1.8","8,021,594","±64,513","6.5%","±0.1"
"        Without an Internet subscription","6,849","±1,556","10.5%","±2.4","5,288","±1,254","19.3%","±4.3","13,993","±2,233","18.8%","±2.9","12,157","±1,774","13.7%","±2.0","8,188","±1,602","14.5%","±2.8","9,790","±1,701","40.5%","±6.6","6,239","±1,441","21.2%","±4.7","6,879","±1,189","22.6%","±3.8","3,714","±957","9.3%","±2.4","6,037","±1,242","10.6%","±2.2","16,438,191","±110,201","13.4%","±0.1"
