"Label","Anderson County, Tennessee!!Total!!Estimate","Anderson County, Tennessee!!Total!!Margin of Error","Anderson County, Tennessee!!Percent!!Estimate","Anderson County, Tennessee!!Percent!!Margin of Error","Blount County, Tennessee!!Total!!Estimate","Blount County, Tennessee!!Total!!Margin of Error","Blount County, Tennessee!!Percent!!Estimate","Blount County, Tennessee!!Percent!!Margin of Error","Bradley County, Tennessee!!Total!!Estimate","Bradley County, Tennessee!!Total!!Margin of Error","Bradley County, Tennessee!!Percent!!Estimate","Bradley County, Tennessee!!Percent!!Margin of Error","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Total!!Margin of Error","Davidson County, Tennessee!!Percent!!Estimate","Davidson County, Tennessee!!Percent!!Margin of Error","Greene County, Tennessee!!Total!!Estimate","Greene County, Tennessee!!Total!!Margin of Error","Greene County, Tennessee!!Percent!!Estimate","Greene County, Tennessee!!Percent!!Margin of Error","Hamilton County, Tennessee!!Total!!Estimate","Hamilton County, Tennessee!!Total!!Margin of Error","Hamilton County, Tennessee!!Percent!!Estimate","Hamilton County, Tennessee!!Percent!!Margin of Error","Knox County, Tennessee!!Total!!Estimate","Knox County, Tennessee!!Total!!Margin of Error","Knox County, Tennessee!!Percent!!Estimate","Knox County, Tennessee!!Percent!!Margin of Error","Madison County, Tennessee!!Total!!Estimate","Madison County, Tennessee!!Total!!Margin of Error","Madison County, Tennessee!!Percent!!Estimate","Madison County, Tennessee!!Percent!!Margin of Error","Maury County, Tennessee!!Total!!Estimate","Maury County, Tennessee!!Total!!Margin of Error","Maury County, Tennessee!!Percent!!Estimate","Maury County, Tennessee!!Percent!!Margin of Error","Montgomery County, Tennessee!!Total!!Estimate","Montgomery County, Tennessee!!Total!!Margin of Error","Montgomery County, Tennessee!!Percent!!Estimate","Montgomery County, Tennessee!!Percent!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!Percent!!Estimate","Putnam County, Tennessee!!Percent!!Margin of Error","Robertson County, Tennessee!!Total!!Estimate","Robertson County, Tennessee!!Total!!Margin of Error","Robertson County, Tennessee!!Percent!!Estimate","Robertson County, Tennessee!!Percent!!Margin of Error","Rutherford County, Tennessee!!Total!!Estimate","Rutherford County, Tennessee!!Total!!Margin of Error","Rutherford County, Tennessee!!Percent!!Estimate","Rutherford County, Tennessee!!Percent!!Margin of Error","Sevier County, Tennessee!!Total!!Estimate","Sevier County, Tennessee!!Total!!Margin of Error","Sevier County, Tennessee!!Percent!!Estimate","Sevier County, Tennessee!!Percent!!Margin of Error","Shelby County, Tennessee!!Total!!Estimate","Shelby County, Tennessee!!Total!!Margin of Error","Shelby County, Tennessee!!Percent!!Estimate","Shelby County, Tennessee!!Percent!!Margin of Error","Sullivan County, Tennessee!!Total!!Estimate","Sullivan County, Tennessee!!Total!!Margin of Error","Sullivan County, Tennessee!!Percent!!Estimate","Sullivan County, Tennessee!!Percent!!Margin of Error","Sumner County, Tennessee!!Total!!Estimate","Sumner County, Tennessee!!Total!!Margin of Error","Sumner County, Tennessee!!Percent!!Estimate","Sumner County, Tennessee!!Percent!!Margin of Error","Washington County, Tennessee!!Total!!Estimate","Washington County, Tennessee!!Total!!Margin of Error","Washington County, Tennessee!!Percent!!Estimate","Washington County, Tennessee!!Percent!!Margin of Error","Williamson County, Tennessee!!Total!!Estimate","Williamson County, Tennessee!!Total!!Margin of Error","Williamson County, Tennessee!!Percent!!Estimate","Williamson County, Tennessee!!Percent!!Margin of Error","Wilson County, Tennessee!!Total!!Estimate","Wilson County, Tennessee!!Total!!Margin of Error","Wilson County, Tennessee!!Percent!!Estimate","Wilson County, Tennessee!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"                Other computer with no other type of computing device","40","±65","0.1%","±0.2","0","±216","0.0%","±0.4","0","±216","0.0%","±0.5","60","±99","0.0%","±0.1","0","±216","0.0%","±0.7","177","±288","0.1%","±0.2","150","±175","0.1%","±0.1","0","±216","0.0%","±0.5","0","±216","0.0%","±0.5","0","±216","0.0%","±0.2","0","±216","0.0%","±0.6","0","±216","0.0%","±0.7","0","±216","0.0%","±0.2","0","±216","0.0%","±0.5","61","±101","0.0%","±0.1","32","±60","0.0%","±0.1","0","±216","0.0%","±0.3","0","±216","0.0%","±0.3","75","±127","0.1%","±0.2","0","±216","0.0%","±0.4","25,911","±2,308","0.0%","±0.1"
"        No computer","2,528","±895","8.4%","±2.9","4,951","±1,124","9.7%","±2.2","3,736","±1,196","9.3%","±2.9","13,182","±1,645","4.6%","±0.6","3,981","±818","14.1%","±2.9","12,550","±1,835","8.5%","±1.2","11,355","±1,595","5.9%","±0.8","4,291","±878","11.0%","±2.2","1,918","±785","5.2%","±2.1","2,833","±976","3.7%","±1.3","4,095","±915","12.9%","±2.8","1,596","±616","6.0%","±2.3","4,487","±1,232","3.9%","±1.1","3,800","±1,242","10.0%","±3.2","42,008","±3,769","11.9%","±1.1","7,252","±1,018","10.6%","±1.5","4,587","±1,120","6.5%","±1.6","5,777","±1,277","10.3%","±2.4","2,885","±844","3.4%","±1.0","2,654","±933","5.1%","±1.8","8,740,203","±55,179","7.1%","±0.1"
"    TYPE OF INTERNET SUBSCRIPTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With an Internet subscription:","26,548","±1,624","88.0%","±3.5","41,890","±1,874","82.4%","±2.7","33,079","±1,737","82.7%","±3.2","260,816","±5,216","90.1%","±1.0","21,029","±1,605","74.2%","±4.6","129,588","±3,294","87.5%","±1.5","161,869","±4,028","84.3%","±1.3","32,959","±1,449","84.7%","±2.5","31,771","±1,771","85.6%","±4.0","68,767","±2,297","89.3%","±2.1","26,121","±1,441","82.2%","±3.7","23,514","±1,140","88.5%","±3.3","106,461","±3,285","93.6%","±1.3","28,995","±2,607","76.4%","±4.7","279,688","±6,060","79.0%","±1.4","58,324","±2,162","85.1%","±2.1","63,204","±2,064","90.2%","±1.8","47,500","±2,582","85.1%","±3.1","80,223","±1,632","95.1%","±1.2","43,531","±2,190","84.3%","±3.1","106,364,661","±221,795","86.6%","±0.1"
"            Dial-up with no other type of Internet subscription","171","±214","0.6%","±0.7","103","±132","0.2%","±0.3","95","±122","0.2%","±0.3","682","±328","0.2%","±0.1","0","±216","0.0%","±0.7","42","±71","0.0%","±0.1","177","±169","0.1%","±0.1","148","±143","0.4%","±0.4","0","±216","0.0%","±0.5","117","±146","0.2%","±0.2","0","±216","0.0%","±0.6","0","±216","0.0%","±0.7","79","±134","0.1%","±0.1","151","±149","0.4%","±0.4","71","±87","0.0%","±0.1","148","±189","0.2%","±0.3","25","±40","0.0%","±0.1","76","±133","0.1%","±0.2","164","±199","0.2%","±0.2","248","±274","0.5%","±0.5","265,331","±7,387","0.2%","±0.1"
"            Broadband of any type","26,377","±1,624","87.4%","±3.5","41,787","±1,877","82.2%","±2.7","32,984","±1,727","82.5%","±3.2","260,134","±5,247","89.9%","±1.0","21,029","±1,605","74.2%","±4.6","129,546","±3,298","87.4%","±1.5","161,692","±4,020","84.2%","±1.2","32,811","±1,478","84.3%","±2.6","31,771","±1,771","85.6%","±4.0","68,650","±2,281","89.2%","±2.1","26,121","±1,441","82.2%","±3.7","23,514","±1,140","88.5%","±3.3","106,382","±3,295","93.5%","±1.3","28,844","±2,618","76.0%","±4.6","279,617","±6,064","79.0%","±1.4","58,176","±2,132","84.9%","±2.1","63,179","±2,058","90.1%","±1.8","47,424","±2,570","85.0%","±3.1","80,059","±1,587","94.9%","±1.2","43,283","±2,188","83.9%","±3.1","106,099,330","±220,420","86.4%","±0.1"
"                Cellular data plan","23,458","±1,809","77.7%","±4.4","37,100","±1,898","73.0%","±2.8","30,084","±1,970","75.2%","±3.8","244,600","±5,364","84.5%","±1.2","18,145","±1,479","64.1%","±4.7","118,893","±3,404","80.2%","±1.7","118,984","±4,046","62.0%","±1.7","30,106","±1,608","77.3%","±3.4","29,767","±1,723","80.2%","±3.8","64,594","±2,434","83.9%","±2.1","20,158","±1,766","63.4%","±5.6","22,715","±1,182","85.5%","±3.5","102,074","±3,340","89.7%","±1.6","25,131","±2,424","66.3%","±4.9","260,563","±6,197","73.6%","±1.5","51,372","±2,017","74.9%","±2.3","57,341","±2,227","81.8%","±2.3","42,928","±2,723","76.9%","±3.5","75,476","±1,777","89.4%","±1.7","40,758","±1,988","79.0%","±3.0","95,774,824","±252,212","78.0%","±0.1"
"                    Cellular data plan with no other type of Internet subscription","3,658","±883","12.1%","±2.9","7,206","±1,449","14.2%","±2.7","5,574","±1,228","13.9%","±3.1","29,721","±2,948","10.3%","±1.0","4,918","±1,053","17.4%","±3.6","16,253","±2,463","11.0%","±1.7","20,785","±2,343","10.8%","±1.2","5,739","±1,372","14.7%","±3.6","5,717","±1,322","15.4%","±3.6","5,406","±1,302","7.0%","±1.7","1,254","±570","3.9%","±1.8","4,917","±1,207","18.5%","±4.4","14,688","±2,631","12.9%","±2.3","4,410","±926","11.6%","±2.4","43,966","±3,740","12.4%","±1.0","8,238","±1,330","12.0%","±1.9","8,343","±1,604","11.9%","±2.2","6,609","±1,565","11.8%","±2.8","5,003","±1,078","5.9%","±1.3","4,973","±1,198","9.6%","±2.2","14,539,689","±68,448","11.8%","±0.1"
"                Broadband such as cable, fiber optic or DSL","20,095","±1,752","66.6%","±4.9","33,186","±1,850","65.3%","±3.3","25,581","±1,734","64.0%","±3.8","223,584","±5,499","77.3%","±1.4","15,365","±1,549","54.2%","±5.0","111,736","±3,871","75.4%","±2.2","136,319","±4,077","71.0%","±1.5","25,943","±2,082","66.6%","±4.5","24,322","±2,157","65.6%","±5.4","61,070","±2,470","79.3%","±2.6","23,557","±1,468","74.1%","±4.1","16,788","±1,456","63.2%","±5.1","87,855","±3,857","77.2%","±2.6","22,854","±2,275","60.2%","±4.3","222,038","±6,337","62.7%","±1.7","47,959","±2,563","70.0%","±3.1","52,485","±2,156","74.9%","±2.7","38,735","±2,763","69.4%","±4.1","73,002","±1,756","86.5%","±1.7","36,547","±2,231","70.8%","±3.8","86,904,191","±204,585","70.8%","±0.1"
"                Satellite Internet service","2,057","±651","6.8%","±2.2","3,722","±1,024","7.3%","±2.0","2,421","±880","6.1%","±2.1","13,163","±1,637","4.5%","±0.6","1,126","±468","4.0%","±1.6","3,022","±889","2.0%","±0.6","8,583","±1,441","4.5%","±0.7","1,435","±524","3.7%","±1.4","2,486","±731","6.7%","±1.9","4,932","±1,034","6.4%","±1.3","2,458","±849","7.7%","±2.7","2,579","±525","9.7%","±2.0","8,755","±1,707","7.7%","±1.5","1,886","±692","5.0%","±1.7","22,113","±2,375","6.2%","±0.7","2,579","±606","3.8%","±0.9","5,868","±1,125","8.4%","±1.6","2,583","±821","4.6%","±1.5","5,425","±1,095","6.4%","±1.3","3,094","±1,124","6.0%","±2.2","8,021,594","±64,513","6.5%","±0.1"
