"Label","Anderson County, Tennessee!!Total!!Estimate","Anderson County, Tennessee!!Total!!Margin of Error","Anderson County, Tennessee!!Percent!!Estimate","Anderson County, Tennessee!!Percent!!Margin of Error","Blount County, Tennessee!!Total!!Estimate","Blount County, Tennessee!!Total!!Margin of Error","Blount County, Tennessee!!Percent!!Estimate","Blount County, Tennessee!!Percent!!Margin of Error","Bradley County, Tennessee!!Total!!Estimate","Bradley County, Tennessee!!Total!!Margin of Error","Bradley County, Tennessee!!Percent!!Estimate","Bradley County, Tennessee!!Percent!!Margin of Error","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Total!!Margin of Error","Davidson County, Tennessee!!Percent!!Estimate","Davidson County, Tennessee!!Percent!!Margin of Error","Greene County, Tennessee!!Total!!Estimate","Greene County, Tennessee!!Total!!Margin of Error","Greene County, Tennessee!!Percent!!Estimate","Greene County, Tennessee!!Percent!!Margin of Error","Hamilton County, Tennessee!!Total!!Estimate","Hamilton County, Tennessee!!Total!!Margin of Error","Hamilton County, Tennessee!!Percent!!Estimate","Hamilton County, Tennessee!!Percent!!Margin of Error","Knox County, Tennessee!!Total!!Estimate","Knox County, Tennessee!!Total!!Margin of Error","Knox County, Tennessee!!Percent!!Estimate","Knox County, Tennessee!!Percent!!Margin of Error","Madison County, Tennessee!!Total!!Estimate","Madison County, Tennessee!!Total!!Margin of Error","Madison County, Tennessee!!Percent!!Estimate","Madison County, Tennessee!!Percent!!Margin of Error","Maury County, Tennessee!!Total!!Estimate","Maury County, Tennessee!!Total!!Margin of Error","Maury County, Tennessee!!Percent!!Estimate","Maury County, Tennessee!!Percent!!Margin of Error","Montgomery County, Tennessee!!Total!!Estimate","Montgomery County, Tennessee!!Total!!Margin of Error","Montgomery County, Tennessee!!Percent!!Estimate","Montgomery County, Tennessee!!Percent!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!Percent!!Estimate","Putnam County, Tennessee!!Percent!!Margin of Error","Robertson County, Tennessee!!Total!!Estimate","Robertson County, Tennessee!!Total!!Margin of Error","Robertson County, Tennessee!!Percent!!Estimate","Robertson County, Tennessee!!Percent!!Margin of Error","Rutherford County, Tennessee!!Total!!Estimate","Rutherford County, Tennessee!!Total!!Margin of Error","Rutherford County, Tennessee!!Percent!!Estimate","Rutherford County, Tennessee!!Percent!!Margin of Error","Sevier County, Tennessee!!Total!!Estimate","Sevier County, Tennessee!!Total!!Margin of Error","Sevier County, Tennessee!!Percent!!Estimate","Sevier County, Tennessee!!Percent!!Margin of Error","Shelby County, Tennessee!!Total!!Estimate","Shelby County, Tennessee!!Total!!Margin of Error","Shelby County, Tennessee!!Percent!!Estimate","Shelby County, Tennessee!!Percent!!Margin of Error","Sullivan County, Tennessee!!Total!!Estimate","Sullivan County, Tennessee!!Total!!Margin of Error","Sullivan County, Tennessee!!Percent!!Estimate","Sullivan County, Tennessee!!Percent!!Margin of Error","Sumner County, Tennessee!!Total!!Estimate","Sumner County, Tennessee!!Total!!Margin of Error","Sumner County, Tennessee!!Percent!!Estimate","Sumner County, Tennessee!!Percent!!Margin of Error","Washington County, Tennessee!!Total!!Estimate","Washington County, Tennessee!!Total!!Margin of Error","Washington County, Tennessee!!Percent!!Estimate","Washington County, Tennessee!!Percent!!Margin of Error","Williamson County, Tennessee!!Total!!Estimate","Williamson County, Tennessee!!Total!!Margin of Error","Williamson County, Tennessee!!Percent!!Estimate","Williamson County, Tennessee!!Percent!!Margin of Error","Wilson County, Tennessee!!Total!!Estimate","Wilson County, Tennessee!!Total!!Margin of Error","Wilson County, Tennessee!!Percent!!Estimate","Wilson County, Tennessee!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"        Without an Internet subscription","3,627","±1,075","12.0%","±3.5","8,923","±1,374","17.6%","±2.7","6,913","±1,311","17.3%","±3.2","28,611","±2,870","9.9%","±1.0","7,294","±1,388","25.8%","±4.6","18,569","±2,151","12.5%","±1.5","30,056","±2,339","15.7%","±1.3","5,971","±995","15.3%","±2.5","5,333","±1,484","14.4%","±4.0","8,207","±1,622","10.7%","±2.1","5,657","±1,206","17.8%","±3.7","3,063","±887","11.5%","±3.3","7,336","±1,455","6.4%","±1.3","8,938","±1,823","23.6%","±4.7","74,262","±4,902","21.0%","±1.4","10,236","±1,494","14.9%","±2.1","6,894","±1,248","9.8%","±1.8","8,317","±1,660","14.9%","±3.1","4,170","±1,041","4.9%","±1.2","8,087","±1,626","15.7%","±3.1","16,438,191","±110,201","13.4%","±0.1"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000:","5,993","±1,225","(X)","(X)","7,216","±1,432","(X)","(X)","7,827","±1,610","(X)","(X)","33,840","±2,574","(X)","(X)","6,070","±1,189","(X)","(X)","22,947","±2,548","(X)","(X)","29,612","±2,553","(X)","(X)","7,410","±1,310","(X)","(X)","3,701","±1,015","(X)","(X)","9,461","±1,480","(X)","(X)","6,171","±1,376","(X)","(X)","3,157","±782","(X)","(X)","9,740","±1,980","(X)","(X)","6,126","±1,323","(X)","(X)","66,481","±4,645","(X)","(X)","11,414","±1,632","(X)","(X)","6,117","±1,343","(X)","(X)","10,985","±1,860","(X)","(X)","5,020","±1,331","(X)","(X)","4,109","±1,128","(X)","(X)","16,898,169","±63,060","(X)","(X)"
"            With dial-up Internet subscription alone","0","±216","0.0%","±3.2","0","±216","0.0%","±2.6","0","±216","0.0%","±2.4","55","±91","0.2%","±0.3","0","±216","0.0%","±3.1","0","±216","0.0%","±0.8","0","±216","0.0%","±0.6","0","±216","0.0%","±2.6","0","±216","0.0%","±5.1","78","±133","0.8%","±1.4","0","±216","0.0%","±3.1","0","±216","0.0%","±5.9","0","±216","0.0%","±2.0","62","±107","1.0%","±1.8","0","±216","0.0%","±0.3","0","±216","0.0%","±1.7","0","±216","0.0%","±3.1","0","±216","0.0%","±1.7","75","±127","1.5%","±2.6","0","±216","0.0%","±4.6","50,057","±3,226","0.3%","±0.1"
"            With a broadband Internet subscription","4,220","±1,090","70.4%","±10.7","3,910","±1,026","54.2%","±9.8","4,017","±1,193","51.3%","±11.5","25,421","±2,393","75.1%","±4.3","3,050","±892","50.2%","±13.0","14,053","±2,077","61.2%","±6.1","17,905","±1,908","60.5%","±5.6","4,736","±1,127","63.9%","±9.0","2,568","±808","69.4%","±13.8","6,049","±1,450","63.9%","±11.0","3,351","±778","54.3%","±11.5","1,984","±598","62.8%","±14.0","7,507","±1,874","77.1%","±9.1","3,057","±851","49.9%","±11.2","35,783","±3,545","53.8%","±4.1","7,431","±1,198","65.1%","±6.6","4,264","±1,105","69.7%","±9.2","6,972","±1,352","63.5%","±8.8","3,770","±1,266","75.1%","±13.1","2,685","±969","65.3%","±15.1","10,840,598","±55,426","64.2%","±0.2"
"            Without an Internet subscription","1,773","±728","29.6%","±10.7","3,306","±984","45.8%","±9.8","3,810","±1,209","48.7%","±11.5","8,364","±1,612","24.7%","±4.3","3,020","±1,047","49.8%","±13.0","8,894","±1,725","38.8%","±6.1","11,707","±2,178","39.5%","±5.6","2,674","±775","36.1%","±9.0","1,133","±634","30.6%","±13.8","3,334","±1,138","35.2%","±10.9","2,820","±1,119","45.7%","±11.5","1,173","±558","37.2%","±14.0","2,233","±904","22.9%","±9.1","3,007","±1,066","49.1%","±11.5","30,698","±3,549","46.2%","±4.1","3,983","±1,020","34.9%","±6.6","1,853","±671","30.3%","±9.2","4,013","±1,285","36.5%","±8.8","1,175","±692","23.4%","±13.4","1,424","±708","34.7%","±15.1","6,007,514","±48,221","35.6%","±0.2"
"        $20,000 to $74,999:","14,708","±1,624","(X)","(X)","23,531","±1,971","(X)","(X)","17,706","±1,673","(X)","(X)","130,880","±4,706","(X)","(X)","14,560","±1,766","(X)","(X)","67,460","±3,408","(X)","(X)","85,181","±4,180","(X)","(X)","20,614","±1,868","(X)","(X)","17,235","±1,728","(X)","(X)","39,898","±2,569","(X)","(X)","16,636","±1,748","(X)","(X)","12,157","±1,314","(X)","(X)","53,433","±3,569","(X)","(X)","18,533","±2,168","(X)","(X)","162,073","±5,499","(X)","(X)","35,452","±2,090","(X)","(X)","31,987","±2,287","(X)","(X)","26,234","±2,383","(X)","(X)","21,305","±2,605","(X)","(X)","19,931","±2,107","(X)","(X)","51,624,276","±102,802","(X)","(X)"
"            With dial-up Internet subscription alone","55","±96","0.4%","±0.7","103","±132","0.4%","±0.6","95","±122","0.5%","±0.7","414","±357","0.3%","±0.3","0","±216","0.0%","±1.3","42","±71","0.1%","±0.1","69","±111","0.1%","±0.1","148","±143","0.7%","±0.7","0","±216","0.0%","±1.1","39","±64","0.1%","±0.2","0","±216","0.0%","±1.1","0","±216","0.0%","±1.6","79","±134","0.1%","±0.2","89","±108","0.5%","±0.6","71","±87","0.0%","±0.1","148","±189","0.4%","±0.5","25","±40","0.1%","±0.1","0","±216","0.0%","±0.7","0","±216","0.0%","±0.9","248","±274","1.2%","±1.4","154,033","±5,386","0.3%","±0.1"
"            With a broadband Internet subscription","12,962","±1,575","88.1%","±4.8","19,463","±1,867","82.7%","±3.9","15,114","±1,716","85.4%","±4.5","114,936","±4,745","87.8%","±1.6","10,792","±1,670","74.1%","±6.1","59,028","±3,578","87.5%","±2.5","69,263","±4,035","81.3%","±2.4","17,477","±1,785","84.8%","±3.7","14,392","±1,619","83.5%","±5.1","35,779","±2,449","89.7%","±2.5","14,231","±1,616","85.5%","±5.0","10,734","±1,253","88.3%","±5.3","49,610","±3,602","92.8%","±2.0","13,759","±2,042","74.2%","±6.5","126,495","±5,283","78.0%","±1.8","29,804","±2,179","84.1%","±3.1","27,557","±2,471","86.2%","±3.5","23,084","±2,390","88.0%","±3.6","19,257","±2,413","90.4%","±3.9","15,430","±2,159","77.4%","±6.1","43,392,447","±118,754","84.1%","±0.1"
"            Without an Internet subscription","1,691","±726","11.5%","±4.8","3,965","±959","16.9%","±3.9","2,497","±808","14.1%","±4.5","15,530","±2,053","11.9%","±1.5","3,768","±942","25.9%","±6.1","8,390","±1,741","12.4%","±2.6","15,849","±2,196","18.6%","±2.4","2,989","±773","14.5%","±3.6","2,843","±953","16.5%","±5.1","4,080","±1,055","10.2%","±2.5","2,405","±898","14.5%","±5.0","1,423","±673","11.7%","±5.3","3,744","±1,044","7.0%","±2.0","4,685","±1,307","25.3%","±6.5","35,507","±3,200","21.9%","±1.8","5,500","±1,109","15.5%","±3.1","4,405","±1,107","13.8%","±3.6","3,150","±951","12.0%","±3.6","2,048","±893","9.6%","±3.9","4,253","±1,262","21.3%","±6.2","8,077,796","±66,242","15.6%","±0.1"
"        $75,000 or more:","9,474","±1,571","(X)","(X)","20,066","±1,661","(X)","(X)","14,459","±1,697","(X)","(X)","124,707","±4,632","(X)","(X)","7,693","±1,277","(X)","(X)","57,750","±3,092","(X)","(X)","77,132","±3,364","(X)","(X)","10,906","±1,638","(X)","(X)","16,168","±1,449","(X)","(X)","27,615","±2,534","(X)","(X)","8,971","±1,433","(X)","(X)","11,263","±1,234","(X)","(X)","50,624","±3,039","(X)","(X)","13,274","±1,604","(X)","(X)","125,396","±4,971","(X)","(X)","21,694","±2,062","(X)","(X)","31,994","±2,113","(X)","(X)","18,598","±1,655","(X)","(X)","58,068","±2,845","(X)","(X)","27,578","±2,264","(X)","(X)","54,280,407","±138,481","(X)","(X)"
"            With dial-up Internet subscription alone","116","±191","1.2%","±2.0","0","±216","0.0%","±1.0","0","±216","0.0%","±1.3","213","±260","0.2%","±0.2","0","±216","0.0%","±2.5","0","±216","0.0%","±0.3","108","±125","0.1%","±0.2","0","±216","0.0%","±1.7","0","±216","0.0%","±1.2","0","±216","0.0%","±0.7","0","±216","0.0%","±2.1","0","±216","0.0%","±1.7","0","±216","0.0%","±0.4","0","±216","0.0%","±1.4","0","±216","0.0%","±0.2","0","±216","0.0%","±0.9","0","±216","0.0%","±0.6","76","±133","0.4%","±0.7","89","±155","0.2%","±0.3","0","±216","0.0%","±0.7","61,241","±3,741","0.1%","±0.1"
"            With a broadband Internet subscription","9,195","±1,545","97.1%","±2.4","18,414","±1,490","91.8%","±3.7","13,853","±1,659","95.8%","±2.8","119,777","±4,430","96.0%","±1.0","7,187","±1,221","93.4%","±5.1","56,465","±3,157","97.8%","±0.8","74,524","±3,247","96.6%","±1.0","10,598","±1,601","97.2%","±1.9","14,811","±1,575","91.6%","±5.4","26,822","±2,492","97.1%","±1.8","8,539","±1,378","95.2%","±4.2","10,796","±1,249","95.9%","±2.8","49,265","±3,068","97.3%","±1.2","12,028","±1,548","90.6%","±5.3","117,339","±5,158","93.6%","±1.5","20,941","±2,060","96.5%","±1.6","31,358","±2,056","98.0%","±1.1","17,368","±1,662","93.4%","±4.1","57,032","±2,811","98.2%","±0.9","25,168","±2,180","91.3%","±3.5","51,866,285","±151,271","95.6%","±0.1"
"            Without an Internet subscription","163","±178","1.7%","±1.9","1,652","±790","8.2%","±3.7","606","±408","4.2%","±2.8","4,717","±1,329","3.8%","±1.0","506","±409","6.6%","±5.1","1,285","±467","2.2%","±0.8","2,500","±786","3.2%","±1.0","308","±210","2.8%","±1.9","1,357","±888","8.4%","±5.4","793","±515","2.9%","±1.8","432","±389","4.8%","±4.2","467","±317","4.1%","±2.8","1,359","±615","2.7%","±1.2","1,246","±724","9.4%","±5.3","8,057","±1,832","6.4%","±1.5","753","±359","3.5%","±1.6","636","±348","2.0%","±1.1","1,154","±775","6.2%","±4.1","947","±475","1.6%","±0.8","2,410","±1,018","8.7%","±3.5","2,352,881","±31,854","4.3%","±0.1"
