"Label","Aiken County, South Carolina!!Total!!Estimate","Aiken County, South Carolina!!Total!!Margin of Error","Aiken County, South Carolina!!Percent!!Estimate","Aiken County, South Carolina!!Percent!!Margin of Error","Anderson County, South Carolina!!Total!!Estimate","Anderson County, South Carolina!!Total!!Margin of Error","Anderson County, South Carolina!!Percent!!Estimate","Anderson County, South Carolina!!Percent!!Margin of Error","Beaufort County, South Carolina!!Total!!Estimate","Beaufort County, South Carolina!!Total!!Margin of Error","Beaufort County, South Carolina!!Percent!!Estimate","Beaufort County, South Carolina!!Percent!!Margin of Error","Berkeley County, South Carolina!!Total!!Estimate","Berkeley County, South Carolina!!Total!!Margin of Error","Berkeley County, South Carolina!!Percent!!Estimate","Berkeley County, South Carolina!!Percent!!Margin of Error","Charleston County, South Carolina!!Total!!Estimate","Charleston County, South Carolina!!Total!!Margin of Error","Charleston County, South Carolina!!Percent!!Estimate","Charleston County, South Carolina!!Percent!!Margin of Error","Darlington County, South Carolina!!Total!!Estimate","Darlington County, South Carolina!!Total!!Margin of Error","Darlington County, South Carolina!!Percent!!Estimate","Darlington County, South Carolina!!Percent!!Margin of Error","Dorchester County, South Carolina!!Total!!Estimate","Dorchester County, South Carolina!!Total!!Margin of Error","Dorchester County, South Carolina!!Percent!!Estimate","Dorchester County, South Carolina!!Percent!!Margin of Error","Florence County, South Carolina!!Total!!Estimate","Florence County, South Carolina!!Total!!Margin of Error","Florence County, South Carolina!!Percent!!Estimate","Florence County, South Carolina!!Percent!!Margin of Error","Greenville County, South Carolina!!Total!!Estimate","Greenville County, South Carolina!!Total!!Margin of Error","Greenville County, South Carolina!!Percent!!Estimate","Greenville County, South Carolina!!Percent!!Margin of Error","Greenwood County, South Carolina!!Total!!Estimate","Greenwood County, South Carolina!!Total!!Margin of Error","Greenwood County, South Carolina!!Percent!!Estimate","Greenwood County, South Carolina!!Percent!!Margin of Error","Horry County, South Carolina!!Total!!Estimate","Horry County, South Carolina!!Total!!Margin of Error","Horry County, South Carolina!!Percent!!Estimate","Horry County, South Carolina!!Percent!!Margin of Error","Kershaw County, South Carolina!!Total!!Estimate","Kershaw County, South Carolina!!Total!!Margin of Error","Kershaw County, South Carolina!!Percent!!Estimate","Kershaw County, South Carolina!!Percent!!Margin of Error","Lancaster County, South Carolina!!Total!!Estimate","Lancaster County, South Carolina!!Total!!Margin of Error","Lancaster County, South Carolina!!Percent!!Estimate","Lancaster County, South Carolina!!Percent!!Margin of Error","Laurens County, South Carolina!!Total!!Estimate","Laurens County, South Carolina!!Total!!Margin of Error","Laurens County, South Carolina!!Percent!!Estimate","Laurens County, South Carolina!!Percent!!Margin of Error","Lexington County, South Carolina!!Total!!Estimate","Lexington County, South Carolina!!Total!!Margin of Error","Lexington County, South Carolina!!Percent!!Estimate","Lexington County, South Carolina!!Percent!!Margin of Error","Oconee County, South Carolina!!Total!!Estimate","Oconee County, South Carolina!!Total!!Margin of Error","Oconee County, South Carolina!!Percent!!Estimate","Oconee County, South Carolina!!Percent!!Margin of Error","Orangeburg County, South Carolina!!Total!!Estimate","Orangeburg County, South Carolina!!Total!!Margin of Error","Orangeburg County, South Carolina!!Percent!!Estimate","Orangeburg County, South Carolina!!Percent!!Margin of Error","Pickens County, South Carolina!!Total!!Estimate","Pickens County, South Carolina!!Total!!Margin of Error","Pickens County, South Carolina!!Percent!!Estimate","Pickens County, South Carolina!!Percent!!Margin of Error","Richland County, South Carolina!!Total!!Estimate","Richland County, South Carolina!!Total!!Margin of Error","Richland County, South Carolina!!Percent!!Estimate","Richland County, South Carolina!!Percent!!Margin of Error","Spartanburg County, South Carolina!!Total!!Estimate","Spartanburg County, South Carolina!!Total!!Margin of Error","Spartanburg County, South Carolina!!Percent!!Estimate","Spartanburg County, South Carolina!!Percent!!Margin of Error","Sumter County, South Carolina!!Total!!Estimate","Sumter County, South Carolina!!Total!!Margin of Error","Sumter County, South Carolina!!Percent!!Estimate","Sumter County, South Carolina!!Percent!!Margin of Error","York County, South Carolina!!Total!!Estimate","York County, South Carolina!!Total!!Margin of Error","York County, South Carolina!!Percent!!Estimate","York County, South Carolina!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"        Without an Internet subscription","8,739","±1,379","12.9%","±2.0","11,851","±1,900","15.6%","±2.4","15,876","±2,438","21.7%","±3.1","13,810","±2,106","17.1%","±2.5","29,453","±3,549","17.8%","±2.1","6,152","±1,359","24.8%","±5.0","10,935","±2,039","18.9%","±3.5","11,768","±1,963","22.2%","±3.6","23,784","±2,370","11.9%","±1.2","7,342","±1,406","25.7%","±4.9","14,969","±2,016","10.7%","±1.4","2,799","±688","11.4%","±2.8","6,395","±1,535","18.1%","±4.3","5,136","±1,325","19.8%","±5.2","14,677","±1,966","12.4%","±1.7","5,192","±964","16.5%","±2.8","7,568","±1,426","23.6%","±4.3","7,968","±1,464","16.5%","±3.0","22,572","±3,116","14.7%","±2.0","19,767","±2,523","16.3%","±2.0","9,902","±1,523","22.5%","±3.4","8,570","±1,531","7.9%","±1.4","16,438,191","±110,201","13.4%","±0.1"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000:","11,298","±1,934","(X)","(X)","12,780","±2,133","(X)","(X)","6,097","±1,287","(X)","(X)","9,078","±1,646","(X)","(X)","22,592","±3,212","(X)","(X)","6,169","±1,143","(X)","(X)","5,769","±1,182","(X)","(X)","10,142","±1,543","(X)","(X)","24,219","±2,647","(X)","(X)","6,916","±1,220","(X)","(X)","17,790","±2,033","(X)","(X)","4,775","±1,007","(X)","(X)","6,236","±1,479","(X)","(X)","6,000","±1,078","(X)","(X)","17,045","±2,176","(X)","(X)","5,549","±1,271","(X)","(X)","9,756","±1,355","(X)","(X)","8,461","±1,270","(X)","(X)","27,990","±2,565","(X)","(X)","19,838","±2,264","(X)","(X)","9,295","±1,569","(X)","(X)","10,389","±1,917","(X)","(X)","16,898,169","±63,060","(X)","(X)"
"            With dial-up Internet subscription alone","0","±218","0.0%","±1.7","0","±218","0.0%","±1.5","0","±218","0.0%","±3.2","38","±69","0.4%","±0.8","0","±218","0.0%","±0.9","0","±218","0.0%","±3.1","0","±218","0.0%","±3.4","27","±46","0.3%","±0.4","0","±218","0.0%","±0.8","0","±218","0.0%","±2.8","42","±69","0.2%","±0.4","131","±190","2.7%","±3.9","0","±218","0.0%","±3.1","0","±218","0.0%","±3.2","38","±71","0.2%","±0.4","0","±218","0.0%","±3.5","56","±94","0.6%","±1.0","0","±218","0.0%","±2.3","88","±120","0.3%","±0.4","45","±84","0.2%","±0.4","61","±75","0.7%","±0.8","0","±218","0.0%","±1.9","50,057","±3,226","0.3%","±0.1"
"            With a broadband Internet subscription","6,875","±1,414","60.9%","±8.1","7,537","±1,546","59.0%","±8.9","3,433","±969","56.3%","±10.1","5,660","±1,391","62.3%","±10.4","12,748","±2,435","56.4%","±7.5","3,027","±890","49.1%","±12.2","2,290","±739","39.7%","±12.3","4,942","±1,155","48.7%","±9.7","15,642","±2,305","64.6%","±5.8","3,724","±990","53.8%","±11.0","11,910","±1,646","66.9%","±5.8","3,418","±876","71.6%","±9.8","3,208","±1,020","51.4%","±13.9","3,491","±969","58.2%","±12.3","10,706","±1,611","62.8%","±6.6","3,472","±1,056","62.6%","±11.2","5,206","±1,170","53.4%","±9.0","5,208","±1,081","61.6%","±9.0","19,169","±2,300","68.5%","±4.7","12,871","±1,798","64.9%","±5.9","4,654","±1,354","50.1%","±9.9","7,389","±1,675","71.1%","±9.2","10,840,598","±55,426","64.2%","±0.2"
"            Without an Internet subscription","4,423","±1,234","39.1%","±8.1","5,243","±1,532","41.0%","±8.9","2,664","±828","43.7%","±10.1","3,380","±1,104","37.2%","±10.3","9,844","±2,261","43.6%","±7.5","3,142","±984","50.9%","±12.2","3,479","±1,110","60.3%","±12.3","5,173","±1,337","51.0%","±9.7","8,577","±1,630","35.4%","±5.8","3,192","±970","46.2%","±11.0","5,838","±1,266","32.8%","±5.9","1,226","±457","25.7%","±8.8","3,028","±1,221","48.6%","±13.9","2,509","±860","41.8%","±12.3","6,301","±1,489","37.0%","±6.6","2,077","±747","37.4%","±11.2","4,494","±1,033","46.1%","±8.9","3,253","±909","38.4%","±9.0","8,733","±1,470","31.2%","±4.7","6,922","±1,491","34.9%","±6.0","4,580","±1,050","49.3%","±9.8","3,000","±1,093","28.9%","±9.2","6,007,514","±48,221","35.6%","±0.2"
"        $20,000 to $74,999:","32,408","±2,601","(X)","(X)","36,234","±2,596","(X)","(X)","30,995","±2,769","(X)","(X)","34,484","±2,376","(X)","(X)","63,151","±3,552","(X)","(X)","10,529","±1,397","(X)","(X)","25,505","±2,825","(X)","(X)","25,763","±2,132","(X)","(X)","89,808","±4,083","(X)","(X)","14,704","±1,506","(X)","(X)","77,005","±4,097","(X)","(X)","10,279","±1,434","(X)","(X)","14,942","±1,899","(X)","(X)","12,772","±1,563","(X)","(X)","51,103","±2,663","(X)","(X)","15,158","±2,054","(X)","(X)","15,096","±1,824","(X)","(X)","24,219","±1,747","(X)","(X)","69,587","±3,656","(X)","(X)","59,638","±3,426","(X)","(X)","21,722","±1,924","(X)","(X)","48,383","±2,873","(X)","(X)","51,624,276","±102,802","(X)","(X)"
"            With dial-up Internet subscription alone","55","±95","0.2%","±0.3","63","±106","0.2%","±0.3","231","±384","0.7%","±1.2","48","±83","0.1%","±0.2","148","±153","0.2%","±0.2","0","±218","0.0%","±1.9","38","±62","0.1%","±0.2","0","±218","0.0%","±0.8","231","±203","0.3%","±0.2","0","±218","0.0%","±1.3","0","±218","0.0%","±0.3","27","±50","0.3%","±0.5","154","±252","1.0%","±1.7","34","±59","0.3%","±0.5","165","±131","0.3%","±0.3","68","±124","0.4%","±0.8","8","±13","0.1%","±0.1","50","±79","0.2%","±0.3","99","±130","0.1%","±0.2","33","±54","0.1%","±0.1","37","±64","0.2%","±0.3","104","±175","0.2%","±0.4","154,033","±5,386","0.3%","±0.1"
"            With a broadband Internet subscription","28,845","±2,538","89.0%","±2.1","30,577","±2,560","84.4%","±3.2","22,689","±2,088","73.2%","±5.1","27,653","±2,089","80.2%","±4.3","48,764","±3,521","77.2%","±3.6","8,177","±1,306","77.7%","±7.7","20,172","±2,615","79.1%","±5.6","20,409","±1,957","79.2%","±4.9","77,602","±3,754","86.4%","±2.0","10,968","±1,604","74.6%","±7.3","69,371","±4,048","90.1%","±2.0","8,891","±1,320","86.5%","±5.1","12,248","±1,748","82.0%","±6.8","10,635","±1,545","83.3%","±6.0","43,697","±2,654","85.5%","±2.7","12,481","±1,778","82.3%","±5.1","12,521","±1,706","82.9%","±5.3","20,161","±1,759","83.2%","±4.6","57,330","±3,345","82.4%","±3.4","48,576","±3,522","81.5%","±3.0","17,174","±1,797","79.1%","±4.7","44,060","±2,892","91.1%","±2.1","43,392,447","±118,754","84.1%","±0.1"
"            Without an Internet subscription","3,508","±691","10.8%","±2.1","5,594","±1,195","15.4%","±3.2","8,075","±1,968","26.1%","±5.2","6,783","±1,653","19.7%","±4.3","14,239","±2,419","22.5%","±3.6","2,352","±888","22.3%","±7.7","5,295","±1,557","20.8%","±5.6","5,354","±1,378","20.8%","±4.9","11,975","±1,984","13.3%","±2.1","3,736","±1,121","25.4%","±7.3","7,634","±1,556","9.9%","±2.0","1,361","±573","13.2%","±5.1","2,540","±1,056","17.0%","±6.5","2,103","±785","16.5%","±6.0","7,241","±1,457","14.2%","±2.7","2,609","±865","17.2%","±4.9","2,567","±865","17.0%","±5.3","4,008","±1,162","16.5%","±4.6","12,158","±2,588","17.5%","±3.4","11,029","±1,795","18.5%","±3.0","4,511","±1,118","20.8%","±4.7","4,219","±1,047","8.7%","±2.1","8,077,796","±66,242","15.6%","±0.1"
"        $75,000 or more:","24,183","±2,431","(X)","(X)","26,811","±2,487","(X)","(X)","35,951","±2,382","(X)","(X)","37,078","±2,253","(X)","(X)","79,825","±3,397","(X)","(X)","8,103","±1,347","(X)","(X)","26,494","±2,533","(X)","(X)","17,142","±1,860","(X)","(X)","85,524","±3,611","(X)","(X)","6,924","±1,063","(X)","(X)","45,465","±3,414","(X)","(X)","9,490","±1,138","(X)","(X)","14,232","±1,865","(X)","(X)","7,129","±1,070","(X)","(X)","50,045","±2,785","(X)","(X)","10,823","±1,493","(X)","(X)","7,277","±1,243","(X)","(X)","15,523","±1,732","(X)","(X)","55,907","±3,633","(X)","(X)","41,780","±2,917","(X)","(X)","13,088","±2,016","(X)","(X)","49,628","±2,690","(X)","(X)","54,280,407","±138,481","(X)","(X)"
"            With dial-up Internet subscription alone","117","±135","0.5%","±0.6","50","±84","0.2%","±0.3","0","±218","0.0%","±0.5","0","±218","0.0%","±0.5","110","±162","0.1%","±0.2","0","±218","0.0%","±2.4","0","±218","0.0%","±0.7","0","±218","0.0%","±1.1","0","±218","0.0%","±0.2","0","±218","0.0%","±2.8","0","±218","0.0%","±0.4","0","±218","0.0%","±2.1","0","±218","0.0%","±1.4","0","±218","0.0%","±2.7","108","±126","0.2%","±0.3","82","±98","0.8%","±0.9","221","±354","3.0%","±4.8","0","±218","0.0%","±1.3","0","±218","0.0%","±0.4","0","±218","0.0%","±0.5","0","±218","0.0%","±1.5","0","±218","0.0%","±0.4","61,241","±3,741","0.1%","±0.1"
"            With a broadband Internet subscription","23,258","±2,409","96.2%","±2.0","25,747","±2,451","96.0%","±2.1","30,814","±1,984","85.7%","±4.3","33,431","±2,200","90.2%","±3.3","74,345","±3,203","93.1%","±2.2","7,445","±1,216","91.9%","±4.9","24,333","±2,382","91.8%","±4.1","15,901","±1,788","92.8%","±4.1","82,292","±3,581","96.2%","±1.2","6,510","±1,041","94.0%","±3.9","43,968","±3,453","96.7%","±1.6","9,278","±1,130","97.8%","±2.0","13,405","±1,919","94.2%","±4.1","6,605","±1,061","92.6%","±4.3","48,802","±2,858","97.5%","±1.1","10,235","±1,500","94.6%","±3.1","6,549","±1,159","90.0%","±5.8","14,816","±1,649","95.4%","±2.8","54,226","±3,606","97.0%","±1.0","39,964","±2,817","95.7%","±1.8","12,277","±1,946","93.8%","±3.2","48,277","±2,619","97.3%","±1.2","51,866,285","±151,271","95.6%","±0.1"
"            Without an Internet subscription","808","±450","3.3%","±1.8","1,014","±569","3.8%","±2.1","5,137","±1,692","14.3%","±4.3","3,647","±1,283","9.8%","±3.3","5,370","±1,826","6.7%","±2.2","658","±436","8.1%","±4.9","2,161","±1,124","8.2%","±4.1","1,241","±731","7.2%","±4.1","3,232","±1,027","3.8%","±1.2","414","±271","6.0%","±3.9","1,497","±732","3.3%","±1.6","212","±191","2.2%","±2.0","827","±576","5.8%","±4.1","524","±308","7.4%","±4.3","1,135","±517","2.3%","±1.0","506","±310","4.7%","±2.9","507","±307","7.0%","±4.1","707","±447","4.6%","±2.8","1,681","±564","3.0%","±1.0","1,816","±769","4.3%","±1.8","811","±432","6.2%","±3.2","1,351","±604","2.7%","±1.2","2,352,881","±31,854","4.3%","±0.1"
