"Label","Aiken County, South Carolina!!Total!!Estimate","Aiken County, South Carolina!!Total!!Margin of Error","Aiken County, South Carolina!!Percent!!Estimate","Aiken County, South Carolina!!Percent!!Margin of Error","Anderson County, South Carolina!!Total!!Estimate","Anderson County, South Carolina!!Total!!Margin of Error","Anderson County, South Carolina!!Percent!!Estimate","Anderson County, South Carolina!!Percent!!Margin of Error","Beaufort County, South Carolina!!Total!!Estimate","Beaufort County, South Carolina!!Total!!Margin of Error","Beaufort County, South Carolina!!Percent!!Estimate","Beaufort County, South Carolina!!Percent!!Margin of Error","Berkeley County, South Carolina!!Total!!Estimate","Berkeley County, South Carolina!!Total!!Margin of Error","Berkeley County, South Carolina!!Percent!!Estimate","Berkeley County, South Carolina!!Percent!!Margin of Error","Charleston County, South Carolina!!Total!!Estimate","Charleston County, South Carolina!!Total!!Margin of Error","Charleston County, South Carolina!!Percent!!Estimate","Charleston County, South Carolina!!Percent!!Margin of Error","Darlington County, South Carolina!!Total!!Estimate","Darlington County, South Carolina!!Total!!Margin of Error","Darlington County, South Carolina!!Percent!!Estimate","Darlington County, South Carolina!!Percent!!Margin of Error","Dorchester County, South Carolina!!Total!!Estimate","Dorchester County, South Carolina!!Total!!Margin of Error","Dorchester County, South Carolina!!Percent!!Estimate","Dorchester County, South Carolina!!Percent!!Margin of Error","Florence County, South Carolina!!Total!!Estimate","Florence County, South Carolina!!Total!!Margin of Error","Florence County, South Carolina!!Percent!!Estimate","Florence County, South Carolina!!Percent!!Margin of Error","Greenville County, South Carolina!!Total!!Estimate","Greenville County, South Carolina!!Total!!Margin of Error","Greenville County, South Carolina!!Percent!!Estimate","Greenville County, South Carolina!!Percent!!Margin of Error","Greenwood County, South Carolina!!Total!!Estimate","Greenwood County, South Carolina!!Total!!Margin of Error","Greenwood County, South Carolina!!Percent!!Estimate","Greenwood County, South Carolina!!Percent!!Margin of Error","Horry County, South Carolina!!Total!!Estimate","Horry County, South Carolina!!Total!!Margin of Error","Horry County, South Carolina!!Percent!!Estimate","Horry County, South Carolina!!Percent!!Margin of Error","Kershaw County, South Carolina!!Total!!Estimate","Kershaw County, South Carolina!!Total!!Margin of Error","Kershaw County, South Carolina!!Percent!!Estimate","Kershaw County, South Carolina!!Percent!!Margin of Error","Lancaster County, South Carolina!!Total!!Estimate","Lancaster County, South Carolina!!Total!!Margin of Error","Lancaster County, South Carolina!!Percent!!Estimate","Lancaster County, South Carolina!!Percent!!Margin of Error","Laurens County, South Carolina!!Total!!Estimate","Laurens County, South Carolina!!Total!!Margin of Error","Laurens County, South Carolina!!Percent!!Estimate","Laurens County, South Carolina!!Percent!!Margin of Error","Lexington County, South Carolina!!Total!!Estimate","Lexington County, South Carolina!!Total!!Margin of Error","Lexington County, South Carolina!!Percent!!Estimate","Lexington County, South Carolina!!Percent!!Margin of Error","Oconee County, South Carolina!!Total!!Estimate","Oconee County, South Carolina!!Total!!Margin of Error","Oconee County, South Carolina!!Percent!!Estimate","Oconee County, South Carolina!!Percent!!Margin of Error","Orangeburg County, South Carolina!!Total!!Estimate","Orangeburg County, South Carolina!!Total!!Margin of Error","Orangeburg County, South Carolina!!Percent!!Estimate","Orangeburg County, South Carolina!!Percent!!Margin of Error","Pickens County, South Carolina!!Total!!Estimate","Pickens County, South Carolina!!Total!!Margin of Error","Pickens County, South Carolina!!Percent!!Estimate","Pickens County, South Carolina!!Percent!!Margin of Error","Richland County, South Carolina!!Total!!Estimate","Richland County, South Carolina!!Total!!Margin of Error","Richland County, South Carolina!!Percent!!Estimate","Richland County, South Carolina!!Percent!!Margin of Error","Spartanburg County, South Carolina!!Total!!Estimate","Spartanburg County, South Carolina!!Total!!Margin of Error","Spartanburg County, South Carolina!!Percent!!Estimate","Spartanburg County, South Carolina!!Percent!!Margin of Error","Sumter County, South Carolina!!Total!!Estimate","Sumter County, South Carolina!!Total!!Margin of Error","Sumter County, South Carolina!!Percent!!Estimate","Sumter County, South Carolina!!Percent!!Margin of Error","York County, South Carolina!!Total!!Estimate","York County, South Carolina!!Total!!Margin of Error","York County, South Carolina!!Percent!!Estimate","York County, South Carolina!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"                Other computer with no other type of computing device","0","±218","0.0%","±0.3","0","±218","0.0%","±0.3","0","±218","0.0%","±0.3","0","±218","0.0%","±0.2","34","±56","0.0%","±0.1","0","±218","0.0%","±0.8","0","±218","0.0%","±0.3","0","±218","0.0%","±0.4","0","±218","0.0%","±0.1","0","±218","0.0%","±0.7","0","±218","0.0%","±0.1","0","±218","0.0%","±0.8","0","±218","0.0%","±0.6","8","±17","0.0%","±0.1","0","±218","0.0%","±0.2","0","±218","0.0%","±0.6","0","±218","0.0%","±0.6","0","±218","0.0%","±0.4","119","±117","0.1%","±0.1","0","±218","0.0%","±0.2","0","±218","0.0%","±0.4","0","±218","0.0%","±0.2","25,911","±2,308","0.0%","±0.1"
"        No computer","5,308","±1,261","7.8%","±1.8","6,633","±1,323","8.7%","±1.7","3,140","±902","4.3%","±1.2","4,835","±1,177","6.0%","±1.4","7,916","±1,596","4.8%","±1.0","3,531","±892","14.2%","±3.5","3,504","±979","6.1%","±1.7","5,190","±1,132","9.8%","±2.1","13,361","±1,711","6.7%","±0.9","3,625","±855","12.7%","±3.0","7,938","±1,385","5.7%","±1.0","1,910","±736","7.8%","±2.9","2,925","±933","8.3%","±2.6","3,152","±1,137","12.2%","±4.5","8,095","±1,554","6.8%","±1.3","2,777","±782","8.8%","±2.3","4,378","±1,031","13.6%","±3.2","4,440","±1,043","9.2%","±2.2","7,141","±1,608","4.7%","±1.1","11,329","±1,557","9.3%","±1.2","4,345","±939","9.9%","±2.1","4,345","±1,102","4.0%","±1.0","8,740,203","±55,179","7.1%","±0.1"
"    TYPE OF INTERNET SUBSCRIPTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With an Internet subscription:","59,150","±2,347","87.1%","±2.0","63,974","±2,611","84.4%","±2.4","57,167","±2,605","78.3%","±3.1","66,830","±2,424","82.9%","±2.5","136,115","±4,737","82.2%","±2.1","18,649","±1,490","75.2%","±5.0","46,833","±2,354","81.1%","±3.5","41,279","±2,125","77.8%","±3.6","175,767","±3,576","88.1%","±1.2","21,202","±1,645","74.3%","±4.9","125,291","±3,873","89.3%","±1.4","21,745","±1,407","88.6%","±2.8","29,015","±2,071","81.9%","±4.3","20,765","±1,845","80.2%","±5.2","103,516","±2,782","87.6%","±1.7","26,338","±1,688","83.5%","±2.8","24,561","±2,054","76.4%","±4.3","40,235","±2,147","83.5%","±3.0","130,912","±4,384","85.3%","±2.0","101,489","±2,865","83.7%","±2.0","34,203","±1,756","77.5%","±3.4","99,830","±2,085","92.1%","±1.4","106,364,661","±221,795","86.6%","±0.1"
"            Dial-up with no other type of Internet subscription","172","±167","0.3%","±0.2","113","±138","0.1%","±0.2","231","±384","0.3%","±0.5","86","±111","0.1%","±0.1","258","±190","0.2%","±0.1","0","±218","0.0%","±0.8","38","±62","0.1%","±0.1","27","±46","0.1%","±0.1","231","±203","0.1%","±0.1","0","±218","0.0%","±0.7","42","±69","0.0%","±0.1","158","±196","0.6%","±0.8","154","±252","0.4%","±0.7","34","±59","0.1%","±0.2","311","±186","0.3%","±0.2","150","±160","0.5%","±0.5","285","±360","0.9%","±1.1","50","±79","0.1%","±0.2","187","±179","0.1%","±0.1","78","±92","0.1%","±0.1","98","±104","0.2%","±0.2","104","±175","0.1%","±0.2","265,331","±7,387","0.2%","±0.1"
"            Broadband of any type","58,978","±2,363","86.9%","±2.0","63,861","±2,627","84.2%","±2.4","56,936","±2,663","77.9%","±3.2","66,744","±2,425","82.8%","±2.5","135,857","±4,693","82.1%","±2.1","18,649","±1,490","75.2%","±5.0","46,795","±2,355","81.0%","±3.5","41,252","±2,120","77.8%","±3.6","175,536","±3,561","88.0%","±1.2","21,202","±1,645","74.3%","±4.9","125,249","±3,861","89.3%","±1.4","21,587","±1,439","88.0%","±2.9","28,861","±2,125","81.5%","±4.4","20,731","±1,835","80.0%","±5.1","103,205","±2,782","87.3%","±1.7","26,188","±1,679","83.1%","±3.0","24,276","±2,098","75.6%","±4.4","40,185","±2,145","83.4%","±3.0","130,725","±4,374","85.2%","±2.0","101,411","±2,856","83.6%","±2.0","34,105","±1,767","77.3%","±3.4","99,726","±2,125","92.0%","±1.4","106,099,330","±220,420","86.4%","±0.1"
"                Cellular data plan","54,921","±2,523","80.9%","±2.4","58,311","±2,589","76.9%","±2.4","52,194","±2,747","71.5%","±3.3","62,817","±2,624","77.9%","±2.8","126,383","±4,719","76.3%","±2.4","12,712","±1,276","51.3%","±4.6","39,700","±2,392","68.7%","±3.7","35,745","±2,155","67.4%","±3.7","158,127","±3,725","79.2%","±1.5","20,066","±1,642","70.3%","±4.8","111,721","±3,684","79.7%","±1.8","19,693","±1,515","80.2%","±4.0","22,199","±2,060","62.7%","±4.8","18,097","±1,686","69.9%","±5.2","94,455","±3,328","79.9%","±2.3","23,822","±1,788","75.6%","±3.7","22,706","±2,122","70.7%","±4.6","35,865","±2,384","74.4%","±3.8","122,162","±4,902","79.6%","±2.3","90,280","±2,889","74.5%","±2.0","30,200","±2,033","68.5%","±4.0","94,736","±2,207","87.4%","±1.6","95,774,824","±252,212","78.0%","±0.1"
"                    Cellular data plan with no other type of Internet subscription","9,316","±1,999","13.7%","±2.9","12,060","±1,924","15.9%","±2.5","5,683","±1,137","7.8%","±1.6","7,688","±1,678","9.5%","±2.1","20,814","±2,206","12.6%","±1.3","2,755","±752","11.1%","±3.0","4,843","±1,334","8.4%","±2.3","7,425","±1,488","14.0%","±2.8","20,363","±2,133","10.2%","±1.1","3,433","±984","12.0%","±3.4","18,334","±2,287","13.1%","±1.5","2,110","±753","8.6%","±3.0","3,187","±998","9.0%","±2.8","5,418","±1,111","20.9%","±4.3","14,997","±1,800","12.7%","±1.5","6,941","±1,468","22.0%","±4.4","7,669","±1,317","23.9%","±4.0","6,816","±1,394","14.1%","±2.8","14,346","±2,156","9.3%","±1.4","13,289","±1,786","11.0%","±1.5","5,006","±1,243","11.4%","±2.8","16,590","±2,519","15.3%","±2.3","14,539,689","±68,448","11.8%","±0.1"
"                Broadband such as cable, fiber optic or DSL","47,313","±2,746","69.7%","±3.2","48,988","±2,816","64.6%","±3.3","49,555","±2,797","67.8%","±3.5","56,786","±2,504","70.4%","±2.9","108,821","±4,650","65.7%","±2.3","13,646","±1,462","55.0%","±5.2","39,214","±2,396","67.9%","±3.8","30,037","±1,964","56.6%","±3.7","150,182","±3,730","75.3%","±1.4","17,198","±1,665","60.3%","±5.3","102,815","±3,227","73.3%","±1.9","17,600","±1,561","71.7%","±4.3","24,623","±2,060","69.5%","±4.6","14,388","±1,649","55.5%","±5.2","84,766","±3,011","71.7%","±2.0","17,127","±1,669","54.3%","±4.9","15,090","±1,913","47.0%","±4.8","30,657","±2,231","63.6%","±3.9","111,368","±4,515","72.6%","±2.3","83,857","±2,787","69.2%","±2.1","27,931","±2,073","63.3%","±4.2","80,402","±3,034","74.2%","±2.6","86,904,191","±204,585","70.8%","±0.1"
"                Satellite Internet service","3,423","±902","5.0%","±1.4","5,314","±1,142","7.0%","±1.4","4,396","±1,144","6.0%","±1.6","4,952","±1,058","6.1%","±1.3","12,835","±1,984","7.8%","±1.2","3,092","±876","12.5%","±3.5","7,288","±1,917","12.6%","±3.4","4,689","±1,253","8.8%","±2.3","12,085","±1,644","6.1%","±0.8","1,898","±766","6.6%","±2.7","5,789","±1,112","4.1%","±0.8","3,528","±930","14.4%","±3.8","1,922","±785","5.4%","±2.2","1,565","±627","6.0%","±2.3","7,988","±1,231","6.8%","±1.0","3,162","±922","10.0%","±2.9","4,016","±1,036","12.5%","±3.1","4,639","±1,012","9.6%","±2.0","13,480","±2,375","8.8%","±1.5","9,198","±1,490","7.6%","±1.2","3,040","±1,043","6.9%","±2.4","5,873","±1,191","5.4%","±1.1","8,021,594","±64,513","6.5%","±0.1"
