"Label","Albemarle County, Virginia!!Total!!Estimate","Albemarle County, Virginia!!Total!!Margin of Error","Albemarle County, Virginia!!Percent!!Estimate","Albemarle County, Virginia!!Percent!!Margin of Error","Arlington County, Virginia!!Total!!Estimate","Arlington County, Virginia!!Total!!Margin of Error","Arlington County, Virginia!!Percent!!Estimate","Arlington County, Virginia!!Percent!!Margin of Error","Augusta County, Virginia!!Total!!Estimate","Augusta County, Virginia!!Total!!Margin of Error","Augusta County, Virginia!!Percent!!Estimate","Augusta County, Virginia!!Percent!!Margin of Error","Bedford County, Virginia!!Total!!Estimate","Bedford County, Virginia!!Total!!Margin of Error","Bedford County, Virginia!!Percent!!Estimate","Bedford County, Virginia!!Percent!!Margin of Error","Chesterfield County, Virginia!!Total!!Estimate","Chesterfield County, Virginia!!Total!!Margin of Error","Chesterfield County, Virginia!!Percent!!Estimate","Chesterfield County, Virginia!!Percent!!Margin of Error","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Total!!Margin of Error","Fairfax County, Virginia!!Percent!!Estimate","Fairfax County, Virginia!!Percent!!Margin of Error","Fauquier County, Virginia!!Total!!Estimate","Fauquier County, Virginia!!Total!!Margin of Error","Fauquier County, Virginia!!Percent!!Estimate","Fauquier County, Virginia!!Percent!!Margin of Error","Frederick County, Virginia!!Total!!Estimate","Frederick County, Virginia!!Total!!Margin of Error","Frederick County, Virginia!!Percent!!Estimate","Frederick County, Virginia!!Percent!!Margin of Error","Hanover County, Virginia!!Total!!Estimate","Hanover County, Virginia!!Total!!Margin of Error","Hanover County, Virginia!!Percent!!Estimate","Hanover County, Virginia!!Percent!!Margin of Error","Henrico County, Virginia!!Total!!Estimate","Henrico County, Virginia!!Total!!Margin of Error","Henrico County, Virginia!!Percent!!Estimate","Henrico County, Virginia!!Percent!!Margin of Error","James City County, Virginia!!Total!!Estimate","James City County, Virginia!!Total!!Margin of Error","James City County, Virginia!!Percent!!Estimate","James City County, Virginia!!Percent!!Margin of Error","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Total!!Margin of Error","Loudoun County, Virginia!!Percent!!Estimate","Loudoun County, Virginia!!Percent!!Margin of Error","Montgomery County, Virginia!!Total!!Estimate","Montgomery County, Virginia!!Total!!Margin of Error","Montgomery County, Virginia!!Percent!!Estimate","Montgomery County, Virginia!!Percent!!Margin of Error","Prince William County, Virginia!!Total!!Estimate","Prince William County, Virginia!!Total!!Margin of Error","Prince William County, Virginia!!Percent!!Estimate","Prince William County, Virginia!!Percent!!Margin of Error","Roanoke County, Virginia!!Total!!Estimate","Roanoke County, Virginia!!Total!!Margin of Error","Roanoke County, Virginia!!Percent!!Estimate","Roanoke County, Virginia!!Percent!!Margin of Error","Rockingham County, Virginia!!Total!!Estimate","Rockingham County, Virginia!!Total!!Margin of Error","Rockingham County, Virginia!!Percent!!Estimate","Rockingham County, Virginia!!Percent!!Margin of Error","Spotsylvania County, Virginia!!Total!!Estimate","Spotsylvania County, Virginia!!Total!!Margin of Error","Spotsylvania County, Virginia!!Percent!!Estimate","Spotsylvania County, Virginia!!Percent!!Margin of Error","Stafford County, Virginia!!Total!!Estimate","Stafford County, Virginia!!Total!!Margin of Error","Stafford County, Virginia!!Percent!!Estimate","Stafford County, Virginia!!Percent!!Margin of Error","York County, Virginia!!Total!!Estimate","York County, Virginia!!Total!!Margin of Error","York County, Virginia!!Percent!!Estimate","York County, Virginia!!Percent!!Margin of Error","Alexandria city, Virginia!!Total!!Estimate","Alexandria city, Virginia!!Total!!Margin of Error","Alexandria city, Virginia!!Percent!!Estimate","Alexandria city, Virginia!!Percent!!Margin of Error","Chesapeake city, Virginia!!Total!!Estimate","Chesapeake city, Virginia!!Total!!Margin of Error","Chesapeake city, Virginia!!Percent!!Estimate","Chesapeake city, Virginia!!Percent!!Margin of Error","Hampton city, Virginia!!Total!!Estimate","Hampton city, Virginia!!Total!!Margin of Error","Hampton city, Virginia!!Percent!!Estimate","Hampton city, Virginia!!Percent!!Margin of Error","Lynchburg city, Virginia!!Total!!Estimate","Lynchburg city, Virginia!!Total!!Margin of Error","Lynchburg city, Virginia!!Percent!!Estimate","Lynchburg city, Virginia!!Percent!!Margin of Error","Newport News city, Virginia!!Total!!Estimate","Newport News city, Virginia!!Total!!Margin of Error","Newport News city, Virginia!!Percent!!Estimate","Newport News city, Virginia!!Percent!!Margin of Error","Norfolk city, Virginia!!Total!!Estimate","Norfolk city, Virginia!!Total!!Margin of Error","Norfolk city, Virginia!!Percent!!Estimate","Norfolk city, Virginia!!Percent!!Margin of Error","Portsmouth city, Virginia!!Total!!Estimate","Portsmouth city, Virginia!!Total!!Margin of Error","Portsmouth city, Virginia!!Percent!!Estimate","Portsmouth city, Virginia!!Percent!!Margin of Error","Richmond city, Virginia!!Total!!Estimate","Richmond city, Virginia!!Total!!Margin of Error","Richmond city, Virginia!!Percent!!Estimate","Richmond city, Virginia!!Percent!!Margin of Error","Roanoke city, Virginia!!Total!!Estimate","Roanoke city, Virginia!!Total!!Margin of Error","Roanoke city, Virginia!!Percent!!Estimate","Roanoke city, Virginia!!Percent!!Margin of Error","Suffolk city, Virginia!!Total!!Estimate","Suffolk city, Virginia!!Total!!Margin of Error","Suffolk city, Virginia!!Percent!!Estimate","Suffolk city, Virginia!!Percent!!Margin of Error","Virginia Beach city, Virginia!!Total!!Estimate","Virginia Beach city, Virginia!!Total!!Margin of Error","Virginia Beach city, Virginia!!Percent!!Estimate","Virginia Beach city, Virginia!!Percent!!Margin of Error","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error"
"                Other computer with no other type of computing device","0","±208","0.0%","±0.4","0","±208","0.0%","±0.2","0","±208","0.0%","±0.6","0","±208","0.0%","±0.6","0","±208","0.0%","±0.1","41","±66","0.0%","±0.1","0","±208","0.0%","±0.7","0","±208","0.0%","±0.6","0","±208","0.0%","±0.5","293","±451","0.2%","±0.3","56","±90","0.2%","±0.3","29","±45","0.0%","±0.1","0","±208","0.0%","±0.5","0","±208","0.0%","±0.1","0","±208","0.0%","±0.5","0","±208","0.0%","±0.6","64","±102","0.1%","±0.2","0","±208","0.0%","±0.4","0","±208","0.0%","±0.7","0","±208","0.0%","±0.3","73","±125","0.1%","±0.1","0","±208","0.0%","±0.3","0","±208","0.0%","±0.6","0","±208","0.0%","±0.3","0","±208","0.0%","±0.2","0","±208","0.0%","±0.5","0","±208","0.0%","±0.2","37","±65","0.1%","±0.2","0","±208","0.0%","±0.5","47","±81","0.0%","±0.1","25,911","±2,308","0.0%","±0.1"
"        No computer","3,729","±1,195","8.5%","±2.8","4,257","±1,401","3.8%","±1.3","2,505","±776","8.4%","±2.6","3,660","±895","11.7%","±3.0","6,296","±1,196","4.9%","±0.9","8,616","±1,796","2.2%","±0.4","1,942","±585","8.0%","±2.4","2,460","±862","7.7%","±2.7","2,936","±898","7.4%","±2.3","9,693","±1,800","7.4%","±1.4","1,384","±730","4.6%","±2.4","2,351","±696","1.8%","±0.5","1,672","±598","4.6%","±1.6","2,668","±888","1.9%","±0.6","3,131","±1,001","8.3%","±2.6","3,072","±760","10.1%","±2.5","2,172","±628","4.7%","±1.4","1,305","±567","2.7%","±1.2","1,166","±572","4.5%","±2.2","2,899","±898","4.1%","±1.3","2,830","±788","3.3%","±0.9","3,625","±1,046","6.5%","±1.9","1,010","±417","3.5%","±1.4","4,475","±1,062","6.3%","±1.5","6,709","±1,063","7.6%","±1.2","2,518","±601","7.0%","±1.7","8,460","±1,772","9.4%","±2.0","5,230","±1,339","12.8%","±3.2","2,435","±799","7.0%","±2.3","5,938","±1,527","3.4%","±0.9","8,740,203","±55,179","7.1%","±0.1"
"    TYPE OF INTERNET SUBSCRIPTIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With an Internet subscription:","38,084","±1,721","87.0%","±3.0","103,574","±2,353","92.6%","±1.4","25,949","±1,669","86.6%","±3.8","24,290","±1,768","77.4%","±4.3","115,521","±2,785","89.6%","±1.7","383,329","±3,545","95.8%","±0.6","21,241","±1,293","87.5%","±3.0","26,907","±1,699","84.1%","±3.1","33,859","±1,666","85.7%","±3.2","112,774","±2,953","86.4%","±1.8","27,362","±1,675","90.4%","±3.4","127,742","±2,412","95.5%","±1.2","33,200","±1,657","91.6%","±2.5","137,676","±2,142","95.9%","±0.8","32,685","±1,696","87.1%","±3.0","24,886","±1,653","81.7%","±3.6","42,465","±1,419","91.5%","±2.1","45,505","±1,467","94.6%","±1.8","23,559","±1,098","90.6%","±2.7","65,513","±1,939","92.3%","±1.6","79,598","±2,049","91.6%","±1.8","47,767","±1,933","85.9%","±2.5","26,975","±1,370","93.2%","±2.2","61,028","±2,905","86.1%","±2.6","73,320","±2,547","83.0%","±1.9","31,683","±1,214","87.8%","±2.3","73,800","±2,576","82.1%","±2.4","32,035","±1,907","78.5%","±4.3","29,058","±1,309","84.0%","±3.3","162,438","±2,696","92.8%","±1.1","106,364,661","±221,795","86.6%","±0.1"
"            Dial-up with no other type of Internet subscription","27","±45","0.1%","±0.1","114","±136","0.1%","±0.1","142","±146","0.5%","±0.5","61","±74","0.2%","±0.2","78","±128","0.1%","±0.1","526","±287","0.1%","±0.1","0","±208","0.0%","±0.7","102","±168","0.3%","±0.5","0","±208","0.0%","±0.5","102","±104","0.1%","±0.1","139","±234","0.5%","±0.8","117","±147","0.1%","±0.1","144","±177","0.4%","±0.5","152","±176","0.1%","±0.1","0","±208","0.0%","±0.5","64","±83","0.2%","±0.3","0","±208","0.0%","±0.4","36","±62","0.1%","±0.1","0","±208","0.0%","±0.7","85","±100","0.1%","±0.1","185","±168","0.2%","±0.2","0","±208","0.0%","±0.3","0","±208","0.0%","±0.6","163","±170","0.2%","±0.2","81","±110","0.1%","±0.1","39","±65","0.1%","±0.2","46","±79","0.1%","±0.1","0","±208","0.0%","±0.4","0","±208","0.0%","±0.5","57","±98","0.0%","±0.1","265,331","±7,387","0.2%","±0.1"
"            Broadband of any type","38,057","±1,723","87.0%","±3.0","103,460","±2,365","92.5%","±1.4","25,807","±1,681","86.2%","±3.8","24,229","±1,757","77.2%","±4.3","115,443","±2,812","89.5%","±1.7","382,803","±3,539","95.7%","±0.6","21,241","±1,293","87.5%","±3.0","26,805","±1,677","83.7%","±3.1","33,859","±1,666","85.7%","±3.2","112,672","±2,952","86.3%","±1.8","27,223","±1,677","90.0%","±3.5","127,625","±2,436","95.4%","±1.2","33,056","±1,661","91.2%","±2.6","137,524","±2,159","95.8%","±0.8","32,685","±1,696","87.1%","±3.0","24,822","±1,670","81.5%","±3.7","42,465","±1,419","91.5%","±2.1","45,469","±1,466","94.5%","±1.8","23,559","±1,098","90.6%","±2.7","65,428","±1,931","92.1%","±1.6","79,413","±2,063","91.4%","±1.8","47,767","±1,933","85.9%","±2.5","26,975","±1,370","93.2%","±2.2","60,865","±2,938","85.8%","±2.6","73,239","±2,546","82.9%","±1.9","31,644","±1,221","87.7%","±2.3","73,754","±2,573","82.1%","±2.4","32,035","±1,907","78.5%","±4.3","29,058","±1,309","84.0%","±3.3","162,381","±2,694","92.8%","±1.1","106,099,330","±220,420","86.4%","±0.1"
"                Cellular data plan","35,394","±1,728","80.9%","±3.2","97,476","±2,697","87.1%","±1.9","22,112","±1,714","73.8%","±5.0","22,783","±1,668","72.6%","±4.2","106,899","±2,968","82.9%","±1.9","357,356","±3,997","89.3%","±0.8","20,061","±1,272","82.7%","±3.4","24,464","±1,827","76.4%","±4.0","31,587","±1,726","79.9%","±3.5","104,647","±2,927","80.1%","±1.8","23,698","±1,950","78.3%","±4.9","115,555","±3,061","86.4%","±1.8","27,523","±1,823","75.9%","±4.7","129,444","±2,410","90.2%","±1.4","30,063","±1,775","80.2%","±3.4","22,234","±1,665","73.0%","±3.8","38,687","±1,405","83.3%","±2.5","42,831","±1,579","89.1%","±2.3","22,385","±1,150","86.1%","±3.1","61,606","±2,157","86.8%","±2.1","74,525","±2,304","85.8%","±2.3","43,825","±2,029","78.8%","±3.0","24,878","±1,398","85.9%","±2.9","55,876","±2,798","78.8%","±2.9","68,528","±2,474","77.5%","±2.0","29,335","±1,231","81.3%","±2.7","70,228","±2,515","78.1%","±2.5","29,446","±2,009","72.2%","±4.7","27,437","±1,534","79.3%","±4.1","150,483","±3,185","86.0%","±1.4","95,774,824","±252,212","78.0%","±0.1"
"                    Cellular data plan with no other type of Internet subscription","8,769","±1,488","20.0%","±3.4","11,216","±1,923","10.0%","±1.7","6,696","±1,307","22.4%","±4.4","6,306","±1,263","20.1%","±3.8","9,118","±1,756","7.1%","±1.4","21,386","±2,277","5.3%","±0.6","3,331","±882","13.7%","±3.6","5,007","±1,108","15.6%","±3.4","4,948","±1,075","12.5%","±2.7","10,248","±1,605","7.8%","±1.2","1,760","±661","5.8%","±2.2","7,304","±1,313","5.5%","±1.0","3,697","±992","10.2%","±2.9","8,546","±1,509","6.0%","±1.0","3,524","±882","9.4%","±2.4","5,324","±1,029","17.5%","±3.3","2,195","±506","4.7%","±1.1","3,776","±996","7.9%","±2.1","2,513","±933","9.7%","±3.6","5,981","±1,210","8.4%","±1.7","10,003","±1,790","11.5%","±2.0","6,085","±1,423","10.9%","±2.5","5,955","±1,306","20.6%","±4.5","11,767","±1,965","16.6%","±2.6","10,874","±1,519","12.3%","±1.7","11,560","±1,945","32.0%","±5.3","11,779","±1,991","13.1%","±2.2","3,762","±889","9.2%","±2.2","4,593","±1,007","13.3%","±2.8","15,467","±1,954","8.8%","±1.1","14,539,689","±68,448","11.8%","±0.1"
"                Broadband such as cable, fiber optic or DSL","27,860","±1,778","63.7%","±3.5","91,626","±2,888","81.9%","±2.1","17,192","±1,980","57.4%","±5.5","14,351","±1,421","45.7%","±4.3","104,124","±2,927","80.8%","±1.9","358,389","±4,096","89.6%","±0.8","13,853","±1,235","57.1%","±4.1","19,089","±1,502","59.6%","±3.6","26,425","±1,886","66.9%","±4.1","100,555","±3,335","77.0%","±2.2","25,085","±1,664","82.9%","±3.7","117,163","±2,403","87.6%","±1.4","26,989","±1,999","74.5%","±4.1","126,516","±2,498","88.2%","±1.5","28,110","±1,944","74.9%","±3.9","17,255","±1,555","56.6%","±4.4","38,458","±1,364","82.8%","±2.3","40,450","±1,782","84.1%","±2.8","20,920","±1,406","80.4%","±4.1","58,232","±2,224","82.0%","±2.4","67,966","±2,632","78.2%","±2.8","40,914","±2,021","73.5%","±3.1","20,805","±1,781","71.9%","±5.0","48,795","±2,839","68.8%","±3.2","60,523","±2,952","68.5%","±2.8","19,843","±1,959","55.0%","±5.1","60,820","±2,834","67.7%","±2.9","27,698","±2,046","67.9%","±4.7","23,146","±1,599","66.9%","±4.4","143,686","±3,274","82.1%","±1.7","86,904,191","±204,585","70.8%","±0.1"
"                Satellite Internet service","2,428","±587","5.5%","±1.4","3,531","±961","3.2%","±0.9","2,130","±758","7.1%","±2.5","3,586","±937","11.4%","±2.9","4,421","±1,148","3.4%","±0.9","13,688","±1,966","3.4%","±0.5","3,428","±750","14.1%","±3.0","2,730","±828","8.5%","±2.6","2,593","±712","6.6%","±1.8","3,898","±1,325","3.0%","±1.0","2,216","±862","7.3%","±2.8","6,206","±1,197","4.6%","±0.9","2,905","±1,100","8.0%","±3.0","6,331","±1,298","4.4%","±0.9","1,405","±474","3.7%","±1.3","2,051","±588","6.7%","±1.9","2,452","±706","5.3%","±1.5","2,267","±669","4.7%","±1.4","1,449","±659","5.6%","±2.5","1,889","±725","2.7%","±1.0","3,375","±1,325","3.9%","±1.5","3,096","±1,019","5.6%","±1.8","676","±341","2.3%","±1.2","9,224","±1,720","13.0%","±2.3","2,919","±657","3.3%","±0.7","779","±332","2.2%","±0.9","2,790","±722","3.1%","±0.8","1,416","±557","3.5%","±1.4","1,895","±559","5.5%","±1.6","6,094","±1,577","3.5%","±0.9","8,021,594","±64,513","6.5%","±0.1"
"        Without an Internet subscription","5,670","±1,326","13.0%","±3.0","8,313","±1,611","7.4%","±1.4","4,002","±1,138","13.4%","±3.8","7,100","±1,331","22.6%","±4.3","13,399","±2,129","10.4%","±1.7","16,857","±2,449","4.2%","±0.6","3,029","±720","12.5%","±3.0","5,103","±979","15.9%","±3.1","5,662","±1,231","14.3%","±3.2","17,817","±2,433","13.6%","±1.8","2,900","±1,037","9.6%","±3.4","6,008","±1,559","4.5%","±1.2","3,044","±918","8.4%","±2.5","5,832","±1,186","4.1%","±0.8","4,821","±1,126","12.9%","±3.0","5,576","±1,061","18.3%","±3.6","3,962","±969","8.5%","±2.1","2,587","±871","5.4%","±1.8","2,449","±695","9.4%","±2.7","5,492","±1,103","7.7%","±1.6","7,280","±1,591","8.4%","±1.8","7,866","±1,413","14.1%","±2.5","1,975","±621","6.8%","±2.2","9,890","±1,817","13.9%","±2.6","15,067","±1,670","17.0%","±1.9","4,406","±849","12.2%","±2.3","16,078","±2,269","17.9%","±2.4","8,775","±1,861","21.5%","±4.3","5,539","±1,177","16.0%","±3.3","12,591","±2,022","7.2%","±1.1","16,438,191","±110,201","13.4%","±0.1"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000:","3,869","±896","(X)","(X)","9,451","±2,096","(X)","(X)","2,340","±824","(X)","(X)","3,683","±906","(X)","(X)","9,701","±1,679","(X)","(X)","20,688","±2,442","(X)","(X)","1,509","±591","(X)","(X)","2,457","±790","(X)","(X)","2,265","±771","(X)","(X)","14,376","±1,883","(X)","(X)","1,916","±730","(X)","(X)","4,155","±1,152","(X)","(X)","6,627","±1,476","(X)","(X)","7,450","±1,430","(X)","(X)","3,675","±1,117","(X)","(X)","2,115","±602","(X)","(X)","3,746","±1,111","(X)","(X)","2,233","±639","(X)","(X)","2,222","±819","(X)","(X)","3,560","±959","(X)","(X)","7,166","±1,821","(X)","(X)","8,129","±1,577","(X)","(X)","4,749","±1,194","(X)","(X)","12,045","±1,764","(X)","(X)","15,511","±1,565","(X)","(X)","6,404","±1,450","(X)","(X)","19,774","±2,453","(X)","(X)","10,251","±1,674","(X)","(X)","3,560","±979","(X)","(X)","11,268","±1,768","(X)","(X)","16,898,169","±63,060","(X)","(X)"
"            With dial-up Internet subscription alone","0","±208","0.0%","±4.5","0","±208","0.0%","±1.9","0","±208","0.0%","±7.4","35","±60","1.0%","±1.7","0","±208","0.0%","±1.8","113","±110","0.5%","±0.5","0","±208","0.0%","±11.2","0","±208","0.0%","±7.1","0","±208","0.0%","±7.6","0","±208","0.0%","±1.2","0","±208","0.0%","±9.0","89","±143","2.1%","±3.3","0","±208","0.0%","±2.7","0","±208","0.0%","±2.4","0","±208","0.0%","±4.8","0","±208","0.0%","±8.2","0","±208","0.0%","±4.7","0","±208","0.0%","±7.7","0","±208","0.0%","±7.8","0","±208","0.0%","±4.9","0","±208","0.0%","±2.5","0","±208","0.0%","±2.2","0","±208","0.0%","±3.7","48","±79","0.4%","±0.7","0","±208","0.0%","±1.2","0","±208","0.0%","±2.8","0","±208","0.0%","±0.9","0","±208","0.0%","±1.7","0","±208","0.0%","±4.9","0","±208","0.0%","±1.6","50,057","±3,226","0.3%","±0.1"
"            With a broadband Internet subscription","1,981","±609","51.2%","±15.8","6,171","±1,583","65.3%","±8.8","1,905","±739","81.4%","±13.5","1,465","±455","39.8%","±12.5","6,530","±1,604","67.3%","±10.1","17,144","±2,109","82.9%","±5.0","931","±483","61.7%","±19.9","1,361","±599","55.4%","±14.8","1,599","±585","70.6%","±21.3","8,461","±1,589","58.9%","±8.5","1,275","±561","66.5%","±19.0","2,979","±933","71.7%","±12.1","6,028","±1,416","91.0%","±6.2","6,088","±1,397","81.7%","±7.8","1,746","±831","47.5%","±18.5","1,076","±447","50.9%","±15.6","2,393","±825","63.9%","±12.6","1,642","±610","73.5%","±12.9","1,348","±584","60.7%","±18.9","2,572","±859","72.2%","±13.8","4,459","±1,494","62.2%","±11.1","5,780","±1,258","71.1%","±8.7","3,971","±1,104","83.6%","±8.2","7,829","±1,438","65.0%","±8.7","10,735","±1,423","69.2%","±5.3","4,820","±1,368","75.3%","±8.1","12,934","±2,016","65.4%","±6.3","6,378","±1,442","62.2%","±10.4","2,140","±807","60.1%","±12.7","8,543","±1,489","75.8%","±7.0","10,840,598","±55,426","64.2%","±0.2"
"            Without an Internet subscription","1,888","±850","48.8%","±15.8","3,280","±1,080","34.7%","±8.8","435","±350","18.6%","±13.5","2,183","±863","59.3%","±12.9","3,171","±1,018","32.7%","±10.1","3,431","±1,178","16.6%","±5.1","578","±359","38.3%","±19.9","1,096","±478","44.6%","±14.8","666","±589","29.4%","±21.3","5,915","±1,486","41.1%","±8.5","641","±465","33.5%","±19.0","1,087","±576","26.2%","±11.7","599","±424","9.0%","±6.2","1,362","±588","18.3%","±7.8","1,929","±935","52.5%","±18.5","1,039","±447","49.1%","±15.6","1,353","±632","36.1%","±12.6","591","±292","26.5%","±12.9","874","±573","39.3%","±18.9","988","±554","27.8%","±13.8","2,707","±947","37.8%","±11.1","2,349","±890","28.9%","±8.7","778","±417","16.4%","±8.2","4,168","±1,259","34.6%","±8.6","4,776","±897","30.8%","±5.3","1,584","±503","24.7%","±8.1","6,840","±1,515","34.6%","±6.3","3,873","±1,289","37.8%","±10.4","1,420","±534","39.9%","±12.7","2,725","±929","24.2%","±7.0","6,007,514","±48,221","35.6%","±0.2"
"        $20,000 to $74,999:","14,874","±1,639","(X)","(X)","26,066","±2,347","(X)","(X)","15,395","±1,401","(X)","(X)","13,275","±1,605","(X)","(X)","49,951","±3,168","(X)","(X)","89,037","±5,108","(X)","(X)","6,719","±1,115","(X)","(X)","11,136","±1,587","(X)","(X)","14,151","±1,568","(X)","(X)","56,646","±3,415","(X)","(X)","9,067","±1,345","(X)","(X)","23,070","±2,361","(X)","(X)","16,665","±1,831","(X)","(X)","38,336","±3,069","(X)","(X)","15,917","±1,827","(X)","(X)","14,895","±1,403","(X)","(X)","15,432","±1,487","(X)","(X)","12,948","±1,788","(X)","(X)","7,747","±1,360","(X)","(X)","20,251","±1,884","(X)","(X)","35,249","±2,495","(X)","(X)","27,042","±2,464","(X)","(X)","14,252","±1,479","(X)","(X)","35,533","±2,852","(X)","(X)","43,384","±2,534","(X)","(X)","17,987","±1,809","(X)","(X)","40,185","±2,819","(X)","(X)","19,440","±2,037","(X)","(X)","12,278","±1,618","(X)","(X)","70,993","±4,011","(X)","(X)","51,624,276","±102,802","(X)","(X)"
"            With dial-up Internet subscription alone","27","±45","0.2%","±0.3","43","±71","0.2%","±0.3","111","±133","0.7%","±0.9","26","±44","0.2%","±0.3","0","±208","0.0%","±0.4","209","±190","0.2%","±0.2","0","±208","0.0%","±2.6","102","±168","0.9%","±1.5","0","±208","0.0%","±1.3","102","±104","0.2%","±0.2","139","±234","1.5%","±2.6","12","±21","0.1%","±0.1","71","±125","0.4%","±0.8","75","±123","0.2%","±0.3","0","±208","0.0%","±1.1","64","±83","0.4%","±0.6","0","±208","0.0%","±1.2","0","±208","0.0%","±1.4","0","±208","0.0%","±2.3","0","±208","0.0%","±0.9","78","±96","0.2%","±0.3","0","±208","0.0%","±0.7","0","±208","0.0%","±1.3","51","±89","0.1%","±0.2","18","±31","0.0%","±0.1","39","±65","0.2%","±0.4","46","±79","0.1%","±0.2","0","±208","0.0%","±0.9","0","±208","0.0%","±1.5","0","±208","0.0%","±0.3","154,033","±5,386","0.3%","±0.1"
"            With a broadband Internet subscription","12,366","±1,453","83.1%","±5.5","22,769","±2,148","87.4%","±4.2","12,282","±1,380","79.8%","±5.9","9,506","±1,412","71.6%","±7.3","42,050","±2,713","84.2%","±3.2","80,086","±4,694","89.9%","±1.7","5,055","±1,054","75.2%","±8.8","8,317","±1,412","74.7%","±7.4","10,815","±1,375","76.4%","±6.1","46,046","±3,220","81.3%","±3.0","7,433","±1,335","82.0%","±7.5","19,943","±2,182","86.4%","±4.6","14,566","±1,968","87.4%","±5.3","36,026","±3,036","94.0%","±2.3","14,089","±1,760","88.5%","±3.7","11,895","±1,456","79.9%","±5.7","13,473","±1,361","87.3%","±4.1","11,640","±1,745","89.9%","±5.6","6,562","±1,316","84.7%","±7.7","17,750","±1,940","87.6%","±3.9","31,271","±2,565","88.7%","±3.4","23,010","±2,425","85.1%","±3.6","13,164","±1,479","92.4%","±3.3","30,974","±2,663","87.2%","±3.5","35,823","±2,299","82.6%","±3.3","15,431","±1,689","85.8%","±3.6","33,273","±2,603","82.8%","±3.3","15,701","±2,077","80.8%","±5.6","9,596","±1,417","78.2%","±5.8","63,267","±3,781","89.1%","±2.1","43,392,447","±118,754","84.1%","±0.1"
"            Without an Internet subscription","2,481","±906","16.7%","±5.5","3,254","±1,185","12.5%","±4.2","3,002","±974","19.5%","±5.9","3,743","±1,102","28.2%","±7.3","7,901","±1,794","15.8%","±3.2","8,742","±1,632","9.8%","±1.7","1,664","±641","24.8%","±8.8","2,717","±901","24.4%","±7.1","3,336","±982","23.6%","±6.1","10,498","±1,824","18.5%","±3.0","1,495","±677","16.5%","±7.2","3,115","±1,134","13.5%","±4.6","2,028","±851","12.2%","±5.2","2,235","±861","5.8%","±2.2","1,828","±599","11.5%","±3.7","2,936","±846","19.7%","±5.5","1,959","±688","12.7%","±4.1","1,308","±758","10.1%","±5.6","1,185","±632","15.3%","±7.7","2,501","±793","12.4%","±3.9","3,900","±1,206","11.1%","±3.4","4,032","±989","14.9%","±3.6","1,088","±472","7.6%","±3.3","4,508","±1,312","12.7%","±3.5","7,543","±1,585","17.4%","±3.3","2,517","±695","14.0%","±3.6","6,866","±1,447","17.1%","±3.3","3,739","±1,106","19.2%","±5.6","2,682","±813","21.8%","±5.8","7,726","±1,559","10.9%","±2.1","8,077,796","±66,242","15.6%","±0.1"
"        $75,000 or more:","25,011","±1,520","(X)","(X)","76,370","±2,701","(X)","(X)","12,216","±1,490","(X)","(X)","14,432","±1,453","(X)","(X)","69,268","±2,912","(X)","(X)","290,461","±5,387","(X)","(X)","16,042","±1,320","(X)","(X)","18,417","±1,544","(X)","(X)","23,105","±1,695","(X)","(X)","59,569","±2,869","(X)","(X)","19,279","±1,668","(X)","(X)","106,525","±2,829","(X)","(X)","12,952","±1,716","(X)","(X)","97,722","±3,034","(X)","(X)","17,914","±1,633","(X)","(X)","13,452","±1,487","(X)","(X)","27,249","±1,543","(X)","(X)","32,911","±1,890","(X)","(X)","16,039","±1,565","(X)","(X)","47,194","±2,022","(X)","(X)","44,463","±2,154","(X)","(X)","20,462","±2,333","(X)","(X)","9,949","±1,305","(X)","(X)","23,340","±2,100","(X)","(X)","29,492","±1,924","(X)","(X)","11,698","±1,483","(X)","(X)","29,919","±1,814","(X)","(X)","11,119","±1,665","(X)","(X)","18,759","±1,454","(X)","(X)","92,768","±4,305","(X)","(X)","54,280,407","±138,481","(X)","(X)"
